SkipId	Origin	UiName	ParamId	Explain	FunctionalId	IsHideFunc	CustomParams[1]	CustomParams[2]	CustomParams[3]	CustomParams[4]	CustomParams[5]	ConditionId	IsRecord	TimeId	NotShowUI[1]	NotShowUI[2]	NotShowUI[3]	StartTime	CloseTime
8000	3	UiNewFuben	30090101	Event Side Quest	10101	1													
8002	2	UiActivityBase	1	Event Tab		1	1												
8001	2	UiActivityBase	2	New Tab		1	1												
8003	2	UiActivityBase	3	Event News Tab		1	1												
8101	2	UiAnnouncement	2	Skip to News 1		1	1	1001											
8102	2	UiAnnouncement	2	Skip to News 2		1	1	1002											
8103	2	UiAnnouncement	2	Skip to News 3		1	1	1003											
8104	2	UiAnnouncement	2	Skip to News 4		1	1	1004											
8105	2	UiAnnouncement	2	Skip to News 5		1	1	1005											
8106	2	UiAnnouncement	2	Skip to News 6		1	1	1006											
8107	2	UiAnnouncement	2	Skip to News 7		1	1	1007											
8108	2	UiAnnouncement	2	Skip to News 8		1	1	1008											
8109	2	UiAnnouncement	2	Skip to News 9		1	1	1009											
8110	2	UiAnnouncement	2	Skip to News 10		1	1	1010											
8111	2	UiAnnouncement	2	Skip to News 11		1	1	1011											
8112	2	UiAnnouncement	2	Skip to News 12		1	1	1012											
8113	2	UiAnnouncement	2	Skip to News 13		1	1	1013											
8114	2	UiAnnouncement	2	Skip to News 14		1	1	1014											
8115	2	UiAnnouncement	2	Skip to News 15		1	1	1015											
8116	2	UiAnnouncement	2	Skip to News 16		1	1	1016											
8117	2	UiAnnouncement	2	Skip to News 17		1	1	1017											
8118	2	UiAnnouncement	2	Skip to News 18		1	1	1018											
8119	2	UiAnnouncement	2	Skip to News 19		1	1	1019											
8120	2	UiAnnouncement	2	Skip to News 20		1	1	1020											
8121	2	UiAnnouncement	2	Skip to News 21		1	1	1021											
8122	2	UiAnnouncement	2	Skip to News 22		1	1	1022											
8123	2	UiAnnouncement	2	Skip to News 23		1	1	1023											
8124	2	UiAnnouncement	2	Skip to News 24		1	1	1024											
8125	2	UiAnnouncement	2	Skip to News 25		1	1	1025											
8201	2	UiAnnouncement	3	Skip to Event News 1		1	2	2001											
8202	2	UiAnnouncement	3	Skip to Event News 2		1	2	2002											
8203	2	UiAnnouncement	3	Skip to Event News 3		1	2	2003											
8204	2	UiAnnouncement	3	Skip to Event News 4		1	2	2004											
8205	2	UiAnnouncement	3	Skip to Event News 5		1	2	2005											
8206	2	UiAnnouncement	3	Skip to Event News 6		1	2	2006											
8207	2	UiAnnouncement	3	Skip to Event News 7		1	2	2007											
8208	2	UiAnnouncement	3	Skip to Event News 8		1	2	2008											
8209	2	UiAnnouncement	3	Skip to Event News 9		1	2	2009											
8210	2	UiAnnouncement	3	Skip to Event News 10		1	2	2010											
8211	2	UiAnnouncement	3	Skip to Event News 11		1	2	2011											
8212	2	UiAnnouncement	3	Skip to Event News 12		1	2	2012											
8213	2	UiAnnouncement	3	Skip to Event News 13		1	2	2013											
8214	2	UiAnnouncement	3	Skip to Event News 14		1	2	2014											
8215	2	UiAnnouncement	3	Skip to Event News 15		1	2	2015											
8216	2	UiAnnouncement	3	Skip to Event News 16		1	2	2016											
8217	2	UiAnnouncement	3	Skip to Event News 17		1	2	2017											
8218	2	UiAnnouncement	3	Skip to Event News 18		1	2	2018											
8219	2	UiAnnouncement	3	Skip to Event News 19		1	2	2019											
8220	2	UiAnnouncement	3	Skip to Event News 20		1	2	2020											
8221	2	UiAnnouncement	3	Skip to Event News 21		1	2	2021											
8222	2	UiAnnouncement	3	Skip to Event News 22		1	2	2022											
8223	2	UiAnnouncement	3	Skip to Event News 23		1	2	2023											
8224	2	UiAnnouncement	3	Skip to Event News 24		1	2	2024											
8225	2	UiAnnouncement	3	Skip to Event News 25		1	2	2025											
40000	2	UiAutoWindow	1			1													
40001	2	UiAutoWindow	2			1													
40002	2	UiAutoWindow	3			1													
40003	2	UiAutoWindow	4			1													
40004	2	UiAutoWindow	5			1													
40005	2	UiAutoWindow	6			1													
40006	2	UiAutoWindow	7			1													
40007	2	UiAutoWindow	8			1													
40008	2	UiAutoWindow	9			1													
40009	2	UiAutoWindow	10			1													
40010	2	UiAutoWindow	11			1													
40011	2	UiAutoWindow	12			1													
40012	2	UiAutoWindow	13			1													
40013	2	UiAutoWindow	14			1													
40014	2	UiAutoWindow	15			1													
40015	2	UiAutoWindow	16			1													
40016	2	UiAutoWindow	17			1													
40017	2	UiAutoWindow	18			1													
40018	2	UiAutoWindow	19			1													
40019	2	UiAutoWindow	20			1													
40020	2	UiAutoWindow	21			1													
40021	2	UiAutoWindow	22			1													
40022	2	UiAutoWindow	23			1													
40023	2	UiAutoWindow	24			1													
40024	2	UiAutoWindow	25			1													
40025	2	UiAutoWindow	26			1													
40026	2	UiAutoWindow	27			1													
40027	2	UiAutoWindow	28	2022 Summer Sign-in		1													
40028	2	UiAutoWindow	29	Liv: Empyrea Dynamic Coating		1													
40029	2	UiAutoWindow	30	Stream Promo		1													
40030	2	UiAutoWindow	31	Stream Notice		1													
40031	2	UiAutoWindow	32	Super Bianca Concomitant Skin		1													
40032	2	UiAutoWindow	33	Update 1.30 Art		1													
40033	2	UiAutoWindow	34	Vera Swimsuit		1													
40034	2	UiAutoWindow	35	1.31 Version Image		1													
40035	2	UiAutoWindow	36	Rosetta Niki		1													
40036	2	UiAutoWindow	37	Chrome Ivy		1													
40037	2	UiAutoWindow	38	1.32 Version Image		1													
40038	2	UiAutoWindow	39	Ice Lucia Mermaid Dynamic Coating		1													
40039	2	UiAutoWindow	40	Return Event 3		1													
40040	2	UiAutoWindow	41	V2.0 Version Close-up Image		1													
40041	2	UiAutoWindow	42	V2.0 Luna Effect Coating Close-up Image		1													
40042	2	UiAutoWindow	43	V2.0 Dark Selena Effect Coating Close-up Image		1													
40043	2	UiAutoWindow	44	V2.1 Bianca: Stigmata Top-standard Special Effect Coating		1													
40044	2	UiAutoWindow	45	V2.1 Version Close-up Image		1													
40045	2	UiAutoWindow	46	V2.1 Lucia: Crimson Weave Effect Coating Close-up Image		1													
40046	2	UiAutoWindow	47	V2.1 Karenina Effect Coating Close-up Image		1													
40047	2	UiAutoWindow	48	V2.1 Guild Dormitory Spring Festival Event Close-up Image		1													
40048	2	UiAutoWindow	49	V2.2 Version Close-up Image		1													
40049	2	UiAutoWindow	50	V2.2 Vera Effect Coating Close-up Image		1													
40050	2	UiAutoWindow	51	V2.3 Version Close-up Image		1													
40051	2	UiAutoWindow	52	V2.3 Plume Effect Coating Close-up Image		1													
40052	2	UiAutoWindow	53	V2.4 Version Close-up Image		1													
40053	2	UiAutoWindow	54	V2.4 Crimson Abyss Effect Coating Close-up Image		1													
40054	2	UiAutoWindow	55	V2.5 Version Close-up Image		1													
40055	2	UiAutoWindow	56	V2.5 Lena Coating Event Close-up Image		1													
40056	2	UiAutoWindow	57	V2.6 Version Close-up Image		1													
40057	2	UiAutoWindow	58	V2.6 Karenina Effect Coating Close-up Image		1													
40058	2	UiAutoWindow	59	V2.6 Selena Effect Coating Close-up Image		1													
40059	2	UiAutoWindow	60	V2.6 Lee: Hyperreal Effect Coating Close-up Image		1													
40060	2	UiAutoWindow	61	V2.6 Lamia Effect Coating Close-up Image		1													
40061	2	UiAutoWindow	62	V2.7 Bianca: Stigmata Rerun Top-standard Special Effect Coating		1													
40062	2	UiAutoWindow	63	V2.7 Lightning Alpha Effect Coating Close-up Image		1													
40063	2	UiAutoWindow	64	V2.7 Version Close-up Image		1													
40064	2	UiAutoWindow	65	V2.8 Version Close-up Image		1													
40065	2	UiAutoWindow	66	V2.8 Ayla: Kaleido Effect Coating Close-up Image		1													
40066	2	UiAutoWindow	67	V2.9 Version Close-up Image		1													
40067	2	UiAutoWindow	68	V2.9 Version S Qu Alternative Effect Coating Close-up Image		1													
40068	2	UiAutoWindow	69	V2.9 Version S Vera Chinese Style Effect Coating Close-up Image		1													
40069	2	UiAutoWindow	70	V2.9 Version S21 Chinese Style Effect Coating Close-up Image		1													
40070	2	UiAutoWindow	71	V2.10 Version Close-up Image		1													
40071	2	UiAutoWindow	72	V2.10 Rerun Liv: Empyrea Pool Effect Coating Close-up Image		1													
40072	2	UiAutoWindow	73	V2.11 Close-up Image		1													
40073	2	UiAutoWindow	74	V2.11 Luna Concomitant Effect Coating Close-up Image		1													
40074	2	UiAutoWindow	75	V2.11 Lightning Alpha Spring Festival Effect Coating Close-up Image		1													
40075	2	UiAutoWindow	76	V2.11 Lamia Pool Top Effect Coating Close-up Image		1													
40076	2	UiAutoWindow	77	V2.12 Bambinata Azukisan Collab Normal Coating Close-up Image		1													
40077	2	UiAutoWindow	78	V2.12 Version Close-up Image		1													
40078	2	UiAutoWindow	79	V2.12 Bianca Red Demon Effect Coating Close-up Image		1													
