Key	Values[1]	Values[2]	Values[3]
TaskPreviewRewardId	69080		
CurVersionChapterId	62		
MainLineExhibitionSkipChapterId	56		
HelpCourseVideoConfigId	Phylotree Nexus	All M.I.N.D.s are bred within the data tide known as the [<color=#34aff8>Phylotree</color>]. The consciousness of countless souls drifts as trickling points of light, ebbing and flowing through its veins.\nWhen the canopy finally flourishes, these lights ascend the branches, undergoing metamorphosis into complete [<color=#34aff8>Sefirot</color>].\nThe [<color=#34aff8>Sefirot</color>] condense civilization's most abundant [<color=#34aff8>information</color>], merging all beings into the canopy's fruit. This fruit will be entrusted to a chosen bearer, who will face the universe's ultimate Filtering.	20009
VideoIdPV	20009		
VideoIdOpen	20008		
GuideMovieId	HD05301BA		
GuideGuideId	64731		
OfflineTips	The wonder of Phylotree is soon to be revealed.		
CameraDragSpeed	0.1	0.06	
CameraSwitchTime	2		
ConstellationStateColor	254D9377	67293B77	
