Id	PartnerId	ModelType	EffectType	EffectRootName	EffectPath
1	16010000	CombatModel	Appear		Disappear
2	16010000	CombatModel	Disappear		Disappear
3	16020000	CombatModel	Appear		Disappear
4	16020000	CombatModel	Disappear		Disappear
5	16030000	StandbyModel	Disappear		Disappear
6	16030000	CombatModel	Disappear		Disappear
7	16040000	StandbyModel	Disappear		Disappear
8	16040000	CombatModel	Disappear		Disappear
9	16050000	CombatModel	Appear		Disappear
10	16050000	CombatModel	Disappear		Disappear
11	16060000	StandbyModel	Disappear		Disappear
12	16060000	CombatModel	Disappear		Disappear
13	16070000	CombatModel	Appear		Disappear
14	16070000	CombatModel	Disappear		Disappear
15	16080000	CombatModel	Appear		Disappear
16	16080000	CombatModel	Disappear		Disappear
17	16080000	CombatModel	Loop		Disappear
18	16090000	CombatModel	Appear		Disappear
19	16090000	CombatModel	Disappear		Disappear
20	16100000	CombatModel	Appear		Disappear
21	16100000	CombatModel	Disappear		Disappear
22	16110000	CombatModel	Appear		Disappear
23	16110000	CombatModel	Disappear		Disappear
24	16120000	CombatModel	Appear		Disappear
25	16120000	CombatModel	Disappear		Disappear
26	16130000	CombatModel	Appear		Disappear
27	16130000	CombatModel	Disappear		Disappear
28	16140000	CombatModel	Appear		Disappear
29	16140000	CombatModel	Disappear		Disappear
30	16150000	StandbyModel	Disappear		Disappear
31	16150000	CombatModel	Appear		Disappear
32	16150000	StandbyModel	Appear		Disappear
33	16150000	CombatModel	Disappear		Disappear
34	16160000	CombatModel	Appear		Disappear
35	16160000	CombatModel	Disappear		Disappear
36	16170000	StandbyModel	Disappear		Disappear
37	16170000	CombatModel	Appear		Disappear
38	16170000	StandbyModel	Appear		Disappear
39	16170000	CombatModel	Disappear		Disappear
40	16180000	StandbyModel	Disappear		Disappear
41	16180000	StandbyModel	Disappear	bodyBone01	Disappear
42	16180000	StandbyModel	Disappear		Disappear
43	16180000	StandbyModel	Appear	bodyBone01	Disappear
44	16180000	CombatModel	Appear	bodyBone00	Disappear
45	16180000	CombatModel	Disappear	bodyBone00	Disappear
46	16190000	StandbyModel	Disappear		Disappear
47	16190000	CombatModel	Appear		Disappear
48	16190000	StandbyModel	Appear		Disappear
49	16190000	CombatModel	Disappear		Disappear
50	16200000	StandbyModel	Disappear	bipBone00	Disappear
51	16200000	CombatModel	Appear	Bip001	Disappear
52	16200000	StandbyModel	Appear	bipBone00	Disappear
53	16200000	CombatModel	Disappear	Bip001	Disappear
54	16210000	StandbyModel	Disappear	dragonBone	Disappear
55	16210000	CombatModel	Disappear		Disappear
56	16210000	StandbyModel	Appear	dragonBone	Disappear
57	16210000	CombatModel	Appear	Bip001	Disappear
58	16210000	CombatModel	Appear		Disappear
59	16220000	StandbyModel	Disappear	morphoBone00	Disappear
60	16220000	CombatModel	Appear	butterflyBone00	Disappear
61	16220000	StandbyModel	Appear	morphoBone00	Disappear
62	16220000	CombatModel	Disappear	butterflyBone00	Disappear
63	16230000	StandbyModel	Disappear	foxBone00	Disappear
64	16230000	CombatModel	Appear	tailBone18	Disappear
65	16230000	CombatModel	Appear		Disappear
66	16230000	StandbyModel	Appear	foxBone00	Disappear
67	16230000	CombatModel	Disappear	tailBone18	Disappear
68	16230000	CombatModel	Disappear		Disappear
69	16240000	StandbyModel	Disappear	phoenixBone00	Disappear
70	16240000	CombatModel	Appear		Disappear
71	16240000	StandbyModel	Appear	phoenixBone00	Disappear
72	16240000	CombatModel	Disappear	Bip001Pelvis	Disappear
73	16250000	StandbyModel	Disappear	MonkfishoffBone00	Disappear
74	16250000	CombatModel	Appear	MonkfishonBone00	Disappear
75	16250000	CombatModel	Appear	MonkfishonBone23	Disappear
