EquipId	BehaviorId[1]	BehaviorId[2]	MagicId[1]	MagicId[2]	MagicId[3]	MagicId[4]	MagicId[5]	MagicId[6]	MagicId[7]	MagicId[8]	MagicId[9]	MagicId[10]	MagicId[11]
8			774726	773294	774796	774797	774798	774799					
16			774781										
14			774765	774766	774768	774770	774769	774771	774772	774773	774774	774775	774776
56			774852	774853	774854	774856							
18			761655	761658	761661	761664							
12			774748	774749	774750	774751	774752	774753					
13			774741	774747									
9			774720	774721									
57			774860	774861	774862								
59			934456	934457	934468	934469							
