Id	GroupId	Condition	UnLockTime
101001	1		
101002	1		
101003	1		
101004	1		
101005	1		
101006	1	84100107	
101007	1	84100112	
101008	1	84100212	
101009	1	84100212	
101010	1	84100301	
101011	1	84100407	
101012	1	84100512	
101013	1	84100608	
101014	1	84100611	
101015	1	84100703	
101016	1	84100811	
101017	1	84100903	
101018	1	84100904	
101019	1	84100913	
101020	1	84100913	
101021	1	84100913	
101022	1	84101001	
101023	1	84101001	
101024	1	84101003	
101025	1	84101006	
101026	1	84101007	
101027	1	84101011	
101028	1	84101012	
101029	1	84101104	
101030	1	84101106	
101031	1	84101108	
101032	1	84101108	
101033	1	84101108	
101034	1	84101111	
101035	1	84101112	
101036	1	84101202	
101037	1	84101209	
101038	1	84101225	
101039	1	601011	
101040	1	602004	
101041	1	603903	
101042	1	603008	
101043	1	603016	
101044	1	604006	
101045	1	84101408	
101046	1	84101411	
101047	1	84101415	
101048	1	84101503	
101049	1	84101513	
101050	1	84101515	
101051	1	84101516	
101052	1	84101517	
101053	1	84101610	
101054	1	84101613	
101055	1	84101614	
101056	1	84101705	
101057	1	84101705	
101058	1	84101710	
101059	1	84101711	
101060	1	84101716	
101061	1	84101723	
101062	1	84101724	
101063	1	84101724	
101064	1	84101803	
101065	1	84101804	
101066	1	84101807	
101067	1	84101811	
101068	1	84101814	
101069	1	84101818	
101070	1	84101820	
101071	1	84101821	
101072	1	84102004	
101073	1	84102005	
101074	1	84102011	
101075	1	84102014	
101076	1	84102017	
101077	1	84102020	
101078	1	84102202	
101079	1	84102205	
101080	1	84102207	
101081	1	84102207	
101082	1	84102209	
101083	1	84102210	
101084	1	84102213	
101085	1	84102214	
101086	1	84102469	
101087	1	84102472	
101088	1	84102473	
101089	1	84102476	
101090	1	84102479	
101091	1	84102480	
101092	1	84102452	
101093	1	84102457	
101094	1	84102484	
101095	1	84102484	
101096	1	84102505	
101097	1	84102506	
101098	1	84102507	
101099	1	84102519	
101100	1	84102521	
101101	1	84102526	
101102	1	84102527	
101103	1	84102528	
101104	1	84102529	
101105	1	84102529	
101106	1	84102532	
101107	1	84102538	
101108	1	84102540	
101109	1	84102541	
101110	1	84102542	
101111	1	84102544	
101112	1	84102544	
101113	1	84102545	
101114	1	84102546	
101115	1	84102553	
101116	1	84102554	
101117	1	84102556	
101118	1	84102562	
101119	1	84102565	
101120	1	84102566	
101121	1	84102567	
101122	1	84102568	
101123	1	84102581	
101124	1	84102585	
101125	1	84102588	
101126	1	84102592	
101127	1	84102595	
101128	1	84102598	
101129	1	84102599	
101130	1	84102611	
101131	1	84102640	
101132	1	84102622	
101133	1	84102640	
101134	1	84102640	
101135	1	84102633	
101136	1	84102621	
101137	1	84102625	
101138	1	84102636	
101139	1	84102637	
101140	1	84102640	
101141	1	84102616	
101142	1	84102640	
101143	1	84102640	
101144	1	84102637	
101145	1	84102625	
101146	1	84102624	
101147	1	84102611	
101148	1	84102640	
101149	1	84102713	
101150	1	84102704	
101151	1	84102726	
101152	1	84102709	
101153	1	84102715	
101154	1	84102727	
101155	1	84102721	
101156	1	84102730	
101157	1	84102731	
101158	1	84102724	
101159	1	84102731	
101160	1	84102810	
101161	1	84102814	
101162	1	84102831	
101163	1	84102815	
101164	1	84102836	
101165	1	84102830	
101166	1	84102830	
101167	1	84102828	
101168	1	84102830	
101169	1	84102830	
101170	1	84103002	
101171	1	84103009	
101172	1	84103009	
101173	1	84103009	
101174	1	84103009	
101175	1	84103012	
101176	1	84103014	
101177	1	84103014	
101178	1	84103014	
101179	1	84103016	
101180	1	84103018	
101181	1	84103018	
101182	1	84103101	
101183	1	84103102	
101184	1	84103111	
101185	1	84103115	
101186	1	84103117	
101187	1	84103117	
101188	1	84103117	
101189	1	84103117	
101190	1	84103118	
101191	1	84103118	
101192	1	84103119	
101193	1	84103122	
101194	1	84103125	
101195	1	84103131	
101196	1	84103131	
101197	1	84103131	
101198	1	84103135	
101199	1	84103137	
101200	1	84103137	
101201	1	84103137	
101202	1	84103137	
101203	1	84103138	
101204	1	84103138	
101205	1	84103138	
101206	1	84103139	
101207	1	84103139	
101208	1	84103139	
101209	1	84103139	
101210	1	84103141	
101211	1	84103141	
101212	1	84103147	
101213	1	84103147	
101214	1	84103147	
101215	1	84103147	
101216	1	84103148	
101217	1	84103149	
101218	1	84103150	
101219	1	84103150	
101220	1	84103151	
101221	1	84103156	
101222	1	84103157	
101223	1	84103158	
101224	1	84103161	
101225	1	84103161	
101226	1	84103162	
101227	1	84103163	
101228	1	84103164	
101229	1	84103165	
101230	1	84103166	
101231	1	84103167	
101232	1	84103168	
101233	1	84103168	
101234	1	84103173	
101235	1	84103178	
101236	1	84103180	
101237	1	84103181	
101238	1	84103181	
101239	1	84103181	
101240	1	84103186	
101241	1	84103190	
101242	1	84103197	
101243	1	84103198	
101244	1	84103200	
101245	1	84103204	
101246	1	84103205	
101247	1	84103205	
101248	1	84103205	
101249	1	84103205	
101250	1	84103211	
101251	1	84103211	
101252	1	84103216	
101253	1	84103217	
101254	1	84103220	
101255	1	84103220	
101256	1	84103221	
101257	1	84103221	
101258	1	84103222	
101259	1	84103222	
101260	1	84103223	
101261	1	84103225	
101262	1	84103229	
101263	1	84103230	
101264	1	84103232	
101265	1	84103239	
101266	1	84103239	
101267	1	84103242	
101268	1	84103242	
101269	1	84103246	
101270	1	84103253	
101271	1	84103260	
101272	1	84103263	
101273	1	84103265	
101274	1	84103267	
101275	1	84103276	
101276	1	84103278	
101277	1	84103279	
101278	1	84103280	
101279	1	84103282	
101280	1	84103283	
101281	1	84103287	
101282	1	84103296	
101283	1	84103297	
101284	1	84103297	
101285	1	84103297	
101286	1	84103298	
101287	1	84103306	
101288	1	84103309	
101289	1	84103309	
101290	1	84103309	
101291	1	84330006	
101292	1	84330007	
101293	1	84330008	
101294	1	84330009	
101295	1	84330010	
101296	1	84330011	
101297	1	84330019	
101298	1	84330020	
101299	1	84330021	
101300	1	84330022	
101301	1	84330023	
101302	1	84330024	
101303	1	84330025	
101304	1	84103391	
101305	1	84103391	
101306	1	84103391	
101307	1	84103394	
101308	1	84103407	
101309	1	84103407	
101310	1	84103408	
101311	1	84103409	
101312	1	84103410	
101313	1	84103411	
101314	1	84103414	
101315	1	84103415	
101316	1	84103416	
101317	1	84103416	
101318	1	84103448	
101319	1	84103448	
101320	1	84103455	
101321	1	84103455	
101322	1	84103455	
101323	1	84103455	
101324	1	84103456	
101325	1	84103457	
101326	1	84103459	
101327	1	84103460	
101328	1	84103461	
101329	1	84103461	
101330	1	84103461	
101331	1	84103461	
101332	1	84103461	
101333	1	84103463	
101334	1	84103466	
101335	1	84103466	
102001	2	84200203	
102002	2	84201105	
102003	2	84201203	
102004	2	84201406	
102005	2	84201408	
102006	2	84201501	
102007	2	84201507	
102008	2	84201610	
103001	3	84301002	
103002	3	84301006	
103003	3	84301006	
103004	3	84301006	
103005	3	84301007	
103006	3	84301016	
103007	3	84301016	
103008	3	84301016	
103009	3	84301021	
103010	3	84301023	
103011	3	84301026	
103012	3	84302013	
103013	3	84302016	
103014	3	84302017	
103015	3	84303011	
103016	3	84303016	
103017	3	84303017	
103018	3	84303023	
103019	3	84303025	
103020	3	84303026	
103021	3	84304011	
103022	3	84304013	
103023	3	84304016	
103024	3	84305011	
103025	3	84305014	
103026	3	84305016	
103027	3	84306012	
103028	3	84306014	
103029	3	84306016	
103030	3	84306023	
103031	3	84306025	
103032	3	84306027	
103033	3	84307013	
103034	3	84307015	
103035	3	84307016	
103036	3	84307022	
103037	3	84307023	
103038	3	84307026	
103039	3	84308013	
103040	3	84308015	
103041	3	84308016	
103042	3	84309014	
103043	3	84309015	
103044	3	84309015	
103045	3	84309016	
103046	3	84310011	
103047	3	84310013	
103048	3	84310016	
103049	3	84311011	
103050	3	84311013	
103051	3	84311016	
103052	3	84312012	
103053	3	84312016	
103054	3	84312017	
103055	3	84313013	
103056	3	84313015	
103057	3	84313016	
103058	3	84314012	
103059	3	84314015	
103060	3	84314016	
103061	3	84315011	
103062	3	84315014	
103063	3	84315016	
103064	3	84316013	
103065	3	84316014	
103066	3	84316014	
103067	3	84317002	
103068	3	84317004	
103069	3	84317006	
103070	3	84318011	
103071	3	84318013	
103072	3	84318016	
103073	3	84319011	
103074	3	84319012	
103075	3	84319016	
103076	3	84320011	
103077	3	84320014	
103078	3	84320016	
103079	3	84321001	
103080	3	84321002	
103081	3	84321006	
103082	3	84322003	
103083	3	84322005	
103084	3	84322006	
103085	3	84323001	
103086	3	84323005	
103087	3	84323007	
103088	3	84324003	
103089	3	84324004	
103090	3	84324006	
103091	3	84325001	
103092	3	84325006	
103093	3	84325007	
103094	3	84326001	
103095	3	84326005	
103096	3	84326006	
104001	4		
104002	4		
104003	4		
104004	4		
104006	4		
104007	4		
104008	4		
104009	4		
104010	4		
104011	4		
104012	4		
104013	4		
105001	5		
105002	5		
105003	5		
105004	5		
105005	5		
105006	5		
105007	5		
105008	5		
105009	5		
105010	5		
105011	5	1002901	2022/11/11 5:02
105012	5		
105013	5		
105014	5		
105015	5	84602307	
105016	5	1002903	2023/11/11 5:02
105017	5		
105018	5		
105019	5		
105020	5		
105021	5		
105022	5		
105023	5		
105024	5		
105025	5		
105026	5		
105027	5		
105028	5		
105029	5		
105030	5		
105031	5		
105032	5		
105033	5		
105034	5		
105035	5		
105036	5		
105037	5	84602641	2026/2/2 5:00
105038	5	84602644	2026/2/2 5:00
105039	5	84602646	2026/2/2 5:00
105040	5	84602646	2026/2/2 5:00
105041	5	84602636	2026/2/2 5:00
105042	5	84602638	2026/2/2 5:00
105043	5	84602640	2026/2/2 5:00
105044	5	84602721	2026/2/2 5:00
105045	5	84602725	2026/2/2 5:00
105046	5	84602783	2026/2/2 5:00
105047	5	84602786	2026/2/2 5:00
105048	5	84602789	2026/2/2 5:00
105049	5	84602789	2026/2/2 5:00
105050	5	84602789	2026/2/2 5:00
105051	5	84602846	2026/2/2 5:00
105052	5	84602846	2026/2/2 5:00
105053	5	84602849	2026/2/2 5:00
105054	5	84602851	2026/2/2 5:00
105055	5	84602845	2026/2/2 5:00
105056	5	84602843	2026/2/2 5:00
105057	5	84602880	2026/2/2 5:00
105058	5	84602880	2026/2/2 5:00
105059	5	84602886	2026/2/2 5:00
105060	5	84330012	2026/7/17 5:00
105061	5	84330013	2026/7/17 5:00
105062	5	84330014	2026/7/17 5:00
105063	5	84103423	2026/7/17 5:00
105064	5	84103423	2026/7/17 5:00
105065	5	84103423	2026/7/17 5:00
105066	5	84602897	2026/9/24 5:00
105067	5	84602895	2026/9/24 5:00
105068	5	84602903	2026/9/24 5:00
105069	5	84602901	2026/9/24 5:00
107001	7	84800105	
107002	7	84800116	
107003	7	84800120	
107004	7	84800216	
107005	7	84800218	
107006	7	84800302	
107007	7	84800306	
107008	7	84800310	
107009	7	84800317	
107010	7	84800411	
107011	7	84800411	
107012	7	84800414	
107013	7	84800420	
107014	7	84800420	
107015	7	84800501	
107016	7	84800502	
107017	7	84800503	
107018	7	84800505	
107019	7	84800508	
107020	7	84800511	
108001	8	84900106	
108002	8	84900108	
108003	8	84900208	
108004	8	84900303	
108005	8	84900407	
108006	8	84900408	
108007	8	84900507	
108008	8	84900512	
106001	6	812001	
106002	6	812002	
106003	6	812003	
106004	6	812004	
106005	6	812005	
106006	6	812006	
106007	6	812007	
106009	6	812009	
106010	6	812010	
106011	6	812011	
106012	6	812013	
106014	6	812014	
106015	6	812015	
106016	6	812016	
106017	6	812017	
106018	6	812018	
106019	6	812019	
106020	6	812020	
106021	6	812021	
106022	6	812022	
106023	6	812023	
106024	6	812024	
106025	6	812025	
106026	6	812026	
106027	6	812027	
106028	6	812028	
106029	6	812029	
106030	6	812030	
106031	6	812031	
106032	6	812032	
106033	6	812033	
106034	6	812037	
106035	6	812038	
106036	6	812039	
106037	6	812040	
106038	6	812041	
106039	6	812042	
106040	6	812043	
106041	6	812044	
106042	6	812045	
106043	6	812045	
106044	6	812046	
106045	6	812047	
106046	6	812049	
106047	6	812050	
106048	6	812051	
106049	6	812052	
106050	6	812053	
106051	6	812057	
106052	6	812058	
106053	6	812059	
106054	6	812060	
106055	6	812061	
106056	6	812062	
106057	6	812063	
106058	6	812064	
106059	6	812068	
106060	6	812069	
106061	6	812070	
106062	6	812071	
106063	6	812072	
106064	6	812073	
106065	6	812074	
106066	6	812075	
106067	6	812076	
106068	6	812077	
106069	6	812078	
106070	6	812080	
106071	6	812084	
106072	6	812085	
106073	6	812082	
106074	6	812071	
106075	6	812086	
106076	6	812087	
106077	6	812088	
106078	6	812090	
106079	6	812089	
106080	6	812094	
106081	6	812095	
106082	6	812092	
106083	6	812078	
106084	6	812096	
106085	6	812097	
106086	6	812098	
106087	6	812099	
106088	6	812082	
106089	6	812101	
106090	6	812102	
106091	6	812103	
106092	6	812104	
106093	6	84330015	
106094	6	84330016	
106095	6	84330017	
106096	6	84330026	
106097	6	84330027	
106098	6	84330028	
106099	6	84330029	
106100	6	84330030	
106101	6	84330031	
106102	6	84330032	
106103	6	84330033	
106104	6	84330034	
106105	6	84330035	
109001	9		
109002	9		
109003	9		
109004	9		
109005	9		
109006	9		
109007	9		
109008	9		
109009	9		
109010	9		
109011	9		
109012	9		
109013	9		
109014	9		
109015	9		
109016	9		
109017	9		
109018	9		
109019	9		
109020	9		
109021	9		
109022	9		
110000	10		
110001	10		
110002	10		
110003	10		
110004	10		
110005	10		
110006	10		
110007	10		
110008	10		
110009	10		
110010	10		
110011	10		
110012	10		
110013	10		
110014	10		
110015	10		
110016	10		
110017	10		
110018	10		
110019	10		
110020	10		
110021	10		
110022	10		
110023	10		
110024	10		
110025	10		
110026	10		
110027	10		
110028	10		
110029	10		
110030	10		
110031	10		
110032	10		
110033	10		
110034	10		
110035	10		
110036	10		
110037	10		
110038	10		
110039	10		
110040	10		
110041	10		
110042	10		
110043	10		
110044	10		
110045	10		
110046	10		
110047	10		
110048	10		
110049	10		
110050	10		
110051	10		
110052	10		
110053	10		
110054	10		
110055	10		
110056	10		
111001	11	84101750	
111002	11	84101751	
111003	11	84101752	
111004	11	84101753	
111005	11	84101754	
120001	12	84101772	
120002	12	84101775	
120003	12	84101778	
120004	12	84101779	
120005	12	84101780	
120006	12	84101902	
120007	12	84101903	
120008	12	84101906	
120009	12	84101909	
120010	12	84101910	
120011	12	84101911	
120012	12	84101914	
120013	12	84102101	
120014	12	84102101	
120015	12	84102106	
120016	12	84102106	
120017	12	84102108	
120018	12	84102111	
120019	12	84102118	
120020	12	84102120	
120021	12	84102123	
120022	12	84102124	
120023	12	84102124	
120024	12	84102301	
120025	12	84102304	
120026	12	84102304	
120027	12	84102307	
120028	12	84102309	
120029	12	84102310	
120030	12	84102313	
120031	12	84602423	
120032	12	84602424	
120033	12	84602425	
120034	12	84602426	
120035	12	84602433	
120036	12	84602435	
120037	12	84602435	
120038	12	84602436	
120039	12	84602436	
120040	12	84602440	
120041	12	84602444	
120042	12	84602448	
120043	12	84602450	
120044	12	84602456	
120045	12	84602451	
120046	12	84602454	
120047	12	84602567	
120048	12	84602570	
120049	12	84602580	
120050	12	84602583	
120051	12	84602583	
120052	12	84602583	
120053	12	84602588	
120054	12	84602589	
120055	12	84602593	
120056	12	84602594	
120057	12	84602596	
120058	12	84602599	
120059	12	84602603	
120060	12	84602604	
120061	12	84602605	
120062	12	84602610	
120063	12	84602616	
120064	12	84602620	
120065	12	84602621	
120066	12	84602621	
120067	12	84602626	
120068	12	84602626	
120069	12	84602627	
120070	12	84602628	
120071	12	84602628	
120072	12	84602628	
120073	12	84602629	
120074	12	84602629	
120075	12	84602629	
120076	12	84602630	
120077	12	84602630	
120078	12	84602631	
120079	12	84602681	
120080	12	84602681	
120081	12	84602689	
120082	12	84602690	
120083	12	84602695	
120084	12	84602696	
120085	12	84602697	
120086	12	84602726	
120087	12	84602726	
120088	12	84602728	
120089	12	84602728	
120090	12	84602740	
120091	12	84602744	
120092	12	84602744	
120093	12	84602744	
120094	12	84602746	
120095	12	84602792	
120096	12	84602794	
120097	12	84602795	
120098	12	84602797	
120099	12	84602801	
120100	12	84602802	
120101	12	84602802	
120102	12	84602802	
120103	12	84602804	
