Id	GroupId	Order	Type	Condition
1	16010000	1	2	999999
2	16010000	2	2	1000001
3	16010000	3	2	1000003
4	16020000	1	2	1000000
5	16020000	2	2	1000002
6	16020000	3	2	1000004
7	16030000	1	2	1000005
8	16030000	2	2	1000006
9	16030000	3	2	1000007
10	16030000	1	1	0
11	16030000	2	1	0
12	16040000	1	2	1000008
13	16040000	2	2	1000009
14	16040000	3	2	1000010
15	16040000	1	1	0
16	16040000	2	1	0
17	16050000	1	2	1000011
18	16050000	2	2	1000012
19	16050000	3	2	1000013
20	16060000	1	2	1000014
21	16060000	2	2	1000015
22	16060000	3	2	1000016
23	16060000	1	1	0
24	16060000	2	1	0
25	16070000	1	2	1000017
26	16070000	2	2	1000018
27	16070000	3	2	1000019
28	16080000	1	2	1000020
29	16080000	2	2	1000021
30	16080000	3	2	1000022
31	16080000	1	1	0
32	16080000	2	1	0
33	16090000	1	2	1000023
34	16090000	2	2	1000024
35	16090000	3	2	1000025
36	16100000	1	2	1000026
37	16100000	2	2	1000027
38	16100000	3	2	1000028
39	16100000	1	1	0
40	16100000	2	1	0
41	16110000	1	2	1000029
42	16110000	2	2	1000030
43	16110000	3	2	1000031
44	16110000	1	1	0
45	16110000	2	1	0
46	16120000	1	2	1000032
47	16120000	2	2	1000033
48	16120000	3	2	1000034
49	16120000	1	1	0
50	16120000	2	1	0
51	16130000	1	2	1000035
52	16130000	2	2	1000036
53	16130000	3	2	1000037
54	16130000	1	1	0
55	16130000	2	1	0
56	16140000	1	2	1000038
57	16140000	2	2	1000039
58	16140000	3	2	1000040
59	16140000	1	1	0
60	16140000	2	1	0
61	16150000	1	2	1000041
62	16150000	2	2	1000042
63	16150000	3	2	1000043
64	16150000	1	1	0
65	16150000	2	1	0
66	16160000	1	2	1000044
67	16160000	2	2	1000045
68	16160000	3	2	1000046
69	16160000	1	1	0
70	16160000	2	1	0
71	16170000	1	2	1000047
72	16170000	2	2	1000048
73	16170000	3	2	1000049
74	16170000	1	1	0
75	16170000	2	1	0
76	16180000	1	2	1000050
77	16180000	2	2	1000051
78	16180000	3	2	1000052
79	16180000	1	1	0
80	16180000	2	1	0
81	16190000	1	2	1000053
82	16190000	2	2	1000054
83	16190000	3	2	1000055
84	16190000	1	1	0
85	16190000	2	1	0
86	16200000	1	2	1000056
87	16200000	2	2	1000057
88	16200000	3	2	1000058
89	16200000	1	1	0
90	16200000	2	1	0
91	16210000	1	2	1000059
92	16210000	2	2	1000060
93	16210000	3	2	1000061
94	16210000	1	1	0
95	16210000	2	1	0
96	16220000	1	2	1000062
97	16220000	2	2	1000063
98	16220000	3	2	1000064
99	16220000	1	1	0
100	16220000	2	1	0
101	16230000	1	2	1000065
102	16230000	2	2	1000066
103	16230000	3	2	1000067
104	16230000	1	1	0
105	16230000	2	1	0
106	16240000	1	2	1000068
107	16240000	2	2	1000069
108	16240000	3	2	1000070
109	16240000	1	1	0
110	16240000	2	1	0
111	16250000	1	2	1000071
112	16250000	2	2	1000072
113	16250000	3	2	1000073
114	16250000	1	1	0
115	16250000	2	1	0
116	16260000	1	2	1000074
117	16260000	2	2	1000075
118	16260000	3	2	1000076
119	16260000	1	1	0
120	16260000	2	1	0
121	16270000	1	2	1000077
122	16270000	2	2	1000078
123	16270000	3	2	1000079
124	16270000	1	1	0
125	16270000	2	1	0
126	16280000	1	2	1000080
127	16280000	2	2	1000081
128	16280000	3	2	1000082
129	16280000	1	1	0
130	16280000	2	1	0
131	16290000	1	2	1000083
132	16290000	2	2	1000084
133	16290000	3	2	1000085
134	16290000	1	1	0
135	16290000	2	1	0
136	16300000	1	2	1000086
137	16300000	2	2	1000087
138	16300000	3	2	1000088
139	16300000	1	1	0
140	16300000	2	1	0
141	16310000	1	2	1000089
142	16310000	2	2	1000090
143	16310000	3	2	1000091
144	16310000	1	1	0
145	16310000	2	1	0
146	16320000	1	2	1000092
147	16320000	2	2	1000093
148	16320000	3	2	1000094
149	16320000	1	1	0
150	16320000	2	1	0
151	16330000	1	2	1000095
152	16330000	2	2	1000096
153	16330000	3	2	1000097
154	16330000	1	1	0
155	16330000	2	1	0
156	16340000	1	2	1000098
157	16340000	2	2	1000099
158	16340000	3	2	1000100
159	16340000	1	1	0
160	16340000	2	1	0
161	16350000	1	2	1000101
162	16350000	2	2	1000102
163	16350000	3	2	1000103
164	16350000	1	1	0
165	16350000	2	1	0
166	16360000	1	2	1000104
167	16360000	2	2	1000105
168	16360000	3	2	1000106
169	16360000	1	1	0
170	16360000	2	1	0
171	16370000	1	2	1000107
172	16370000	2	2	1000108
173	16370000	3	2	1000109
174	16370000	1	1	0
175	16370000	2	1	0
176	16380000	1	2	1000110
177	16380000	2	2	1000111
178	16380000	3	2	1000112
179	16380000	1	1	0
180	16380000	2	1	0
181	16390000	1	2	1000113
182	16390000	2	2	1000114
183	16390000	3	2	1000115
184	16390000	1	1	0
185	16390000	2	1	0
186	16400000	1	2	1000116
187	16400000	2	2	1000117
188	16400000	3	2	1000118
189	16400000	1	1	0
190	16400000	2	1	0
191	16410000	1	2	1000119
192	16410000	2	2	1000120
193	16410000	3	2	1000121
194	16410000	1	1	0
195	16410000	2	1	0
