Id	Life	AttackNormal	DefenseNormal	Crit
1	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
2	0x0000000A00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
3	0x000F423F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
4	0x000F423F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
5	0x000F423F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
6	0x000F423F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
7	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
8	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
10	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
11	0x000F423F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
12	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
13	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
14	0x0000000400000000	0x0000000100000000	0x0000000000000000	0x0000000000000000
15	0x0000000200000000	0x0000000100000000	0x0000000000000000	0x0000000000000000
16	0x0000000500000000	0x0000000100000000	0x0000000000000000	0x0000000000000000
17	0x0000000A00000000	0x0000000100000000	0x0000000000000000	0x0000000000000000
18	0x0000001400000000	0x0000000100000000	0x0000000000000000	0x0000000000000000
19	0x0000001E00000000	0x0000000100000000	0x0000000000000000	0x0000000000000000
20	0x000001F400000000	0x0000000100000000	0x0000000000000000	0x0000000000000000
21	0x0000C35000000000	0x0000000100000000	0x0000000000000000	0x0000000000000000
22	0x000F423F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
23	0x0000000100000000	0x0000000000000000	0x0000000000000000	0x0000000000000000
24	0x0000000A00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
83	0x0000057800000000	0x0000006400000000	0x0000000000000000	0x0000000000000000
84	0x0000005000000000	0x0000003200000000	0x0000000000000000	0x0000000000000000
85	0x0000057800000000	0x0000006400000000	0x0000000000000000	0x0000000000000000
86	0x0001869F00000000	0x0000006400000000	0x0000000000000000	0x0000000000000000
87	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
88	0x000001F400000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
89	0x000001F400000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
832	0x000001F400000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
833	0x000001F400000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
835	0x000001F400000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
90	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
91	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
92	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
93	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
94	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
95	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
96	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
8742	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
8744	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
1018	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1002	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1009	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1004	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1016	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1023	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1033	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1017	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1006	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1011	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1003	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1012	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1001	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1005	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1007	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1008	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1013	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1014	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1022	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1062	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1015	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1318	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1101	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1032	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1041	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1132	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1200	0x0000270F00000000	0x0000006400000000	0x0000000000000000	0x0000000000000000
1102	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1232	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1103	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1104	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1105	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1115	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1106	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1107	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1108	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1109	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1112	0x000001F400000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1113	0x000001F400000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
875	0x0001869F00000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
1201	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1202	0x0000271000000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1203	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1204	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1205	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1206	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1218	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1213	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1289	0x000001F400000000	0x0000000F00000000	0x0000000000000000	0x0000000000000000
1223	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1211	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1215	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1301	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1302	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1311	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1312	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1303	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1304	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1305	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1306	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
4101	0x0001869F00000000	0x000003E800000000	0x0000006400000000	0x0000000000000000
4201	0x0001869F00000000	0x000003E800000000	0x0000006400000000	0x0000000000000000
4301	0x0001869F00000000	0x000003E800000000	0x0000006400000000	0x0000000000000000
4401	0x0001869F00000000	0x000003E800000000	0x0000006400000000	0x0000000000000000
4103	0x0001869F00000000	0x000003E800000000	0x0000006400000000	0x0000000000000000
4203	0x0001869F00000000	0x000003E800000000	0x0000006400000000	0x0000000000000000
4105	0x0001869F00000000	0x000003E800000000	0x0000006400000000	0x0000000000000000
4205	0x0001869F00000000	0x000003E800000000	0x0000006400000000	0x0000000000000000
5005	0x0001869F00000000	0x000003E800000000	0x0000006400000000	0x0000000000000000
9	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
100	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
101	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
1026	0x0000032461468070	0x00000083A1477CB8	0x00000076733306C8	0x00000043451E9F18
1393	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
1093	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
2004	0x000001F400000000	0x0000001400000000	0x0000000733333308	0x000000067AE14540
2005	0x0000006400000000	0x0000000A00000000	0x0000000000000000	0x0000000000000000
4001	0x000000D5BFFFAFD8	0x0000002F3FFFEE48	0x0000001CB0A3CC48	0x000000167FFFFF79
4703	0x00004E2000000000	0x000007D000000000	0x000005DC00000000	0x0000000000000000
4705	0x0001869F00000000	0x0000006400000000	0x0000006400000000	0x0000000000000000
4706	0x0000000100000000	0x0000006400000000	0x000005DC00000000	0x0000000000000000
4710	0x0000000100000000	0x0000000100000000	0x000005DC00000000	0x0000000000000000
4712	0x00004E2000000000	0x000007D000000000	0x000005DC00000000	0x0000000000000000
4713	0x0016E36000000000	0x0000000100000000	0x000005DC00000000	0x0000000000000000
5001	0x000007D000000000	0x000003E800000000	0x000002EE00000000	0x0000027100000000
7001	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
7002	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
7003	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
7004	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
7005	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
7006	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
7007	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
7008	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
7012	0x0000000100000000	0x0000000100000000	0x0000000100000000	0x0000000100000000
