Id	Life	AttackNormal	DefenseNormal	Crit
1	0x0000138800000000	0x0000000000000000	0x0000000000000000	0x000000027FFFFFF1
4	0x000009C400000000	0x0000000A00000000	0x0000000500000000	0x000000017FFFFFF7
5	0x0000001400000000	0x0000000A00000000	0x0000000300000000	0x000000017FFFFFF7
6	0x000009C400000000	0x0000000A00000000	0x0000000500000000	0x000000017FFFFFF7
7	0x0000001400000000	0x0000000A00000000	0x0000000300000000	0x000000017FFFFFF7
23	0x0000000000000000	0x0000000000000000	0x0000000000000000	0x0000000000000000
13	0x000003E800000000	0x0000000500000000	0x0000000066666664	0x000000027FFFFFF1
99	0x0000000000000000	0x0000000000000000	0x0000000000000000	0x0000000000000000
1302	0x0000138800000000	0x0000000500000000	0x0000000000000000	0x000000027FFFFFF1
4706	0x0000007800000000	0x0000000A00000000	0x0000000000000000	0x0000000000000000
5001	0x0000000000000000	0x0000000000000000	0x0000000000000000	0x0000000000000000
9	0x0000000000000000	0x0000000000000000	0x0000000000000000	0x0000000000000000
100	0x000009C400000000	0x0000000A00000000	0x0000000500000000	0x000000017FFFFFF7
101	0x0001388000000000	0x0000006400000000	0x0000012C00000000	0x0000000000000000
1026	0x000000213FFFF388	0x0000000573333128	0x00000004E6666649	0x00000002C7AE1370
2004	0x0000003200000000	0x0000000000000000	0x0000000000000000	0x0000000000000000
2005	0x0000000A00000000	0x0000000000000000	0x0000000000000000	0x0000000000000000
7001	0x0000019000000000	0x0000000500000000	0x0000000100000000	0x0000000000000000
7002	0x000001F400000000	0x0000000600000000	0x0000000100000000	0x0000000000000000
7003	0x0000019000000000	0x0000000500000000	0x0000000100000000	0x0000000000000000
7004	0x000001F400000000	0x0000000500000000	0x0000000100000000	0x0000000000000000
7005	0x0000025800000000	0x0000000600000000	0x0000000100000000	0x0000000000000000
7006	0x0000025800000000	0x0000000600000000	0x0000000100000000	0x0000000000000000
7007	0x000001F400000000	0x0000000600000000	0x0000000100000000	0x0000000000000000
7008	0x000001F400000000	0x0000000600000000	0x0000000100000000	0x0000000000000000
7012	0x000001F400000000	0x0000000600000000	0x0000000100000000	0x0000000000000000
7013	0x0000019000000000	0x0000000500000000	0x0000000100000000	0x0000000000000000
7300	0x0000003200000000	0x0000000853332993	0x0000000000000000	0x0000000000000000
7301	0x0000017C00000000	0x0000000200000000	0x0000000000000000	0x0000000000000000
8110	0x000008CA00000000	0x0000000A00000000	0x0000000A00000000	0x0000000000000000
8120	0x000002EE00000000	0x0000000F00000000	0x0000000A00000000	0x0000000000000000
8130	0x0000012C00000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8131	0x0000006400000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8132	0x0000038400000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8140	0x00000BB800000000	0x0000000A00000000	0x0000000A00000000	0x0000000000000000
8141	0x0000012C00000000	0x0000000500000000	0x0000000300000000	0x0000000000000000
8142	0x00000BB800000000	0x0000000A00000000	0x0000000A00000000	0x0000000000000000
8143	0x0000012C00000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8150	0x0000012C00000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8151	0x0000271000000000	0x0000000000000000	0x0000000000000000	0x0000000000000000
8152	0x000002D000000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8160	0x0000012C00000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8161	0x0000043800000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8170	0x0000012C00000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8171	0x0000032000000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8180	0x0000012C00000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8181	0x000002D000000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8190	0x0000012C00000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8191	0x0000038400000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8192	0x0000012C00000000	0x0000000200000000	0x0000000500000000	0x0000000000000000
8210	0x00000BB800000000	0x0000000A00000000	0x0000000A00000000	0x0000000000000000
8211	0x0000038400000000	0x0000000500000000	0x0000000500000000	0x0000000000000000
8214	0x000003E800000000	0x0000000500000000	0x0000000500000000	0x000000027FFFFFF1
