Id	UnlockPrice	EffectGroupId	Name	Desc	Icon	GroupId	ActiveLinesIndex[1]	ActiveLinesIndex[2]	PreStrengthenIds[1]	PreStrengthenIds[2]	PreStrengthenIds[3]
1	200	51001	ATK Boost	ATK increases by 5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	1	1				
2	200	51002	HP Up	Max HP increases by 5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21001.png	1	4	6	1		
3	200	51003	DMG Boost	Extra DMG Bonus increases by 5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	1			2		
4	250	51004	Shark-speare Sale Enhancement	Sale Slots in Shark-speare Sale +1	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill05.png	1			2	5	6
5	200	51005	Overall Enhancement	All basic stats (ATK, HP, CRIT, DEF) increase by 2%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21121.png	1	2				
6	200	50006	Default Biomimetic Blood Boost	Has 1 additional bottle of Biomimetic Blood at the beginning of the game	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill06.png	1	7	5	7		
7	200	50007	Default Tinbread Cookie Boost	Has 3 more Tinbread Cookies at the beginning of the game	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill07.png	1	3				
8	200	50005	Shark-speare Sale Enhancement	Item Discount Slots in Shark-speare Sale +1	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill05.png	1			6		
9	250	51011	ATK Boost	ATK increases by 5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	2	1		4		
10	250	51012	HP Up	Max HP increases by 5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21001.png	2	4	6	9		
11	250	51013	DMG Boost	Extra DMG Bonus increases by 5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	2			10		
12	300	50012	Completion Rewards Up	Grants 10% more [Downfall Crystal] and [Curse-Dispelling Chapters] following the adventure result calculation	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon33111.png	2			10	13	14
13	250	51014	Overall Enhancement	All basic stats (ATK, HP, CRIT, DEF) increase by 2%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21121.png	2	2		4		
14	250	50014	Default Biomimetic Blood Boost	Has 1 additional bottle of Biomimetic Blood at the beginning of the game	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill06.png	2	7	5	15		
15	250	50015	Default Tinbread Cookie Boost	Has 3 more Tinbread Cookies at the beginning of the game	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill07.png	2	3		4		
16	250	50021	Shark-speare Sale Enhancement	Increases the discount percentage in Shark-speare Sale.	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill05.png	2			14		
17	300	51021	ATK Boost	ATK increases by 5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21011.png	3	1		12		
18	300	51022	HP Up	Max HP increases by 5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21001.png	3	4	6	17		
19	300	51023	DMG Boost	Extra DMG Bonus increases by 5%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	3			18		
20	300	51024	Advanced DMG Boost	Further increases Physical/Fire/Lightning/Ice DMG by 10%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon1.png	3			18	21	22
21	300	51025	Overall Enhancement	All basic stats (ATK, HP, CRIT, DEF) increase by 2%	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21121.png	3	2		12		
22	300	50022	Default Biomimetic Blood Boost	Has 1 additional bottle of Biomimetic Blood at the beginning of the game	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill06.png	3	7	5	23		
23	300	50023	Default Tinbread Cookie Boost	Has 3 more Tinbread Cookies at the beginning of the game	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill07.png	3	3		12		
24	300	50020	Recruitment Refresh Boost	Character Recruitment Refresh Attempts +1	Assets/Product/Texture/Image/UiBiancaTheatre/BiancaTheatreIconSkill04.png	3			22		
