Key	Value
ItemIdRange	99999
CharacterIdRange	1999999
PartIdRange	5999999
PlayerChangeNameInterval	86400
ItemAutoIncrementInterval	30000
EquipMinCritProb	0
EquipMinCritMultiple	1.5
EquipMaxCritProb	0
EquipMaxCritMultiple	2
EquipExpInheritPercent	100
EquipRecycleItemId	31200
EquipRecycleItemPercent	10
PokerGuessingItemId	97032
MinResonanceBindStar	6
MinEquipAwakeStar	6
EquipTransformChipUseCount	3
EquipDecomposeReturnRate	7000
ResonanceLockMinStar	5
FubenDifficultNormal	1
FubenDifficultHard	2
FubenDifficultVariations	3
FubenDifficultNightmare	100
FubenStageStarNum	3
FubenNotGetTreasure	0
FubenGetTreasure	1
FubenTypeMainLine	1
FubenTypeChallenge	2
FubenTypeActivity	3
FubenTypeTower	4
FubenMaxRecordPlayerNum	10
TypeIdMainLine	10
TypeIdBossSingle	11
TypeIdMultiDimSingle	150
TypeIdExplore	12
TypeIdGuildBossLow	20
TypeIdGuildBossHigh	21
TypeIdGuildBossBoss	22
TypeIdUnionFight	40
TypeIdExpedition	50
TypeIdRpgTower	60
TypeIdArenaOnline	70
TypeIdNieR	80
TypeIdNieRRepeat	90
TypeIdSimulatedCombat	100
TeamMaxPos	3
AssistTypePasser	1
AssistTypeFriend	2
AssistTypeLegion	3
AssistTypeRobot	4
AssistPasserWeight	30
AssistFriendWeight	70
AssistLegionWeight	0
AssistFriendCdTime	3600
AssistLegionCdTime	3600
AssistPasserCdTime	120
UseAssistCount	999
AssistOwnMaxNum	5
AssistOtherMaxNum	5
AssistCdTime	3600
QualityIconCommon	Common.CommonProp
StoryPlayTimeOneToFive	0.3
StoryPlayTimeSixToTen	0.5
StoryPlayTimeEleToTwe	1
StoryPlayTimeTweoToThi	1.5
StoryPlayTimeThioToFot	2
StoryPlayTimeFotoToFif	2
StoryPlayAutoStopTime	0.5
PlayerMinLevel	1
PlayerMaxLevel	120
BuyAssetCoinBase	9915
BuyAssetCoinMul	85
BuyAssetCoinCritProb	1000
BuyAssetCoinCritMul	15000
MailTypeSystem	1
MailTypeGm	2
MailStatusUnread	1
MailStatusRead	2
MailStatusGetReward	3
MailStatusDelete	4
InstanceMaxStar	3
EquipWeaponMaxCount	300
EquipReformMinQuality	4
EquipChipMaxCount	1000
DailyResetTimestamp	25200
DayOfWeeklyReset	1
GlobalTimeZone	8
PlayerInitialName	Commandant
MailDefaultSendName	Gray Raven Support Force
MailCountLimit	100
FriendApplyIntervalHour	12
FriendRefuseApplyIntervalSecond	3600
FriendDeleteApplyIntervalSecond	21600
FriendRecommendMaxContinuousClickCount	3
FriendMainMaxClickIntervalTime	2
MainFriendMaxCount	2
FriendRecommendMaxContinuousClickIntervalTime	2
FriendRecommendIntervalTime	10
FriendSearchSinglePlayerIntervalTime	3
FriendFindPlayerInSpecifyDays	7
FriendFindPlayerFloatLevel	5
FriendGetGiftResetTimeId	21001
FriendMaxRecommendCount	10
FriendMaxAcceptApplyCount	100
FriendMaxRecommendRecordCount	200
