Id	Life	Attack	CritDmgRateP	CharacterValue	ExSkillPoint	IdleSpinningSpeed	RunSpinningSpeed	DodgeEnergy	JumpEnergy	DodgeEnergyRegen	JumpEnergyRegen	CustomEnergyGroup1	CustomEnergyGroup2	CustomEnergyGroup3	CustomEnergyGroup4	Speed	RunSpeedCOE	JumpSpeedCOE	IdleJumpSpeedCOE	WalkJumpSpeedCOE	SprintJumpSpeedCOE	RunStartJumpSpeedCOE	SprintStartJumpSpeedCOE	RotationSpeed	WalkSpeedCOE	SprintSpeedCOE	CauseDamageThreatCoe	RebootValue	Defense	CritP
1010	2400	100	10000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500		
1011	2400	100	10000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500		
1012	2400	100	10000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500		
1013	2400	100	10000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500		
1015	800	35	10000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500		
1016	800	35	10000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500		
1017	800	35	10000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500		
8200	99999	950	15000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500	650	500
8201	99999	950	15000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500	650	500
8202	4200	400	15000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500	650	500
8203	6500	5500	15000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500	650	500
8204	4200	400	15000	200	4	10499	10499	1000	1000	5	5	110	80	100	100	55000	10000	15000	3499	2000	12999	8000	8000	150000	2000	12999	10000	1500	650	500
8205	4200	400	15000													55000	10000	20000	1000	5000	12999	10000	12999	150000	5000	12999	10000	1500	650	500
8206	4200	400	15000													55000	10000	20000	1000	5000	12999	10000	12999	150000	5000	12999	10000	1500	650	500
8207	4200	400	15000													55000	10000	20000	1000	5000	12999	10000	12999	150000	5000	12999	10000	1500	650	500
8208	4200	400	15000													55000	10000	20000	1000	5000	12999	10000	12999	150000	5000	12999	10000	1500	650	500
8209	4200	400	15000													55000	10000	20000	1000	5000	12999	10000	12999	150000	5000	12999	10000	1500	650	500
8210	4200	400	15000													55000	10000	20000	1000	5000	12999	10000	12999	150000	5000	12999	10000	1500	650	500
8211	4200	400	15000													55000	10000	20000	1000	5000	12999	10000	12999	150000	5000	12999	10000	1500	650	500
8212	4200	400	15000													55000	10000	20000	1000	5000	12999	10000	12999	150000	5000	12999	10000	1500	650	500
8213	4200	400	15000													55000	10000	20000	1000	5000	12999	10000	12999	150000	5000	12999	10000	1500	650	500
8214	4200	400	15000													55000	10000	20000	1000	5000	12999	10000	12999	150000	5000	12999	35000	1500	650	500
8215	4200	400	15000													55000	10000	20000	1000	5000	12999	10000	12999	150000	5000	12999	35000	1500	650	500
