Id	IsFree	SceneId	Width	Height	CharCapacity	PetCapacity	InitNumber	InitName	InitFurniture[1]	InitFurniture[2]	InitFurniture[3]	InitFurniture[4]	InitFurniture[5]	InitFurniture[6]	InitFurniturePos[1]	InitFurniturePos[2]	InitFurniturePos[3]	InitFurniturePos[4]	InitFurniturePos[5]	InitFurniturePos[6]	ConsumeItemId	ConsumeItemCount
21001	1	1	38	38	3	1	1	Dormitory 1	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6		
21002		1	38	38	3	1	2	Dormitory 2	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21003		1	38	38	3	1	3	Dormitory 3	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21004		1	38	38	3	1	4	Dormitory 4	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21005		1	38	38	3	1	5	Dormitory 5	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21006		1	38	38	3	1	6	Dormitory 6	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21007		2	38	38	3	1	7	Dormitory 7	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21008		2	38	38	3	1	8	Dormitory 8	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21009		2	38	38	3	1	9	Dormitory 9	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21010		2	38	38	3	1	10	Dormitory 10	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21011		2	38	38	3	1	11	Dormitory 11	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21012		2	38	38	3	1	12	Dormitory 12	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21013		3	38	38	3	1	13	Dormitory 13	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21014		3	38	38	3	1	14	Dormitory 14	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21015		3	38	38	3	1	15	Dormitory 15	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21016		3	38	38	3	1	16	Dormitory 16	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21017		3	38	38	3	1	17	Dormitory 17	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21018		3	38	38	3	1	18	Dormitory 18	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21019		4	38	38	3	1	19	Dormitory 19	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21020		4	38	38	3	1	20	Dormitory 20	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21021		4	38	38	3	1	21	Dormitory 21	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21022		4	38	38	3	1	22	Dormitory 22	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21023		4	38	38	3	1	23	Dormitory 23	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
21024		4	38	38	3	1	24	Dormitory 24	8101004	8301004	8201004	8404002	8405002	8406005	0|0|0	0|0|0	0|0|0	0|30|3	20|20|7	20|0|6	36	5
