Id	FurnitureType	AttrScore[1]	AttrScore[2]	AttrScore[3]	MaxScore	ReturnId	Quality	MinScore
1	25001	0	0	0	300	802	2	
2	25001	200	200	200	350	803	3	300
3	25001	250	250	250	440	804	4	350
4	25001	300	300	300	501	805	5	440
5	25002	0	0	0	300	802	2	
6	25002	200	200	200	350	803	3	300
7	25002	250	250	250	440	804	4	350
8	25002	300	300	300	501	805	5	440
9	25003	0	0	0	300	802	2	
10	25003	200	200	200	350	803	3	300
11	25003	250	250	250	440	804	4	350
12	25003	300	300	300	501	805	5	440
13	25004	0	0	0	300	802	2	
14	25004	200	200	200	350	803	3	300
15	25004	250	250	250	440	804	4	350
16	25004	300	300	300	501	805	5	440
17	25005	0	0	0	300	802	2	
18	25005	200	200	200	350	803	3	300
19	25005	250	250	250	440	804	4	350
20	25005	300	300	300	501	805	5	440
21	25006	0	0	0	300	802	2	
22	25006	200	200	200	350	803	3	300
23	25006	250	250	250	440	804	4	350
24	25006	300	300	300	501	805	5	440
25	25007	0	0	0	300	802	2	
26	25007	200	200	200	350	803	3	300
27	25007	250	250	250	440	804	4	350
28	25007	300	300	300	501	805	5	440
29	25008	0	0	0	120	802	2	
30	25008	80	80	80	140	803	3	120
31	25008	100	100	100	230	804	4	140
32	25008	150	150	150	291	805	5	230
33	25009	0	0	0	120	802	2	
34	25009	80	80	80	140	803	3	120
35	25009	100	100	100	230	804	4	140
36	25009	150	150	150	291	805	5	230
37	25010	0	0	0	120	802	2	
38	25010	80	80	80	140	803	3	120
39	25010	100	100	100	230	804	4	140
40	25010	150	150	150	291	805	5	230
41	25011	0	0	0	180	802	2	
42	25011	120	120	120	210	803	3	180
43	25011	150	150	150	300	804	4	210
44	25011	200	200	200	361	805	5	300
45	25012	0	0	0	60	802	2	
46	25012	40	40	40	70	803	3	60
47	25012	50	50	50	160	804	4	70
48	25012	100	100	100	221	805	5	160
49	1	600	600	600	4500		2	
50	1	2000	2000	2000	8000		3	4500
51	1	3500	3500	3500	12000		4	8000
52	1	6500	6500	6500	9999999		5	12000
53	25013	0	0	0	60	802	2	
54	25013	40	40	40	70	803	3	60
55	25013	50	50	50	160	804	4	70
56	25013	100	100	100	221	805	5	160
