Id	FilePoolId	Weight	Announcer	Condition[1]	Condition[2]	Condition[3]	PreFileId[1]
1010001	5001	50	1				
1010101	130701	50	200	31200			
1010201	20201	50	200	31200			
1010202	20701	50	200	31200			1010201
1010203	20101	50	200	31200			1010202
1010301	30501	50	200	31200			
1010302	30502	50	200	31200			
1010401	40701	50	200	31200			
1010501	10701	50	112	31200	31205		
1020101	40401	50	302	31200			
1020201	40401	50	303	31200			
1020301	40201	50	4	31200			
1030101	10701	50	202	31200			
1030102	10701	50	200	31200			
1030103	120602	50	3	31200			
2010001	5003	50	200				
2010002	50702	50	200	31200			2010001
2010101	50501	50	200	31200			
2010201	50602	50	200	31200			
2010202	50602	50	200	31200			
2010203	50603	50	200	31200			
2010204	50603	50	200	31200			
2010301	50701	50	200	31200			
2010302	50701	50	200	31200			2010301
2010303	50701	50	200	31200			2010302
2010304	50701	50	200	31200			2010303
2010401	50601	50	200	31200			
2010501	50401	50	200	31200			
2020101	50604	50	5	31200			
3010101	70701	50	200	31200			
3010102	70701	50	200	31200			
3010103	110301	50	200	31200			
3020101	10301	50	302	31200			
4010001	5002	50	201				
4020101	60601	50	304	31200			
5010101	80201	50	200	31200			
5010102	80301	50	200	31200			
5010103	80201	50	200	31200			
5010104	80301	50	200	31200			
5010105	80101	50	200	31200			
5010201	80501	50	200	31200			
5020101	80401	50	200	31200			
5020102	80301	50	200	31200			
5020103	80301	50	200	31200			
6010101	120401	50	200	31200			
6010201	120601	50	200	31200			
6010202	120601	50	200	31200	31207		6010201
7010101	110501	50	200	31200			
7010102	110301	50	200	31200			
8010101	90501	50	200	31200			
8010102	90101	50	200	31200			
8020101	90601	50	301	31200			
8020102	90301	50	200	31200			
9010101	100601	50	157	31200	31203		
9010102	100601	50	200	31200			
9010201	100401	50	200	31200			
9010202	100101	50	200	31200			
9020101	100701	50	10	31200			
9030101	100402	50	10	31200			
10010101	10301	50	103	31200	31202	31201	
10010102	10301	50	200	31200	31202		10010101
10010201	10101	50	200	31200	31206		
10010202	10101	50	200	31200	31206		10010201
10010301	10101	50	200	31200			
10010302	10101	50	200	31200			10010301
10010303	10101	50	200	31200			10010302
10010304	10101	50	200	31200			10010303
10010401	10201	50	200	31200			
10010501	30101	50	200	31200	31204		
10010502	30101	50	200	31200	31204		
10010503	30101	50	200	31200	31204		
10010601	10201	50	200	31200			
10010602	40402	50	200	31200			
10010603	40402	50	200	31200			
10010604	20201	50	200	31200			
10010605	70301	50	200	31200			
1011001	5006	50	200				
1011002	130701	50	200	31200			
1021001	5007	50	200				
1021002	130701	50	13	31200			1011002
1021003	30201	50	3	31200			
1031001	60201	50	6	31200	31209		
1031002	60201	50	6	31200	31210		
1031003	60201	50	6	31200	31211		
2011001	50601	50	200	31200			2021002
2021001	5010	50	5				
2021002	50201	50	5	31200			
2021003	50201	50	5	31200			
3011001	70302	50	200	31200			10011013
3011002	70302	50	200	31200			
3021001	5012	50	7				
3021002	70301	50	7	31200	31210		
4011001	5011	50	200				
4011002	60401	50	200	31200			
4011003	60401	50	200	31200	31212		4011002
5011001	80201	50	200	31200			
5011002	80201	50	200	31200			
5011003	80302	50	200	31200			
5021001	80302	50	7	31200			
6011001	120101	50	200	31200	31208		
6011002	120101	50	200	31200			10011014
6011003	120601	50	200	31200			
6011004	120601	50	200	31200	31208		
6011005	120101	50	200	31200			6011002
7011001	110501	50	200	31200	31208		
7011002	110501	50	200	31200			
7011003	110701	50	200	31200			
7011004	110701	50	200	31200			7011003
7021001	110501	50	11	31200	31208		
8011001	90601	50	200	31200			
8011002	90701	50	200	31200			8021001
8021001	90701	50	9	31200			
9011001	100102	50	200	31200			
9011002	100102	50	200	31200			
9011003	100701	50	200	31200			
9021001	100701	50	10	31200			
10011001	5008	50	200				
10011002	5009	50	200				
10011003	10201	50	200	31200			
10011004	10201	50	200	31200			
10011005	10401	50	200	31200			
10011006	10402	50	200	31200	31211		
10011007	20201	50	200	31200			
10011008	20201	50	200	31200			
10011009	30201	50	200	31200			
10011010	30401	50	200	31200			
10011011	30401	50	200	31200			10011010
10011012	40201	50	200	31200			
10011013	40301	50	200	31200			
10011014	40301	50	200	31200	31208		
10031001	10301	50	4	31200			
10031002	10301	50	7	31200			
1012001	130701	50	200	31200			
1012002	40401	50	200	31200			
1012003	40401	50	200	31200			
1022001	40403	50	4	31200			
1032001	5019	50	13				
1032002	60401	50	6	31200			
1032003	60401	50	6	31200			
1032004	60401	50	6	31200	31216		
2012001	50604	50	200	31200			
2012002	50604	50	200	31200			
2012003	50605	50	200	31200			
2012004	50605	50	200	31200			
2012005	50702	50	200	31200			
2022001	50702	50	306	31200			
3012001	5013	50	200				
3012002	70301	50	200	31200			
3012003	70301	50	200	31200			
3012004	70301	50	200	31200	31212		
3012005	70302	50	200	31200			
3012006	70501	50	200	31200			
3012007	70501	50	200	31200			
3022001	70302	50	7	31200			
3022003	70701	50	7	31200			
3022004	70701	50	7	31200			3022003
3022005	90302	50	7	31200			
4012001	60601	50	200	31200	31213		
4012002	60602	50	200	31200			
4022001	60201	50	6	31200	31215		
4022002	60201	50	6	31200	31215		
4032001	60603	50	6	31200	31214		
4032002	60603	50	6	31200	31214		
5012001	5014	50	200				
5012002	80501	50	200	31200	31213		
5012003	80302	50	200	31200			
5012004	80302	50	200	31200			
5012005	80402	50	200	31200	31213		
5012006	80401	50	200	31200			
6012001	120201	50	200	31200			
6012002	120401	50	200	31200			
6012003	120602	50	200	31200			
6022001	5018	50	200				
6022002	120401	50	12	31200	31208		
6022003	120602	50	12	31200			
