Id	Type	Site	Quality	Star	WeaponSkillId	Priority	DefaultLock	CharacterId	SuitId	CharacterType	Name	LogName	Description	NeedFirstShow
2013001	1	0	3	3	2013001	2013001	0	0	0	0	Standard Pistol	3★ Dual Guns: Standard Pistol	A standard pistol made with common materials, it is simple in structure and easy to operate.	0
2014001	1	0	4	4	2014001	2014001	0	0	0	0	Tokarev	4★ Dual Guns: Tokarev	A pistol from a previous era. Crude but hardy, it continues to see service.	0
2015001	1	0	5	5	2015001	2015001	0	0	0	0	Gloomlight	5★ Dual Guns: Gloomlight	Designed for silent and rapid delivery of firepower, it boasts both quiet operation and high firing rate.	0
2016001	1	0	6	6	2016001	2016001	0	0	0	0	Wolf Fang	6★ Dual Guns: Wolf Fang	Specialized firearm focusing on single-shot performance. Not very accurate, but inflicts incredible damage.	0
2016002	1	0	6	6	2016002	2016002	0	0	0	0	Zero Scale	6★ Dual Guns: Zero Scale	Connected to Babylonia's support systems, this weapon is equipped with energy management and ballistic guidance capabilities.	0
2016003	1	0	6	6	2016003	2016003	0	0	0	0	Scion	6★ Dual Guns: Scion	A large-caliber handgun with an extended barrel, capable of inflicting considerable damage at close range. Its user loves the silver-white finish and has also inscribed fine lettering on the body to embody her conviction of eradicating evil with this weapon.	0
2022001	2	0	2	2	2022001	2022001	0	0	0	0	Standard Knife	2★ Katana: Standard Katana	Forged with standard high-speed steel. Its blade length is 1.0 m.	0
2023001	2	0	3	3	2023001	2023001	0	0	0	0	Combat Knife	3★ Katana: Combat Katana	A sword with a blade length of 0.8 m, forged from standard high-speed steel. It is sturdier than standard knives, and its slightly shorter design makes it more convenient to carry as a personal defense weapon.	0
2024001	2	0	4	4	2024001	2024001	0	0	0	0	Unbranded Blade	4★ Katana: Unbranded Katana	There is no inscription by the maker, but the blade itself is perfectly sharp and deadly.	0
2024002	2	0	4	4	2024001	2024002	0	0	0	0	Unbranded Blade	4★ Katana: Unbranded Katana	There is no inscription by the maker, but the blade itself is perfectly sharp and deadly.	0
2025001	2	0	5	5	2025001	2025001	0	0	0	0	Kuji no Sada	5★ Katana: Kuji no Sada	A curious katana based on a legendary blade. No longer suited for the modern battlefield.	0
2026001	2	0	6	6	2026001	2026001	0	0	0	0	Lotus Berserker	6★ Katana: Lotus Berserker	In addition to a keen edge, the Lotus Berserker is also connected to the M.I.N.D., allowing it to synchronize with the Construct and enabling different types of attacks.	0
2026002	2	0	6	6	2026002	2026002	0	0	0	0	Inverse - Shadow	6★ Katana: Inverse - Shadow	Inverse is the name of an experimental project that has resulted in the creation of this prototype.	0
2026003	2	0	6	6	2026003	2026003	0	0	0	0	Sirius	6★ Katana: Sirius	Its power as a weapon is nothing to write home about, but it is much sought after for its attractive appearance.	0
2026004	2	0	6	6	2026004	2026004	0	0	0	0	Sakura	6★ Katana: Sakura	A sword with a blade length of 1.0 m, violently forged from a blend of multiple materials. Surprisingly, its structural strength remains uncompromised. For reasons unknown, the blade gradually turns crimson red with every successive slash.	0
2026005	2	0	6	6	2026005	2026005	0	0	0	0	Crimson Birch	6★ Katana: Crimson Birch	The blade is 0.9 meters long and was forged using a composite process with high precision. The color of the blade gradually changes according to the temperature. In extreme cases, dark red icy veins will appear faintly on the blade.	0
2026006	2	0	6	6	2026006	2026006	0	0	0	0	Sariel	6★ Katana: Sariel	A sword with a blade length of 0.9 m, featuring an edge that can expand from a single to a double blade, leaving enemies with twice the wounds. While it causes little damage upon stabbing into an enemy, it extracts their internal vital fluids upon withdrawal, inflicting prolonged torment.	0
2032001	3	0	2	2	2032001	2032001	0	0	0	0	Levitator	2★ Levi-Gun: Levitator	A general-purpose wireless remote attack weapon.	0
2033001	3	0	3	3	2033001	2033001	0	0	0	0	Semi-Auto Turret	3★ Levi-Gun: Semi-Auto Turret	A semi-automated Levi-Gun capable of executing simple attacks based on the user's will.	0
