Id	AttribId[1]	AttribId[2]	AttribDes1[1]	AttribDes1[2]	AttribDes2[1]	AttribDes2[2]	ItemId[1]	ItemId[2]	ItemId[3]	ItemId[4]	ItemId[5]	ItemCount[1]	ItemCount[2]	ItemCount[3]	ItemCount[4]	ItemCount[5]	ItemCrystalId[1]	ItemCrystalId[2]	ItemCrystalId[3]	ItemCrystalCount[1]	ItemCrystalCount[2]	ItemCrystalCount[3]	AwarenessAttrDesc	AwarenessAttrValue
3016001	40160014	40160015	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70011	70012	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3016002	40160024	40160025	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70021	70022	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3016003	40160034	40160035	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70031	70032	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3016004	40160044	40160045	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70041	70042	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3016005	40160054	40160055	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70051	70052	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3016006	40160064	40160065	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70061	70062	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3016007	40160074	40160075	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70071	70072	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3016008	40160084	40160085	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70081	70082	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3016009	40160094	40160095	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70091	70092	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3016010	40160104	40160105	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70101	70102	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3016011	40160114	40160115	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70111	70112	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3016012	40160124	40160125	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70121	70122	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026001	40260014	40260015	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70011	70012	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026002	40260024	40260025	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70021	70022	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026003	40260034	40260035	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70031	70032	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026004	40260044	40260045	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70041	70042	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026005	40260054	40260055	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70051	70052	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026006	40260064	40260065	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70061	70062	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026007	40260074	40260075	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70071	70072	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026008	40260084	40260085	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70081	70082	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026009	40260094	40260095	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70091	70092	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026010	40260104	40260105	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70101	70102	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026011	40260114	40260115	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70111	70112	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3026012	40260124	40260125	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70121	70122	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036001	40360014	40360015	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70011	70012	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036002	40360024	40360025	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70021	70022	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036003	40360034	40360035	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70031	70032	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036004	40360044	40360045	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70041	70042	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036005	40360054	40360055	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70051	70052	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036006	40360064	40360065	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70061	70062	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036007	40360074	40360075	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70071	70072	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036008	40360084	40360085	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70081	70082	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036009	40360094	40360095	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70091	70092	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036010	40360104	40360105	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70101	70102	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036011	40360114	40360115	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70111	70112	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3036012	40360124	40360125	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	Memory HP increases by 17.5%	Memory CRIT increases by 12.5%	1	79991	79992	70121	70122	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3046001	40460014	40460015	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	79991	79992	70011	70012	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3046002	40460024	40460025	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	79991	79992	70021	70022	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3046003	40460034	40460035	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	79991	79992	70031	70032	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3046004	40460044	40460045	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	79991	79992	70041	70042	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3046005	40460054	40460055	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	79991	79992	70051	70052	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3046006	40460064	40460065	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	79991	79992	70061	70062	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3046007	40460074	40460075	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	79991	79992	70071	70072	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3046008	40460084	40460085	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	79991	79992	70081	70082	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3046009	40460094	40460095	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	79991	79992	70091	70092	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
3046010	40460104	40460105	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	Memory ATK increases by 17.5%	Memory DEF increases by 12.5%	1	79991	79992	70101	70102	50000	9	3	6	1	1	70001	70002	50000	480	80	DMG Bonus: +	1
