Id	SkillEffect[1]	SkillEffect[2]	SkillEffect[3]	SkillEffect[4]	SkillEffect[5]	SkillEffect[6]	EquipIds[1]	EquipIds[2]	EquipIds[3]	EquipIds[4]	EquipIds[5]	EquipIds[6]
0	0	0	0	0	0	0	0	0	0	0	0	0
1101	0	0	0	0	0	0	0	0	0	0	0	0
1201	0	120102	0	120104	0	0	3012001	3022001	3032001	3042001	3052001	3062001
1301	0	130102	0	130104	0	0	3013001	3023001	3033001	3043001	3053001	3063001
1304	0	130402	0	130404	0	0	3013002	3023002	3033002	3043002	3053002	3063002
1401	0	140102	0	140104	0	0	3014001	3024001	3034001	3044001	3054001	3064001
1404	0	140402	0	140404	0	0	3014002	3024002	3034002	3044002	3054002	3064002
1407	0	140702	0	140704	0	0	3014003	3024003	3034003	3044003	3054003	3064003
1410	0	141002	0	141004	0	0	3014004	3024004	3034004	3044004	3054004	3064004
1413	0	141302	0	0	0	0	3014005	0	0	3044005	0	0
1416	0	141602	0	141604	0	141606	3014006	3024006	3034006	3044006	3054006	3064006
1501	0	150102	0	150104	0	0	3015001	3025001	3035001	3045001	3055001	3065001
1502	0	150202	0	150204	0	0	3015002	3025002	3035002	3045002	3055002	3065002
1503	0	150302	0	150304	0	0	3015003	3025003	3035003	3045003	3055003	3065003
1504	0	150402	0	150404	0	0	3015004	3025004	3035004	3045004	3055004	3065004
1505	0	150502	0	150504	0	0	3015005	3025005	3035005	3045005	3055005	3065005
1506	0	150602	0	150604	0	0	3015006	3025006	3035006	3045006	3055006	3065006
1507	0	150702	0	150704	0	0	3015007	3025007	3035007	3045007	3055007	3065007
1508	0	150802	0	150804	0	0	3015008	3025008	3035008	3045008	3055008	3065008
1509	0	150902	0	150904	0	150906	3015009	3025009	3035009	3045009	3055009	3065009
1550	0	155002	0	155004	0	0	3015050	3025050	3035050	3045050	3055050	3065050
1551	0	155012	0	0	0	0	3015051	3025051	3035051	3045051	3055051	3065051
1552	0	155022	0	0	0	0	3015052	3025052	3035052	3045052	3055052	3065052
1553	0	155052	0	155054	0	0	3015053	3025053	3035053	3045053	3055053	3065053
1555	0	155032	0	0	0	0	3015055	3025055	3035055	3045055	3055055	3065055
1556	0	155042	0	0	0	0	3015056	3025056	3035056	3045056	3055056	3065056
1557	0	155062	0	155064	0	0	3015057	3025057	3035057	3045057	3055057	3065057
1558	0	155072	0	155074	0	0	3015058	3025058	3035058	3045058	3055058	3065058
