Id	CharacterId	RewardId	HeadPortrait	LevelId	ConditionIds[0]	ConditionIds[1]	ConditionIds[2]	SkillGroupId
1	1011002		9000001	1				
2	1011002	10110020	9000001	2	40061109	40062109		
3	1011002	10110021	9000002	3	40061001	40062110		
4	1011002	10110022	9000003	4	40061002	40062111	40063001	1012270
5	1021001		9000001	1				
6	1021001	10210010	9000001	2	40061110	40062113		
7	1021001	10210011	9000002	3	40061004	40062114		
8	1021001	10210012	9000003	4	40061005	40062115	40063002	1021270
9	1031001		9000001	1				
10	1031001	10310010	9000001	2	40061111	40062117		
11	1031001	10310011	9000002	3	40061007	40062118		
12	1031001	10310012	9000003	4	40061008	40062119	40063003	1031270
13	1051001		9000001	1				
14	1051001	10510010	9000001	2	40061112	40062121		
15	1051001	10510011	9000002	3	40061010	40062122		
16	1051001	10510012	9000003	4	40061011	40062123	40063004	1051270
17	1031002		9000001	1				
18	1031002	10310020	9000001	2	40061113	40062125		
19	1031002	10310021	9000002	3	40061013	40062126		
20	1031002	10310022	9000003	4	40061014	40062127	40063005	1032270
21	1021002		9000001	1				
22	1021002	10210020	9000001	2	40061114	40062129		
23	1021002	10210021	9000002	3	40061016	40062130		
24	1021002	10210022	9000003	4	40061017	40062131	40063006	1022270
25	1031003		9000001	1				
26	1031003	10310030	9000001	2	40061115	40062133		
27	1031003	10310031	9000002	3	40061019	40062134		
28	1031003	10310032	9000003	4	40061020	40062135	40063007	1033270
29	1061003		9000001	1				
30	1061003	10610030	9000001	2	40061116	40062137		
31	1061003	10610031	9000002	3	40061022	40062138		
32	1061003	10610032	9000003	4	40061023	40062139	40063008	1063270
33	1081002		9000001	1				
34	1081002	10810020	9000001	2	40061117	40062141		
35	1081002	10810021	9000002	3	40061025	40062142		
36	1081002	10810022	9000003	4	40061026	40062143	40063009	1082270
37	1071002		9000001	1				
38	1071002	10710020	9000001	2	40061118	40062145		
39	1071002	10710021	9000002	3	40061028	40062146		
40	1071002	10710022	9000003	4	40061029	40062147	40063010	1072270
41	1061002		9000001	1				
42	1061002	10610020	9000001	2	40061119	40062149		
43	1061002	10610021	9000002	3	40061031	40062150		
