Id	Type	AttribId	PromotedId
10110021	1	101021	101021
10110022	1	101022	101022
10110023	1	101023	101023
10110024	1	101024	101024
10110025	1	101025	101025
10110026	1	101026	101026
10210011	1	102011	102011
10210012	1	102012	102012
10210013	1	102013	102013
10210014	1	102014	102014
10210015	1	102015	102015
10210016	1	102016	102016
10310011	3	103011	103011
10310012	3	103012	103012
10310013	3	103013	103013
10310014	3	103014	103014
10310015	3	103015	103015
10310016	3	103016	103016
10410021	1	104021	104021
10410022	1	104022	104022
10410023	1	104023	104023
10410024	1	104024	104024
10410025	1	104025	104025
10410026	1	104026	104026
10510011	2	105011	105011
10510012	2	105012	105012
10510013	2	105013	105013
10510014	2	105014	105014
10510015	2	105015	105015
10510016	2	105016	105016
10610021	2	106021	106021
10610022	2	106022	106022
10610023	2	106023	106023
10610024	2	106024	106024
10610025	2	106025	106025
10610026	2	106026	106026
10710021	1	107021	107021
10710022	1	107022	107022
10710023	1	107023	107023
10710024	1	107024	107024
10710025	1	107025	107025
10710026	1	107026	107026
10810021	1	108021	108021
10810022	1	108022	108022
10810023	1	108023	108023
10810024	1	108024	108024
10810025	1	108025	108025
10810026	1	108026	108026
10210021	1	102021	102021
10210022	1	102022	102022
10210023	1	102023	102023
10210024	1	102024	102024
10210025	1	102025	102025
10210026	1	102026	102026
10310021	3	103021	103021
10310022	3	103022	103022
10310023	3	103023	103023
10310024	3	103024	103024
10310025	3	103025	103025
10310026	3	103026	103026
10310031	3	103031	103031
10310032	3	103032	103032
10310033	3	103033	103033
10310034	3	103034	103034
10310035	3	103035	103035
10310036	3	103036	103036
10610031	2	106031	106031
10610032	2	106032	106032
10610033	2	106033	106033
10610034	2	106034	106034
10610035	2	106035	106035
10610036	2	106036	106036
10110031	1	101031	101031
10110032	1	101032	101032
10110033	1	101033	101033
10110034	1	101034	101034
10110035	1	101035	101035
10110036	1	101036	101036
10710031	1	107031	107031
10710032	1	107032	107032
10710033	1	107033	107033
10710034	1	107034	107034
10710035	1	107035	107035
10710036	1	107036	107036
10510031	2	105031	105031
10510032	2	105032	105032
10510033	2	105033	105033
10510034	2	105034	105034
10510035	2	105035	105035
10510036	2	105036	105036
10210031	1	102031	102031
10210032	1	102032	102032
10210033	1	102033	102033
10210034	1	102034	102034
10210035	1	102035	102035
10210036	1	102036	102036
19990	1	102011	102011
11170	3	107036	107036
10260	2	1026	1026
10810031	1	108031	108031
10810032	1	108032	108032
10810033	1	108033	108033
10810034	1	108034	108034
10810035	1	108035	108035
10810036	1	108036	108036
10910021	2	109021	109021
10910022	2	109022	109022
10910023	2	109023	109023
10910024	2	109024	109024
10910025	2	109025	109025
10910026	2	109026	109026
10410031	1	104031	104031
10410032	1	104032	104032
10410033	1	104033	104033
10410034	1	104034	104034
10410035	1	104035	104035
10410036	1	104036	104036
11110021	3	111021	111021
11110022	3	111022	111022
11110023	3	111023	111023
11110024	3	111024	111024
11110025	3	111025	111025
11110026	3	111026	111026
11210021	2	112021	112021
11210022	2	112022	112022
11210023	2	112023	112023
11210024	2	112024	112024
11210025	2	112025	112025
11210026	2	112026	112026
11320	1	60011	60010
10320	1	60011	60010
12320	1	102046	102046
11150	2	60011	60010
11070	2	60011	60010
13120	1	60012	60010
10210041	1	102041	102041
10210042	1	102042	102042
10210043	1	102043	102043
10210044	1	102044	102044
10210045	1	102045	102045
10210046	1	102046	102046
11310021	3	113021	113021
11310022	3	113022	113022
11310023	3	113023	113023
11310024	3	113024	113024
11310025	3	113025	113025
11310026	3	113026	113026
15110031	4	151031	151031
15110032	4	151032	151032
15110033	4	151033	151033
15110034	4	151034	151034
15110035	4	151035	151035
15110036	4	151036	151036
11410031	2	114031	114031
11410032	2	114032	114032
11410033	2	114033	114033
11410034	2	114034	114034
11410035	2	114035	114035
11410036	2	114036	114036
15210031	4	152031	152031
15210032	4	152032	152032
15210033	4	152033	152033
15210034	4	152034	152034
15210035	4	152035	152035
15210036	4	152036	152036
11610021	2	116021	116021
11610022	2	116022	116022
11610023	2	116023	116023
11610024	2	116024	116024
11610025	2	116025	116025
11610026	2	116026	116026
11710031	1	117031	117031
11710032	1	117032	117032
11710033	1	117033	117033
11710034	1	117034	117034
11710035	1	117035	117035
11710036	1	117036	117036
11810031	1	118031	118031
11810032	1	118032	118032
11810033	1	118033	118033
11810034	1	118034	118034
11810035	1	118035	118035
11810036	1	118036	118036
11910031	3	119031	119031
11910032	3	119032	119032
11910033	3	119033	119033
11910034	3	119034	119034
11910035	3	119035	119035
11910036	3	119036	119036
12010031	2	120031	120031
12010032	2	120032	120032
12010033	2	120033	120033
12010034	2	120034	120034
12010035	2	120035	120035
12010036	2	120036	120036
12110021	3	121021	121021
12110022	3	121022	121022
12110023	3	121023	121023
12110024	3	121024	121024
12110025	3	121025	121025
12110026	3	121026	121026
15310031	4	153031	153031
15310032	4	153032	153032
15310033	4	153033	153033
15310034	4	153034	153034
15310035	4	153035	153035
15310036	4	153036	153036
11210031	2	112031	112031
11210032	2	112032	112032
11210033	2	112033	112033
11210034	2	112034	112034
11210035	2	112035	112035
11210036	2	112036	112036
12210021	2	122021	122021
12210022	2	122022	122022
12210023	2	122023	122023
12210024	2	122024	122024
12210025	2	122025	122025
12210026	2	122026	122026
11310031	2	113031	113031
11310032	2	113032	113032
11310033	2	113033	113033
11310034	2	113034	113034
11310035	2	113035	113035
11310036	2	113036	113036
15410031	4	154031	154031
15410032	4	154032	154032
15410033	4	154033	154033
15410034	4	154034	154034
15410035	4	154035	154035
15410036	4	154036	154036
10310041	5	103041	103041
10310042	5	103042	103042
10310043	5	103043	103043
10310044	5	103044	103044
10310045	5	103045	103045
10310046	5	103046	103046
15310041	5	153041	153041
15310042	5	153042	153042
15310043	5	153043	153043
15310044	5	153044	153044
15310045	5	153045	153045
15310046	5	153046	153046
15510031	4	155031	155031
15510032	4	155032	155032
15510033	4	155033	155033
15510034	4	155034	155034
15510035	4	155035	155035
15510036	4	155036	155036
10510041	2	105041	105041
10510042	2	105042	105042
10510043	2	105043	105043
10510044	2	105044	105044
10510045	2	105045	105045
10510046	2	105046	105046
15610031	4	156031	156031
15610032	4	156032	156032
15610033	4	156033	156033
15610034	4	156034	156034
15610035	4	156035	156035
15610036	4	156036	156036
10710041	2	107041	107041
10710042	2	107042	107042
10710043	2	107043	107043
10710044	2	107044	107044
10710045	2	107045	107045
10710046	2	107046	107046
15710031	4	157031	157031
15710032	4	157032	157032
15710033	4	157033	157033
15710034	4	157034	157034
15710035	4	157035	157035
15710036	4	157036	157036
10410041	1	104041	104041
10410042	1	104042	104042
10410043	1	104043	104043
10410044	1	104044	104044
10410045	1	104045	104045
10410046	1	104046	104046
12310021	1	123021	123021
12310022	1	123022	123022
12310023	1	123023	123023
12310024	1	123024	123024
12310025	1	123025	123025
12310026	1	123026	123026
10110041	1	101041	101041
10110042	1	101042	101042
10110043	1	101043	101043
10110044	1	101044	101044
10110045	1	101045	101045
10110046	1	101046	101046
10910031	5	109031	109031
10910032	5	109032	109032
10910033	5	109033	109033
10910034	5	109034	109034
10910035	5	109035	109035
10910036	5	109036	109036
10210051	1	102051	102051
10210052	1	102052	102052
10210053	1	102053	102053
10210054	1	102054	102054
10210055	1	102055	102055
10210056	1	102056	102056
12410021	3	124021	124021
12410022	3	124022	124022
12410023	3	124023	124023
12410024	3	124024	124024
12410025	3	124025	124025
12410026	3	124026	124026
12210031	5	122031	122031
12210032	5	122032	122032
12210033	5	122033	122033
12210034	5	122034	122034
12210035	5	122035	122035
12210036	5	122036	122036
12510021	1	125021	125021
12510022	1	125022	125022
12510023	1	125023	125023
12510024	1	125024	125024
12510025	1	125025	125025
12510026	1	125026	125026
12610031	5	126031	126031
12610032	5	126032	126032
12610033	5	126033	126033
12610034	5	126034	126034
12610035	5	126035	126035
12610036	5	126036	126036
12710031	1	127031	127031
12710032	1	127032	127032
12710033	1	127033	127033
12710034	1	127034	127034
12710035	1	127035	127035
12710036	1	127036	127036
12810021	1	128021	128021
12810022	1	128022	128022
12810023	1	128023	128023
12810024	1	128024	128024
12810025	1	128025	128025
12810026	1	128026	128026
10810041	2	108041	108041
10810042	2	108042	108042
10810043	2	108043	108043
10810044	2	108044	108044
10810045	2	108045	108045
