StageId	Name	Description	Icon	StoryIcon	BgmId	AmbientSound	LoadingType	RewardTipId	EventId	NormalEventIdOnPassed	UnlockEventId[1]	UnlockEventId[2]	NormalEventId[1]	NormalEventId[2]	PreEventId[1]	PreEventId[2]	PreEventId[3]	PreEventId[4]	ClearEventId[1]	ClearEventId[2]	ClearEventId[3]	DisappearCondition	OrderId	RecommandLevel	IsMultiplayer	HaveAssist	StandardUseTimeSec	RequireLevel	RequireActionPoint	FirstRequireActionPoint	FinishRequireActionPoint	CharacterLimitType	CareerSuggestType	AISuggestType	LimitBuffId	PassTimeLimit	PreStageId[1]	PreStageId[2]	PreStageId[3]	PreStageId[4]	FlopRewardId	FinishRewardShow	FirstRewardShow	FinishDropId	FirstRewardId	StarRewardId[1]	StarRewardId[2]	StarRewardId[3]	TeamExp	FirstTeamExp	FinishTeamExp	CardExp	FirstCardExp	FinishCardExp	MaxChallengeNums	BuyChallengeCost	BuyChallengeCount	KeepPlayingStory	BeginStoryId	EndStoryId	OnlinePlayerLeast	OnlinePlayerLimit	StarDesc[1]	StarDesc[2]	StarDesc[3]	DescEventId[1]	DescEventId[2]	DescEventId[3]	SettleLoseTipId	SuggestedConditionId[1]	SuggestedConditionId[2]	SuggestedConditionId[3]	ForceConditionId[1]	ForceConditionId[2]	ForceConditionId[3]	HaveFirstPass	FirstGotoSkipId	FunctionLeftBtn	FunctionRightBtn	RobotId[1]	RobotId[2]	RobotId[3]	UrgentEventId[1]	UrgentEventId[2]	UrgentEventId[3]	RebootId	AutoFightId	StageType	StageGridStyle	FightControlId	DisableJoystick	NeedJobType[1]	NeedJobType[2]	NeedJobType[3]	MultiChallengeId	Restartable	ResetHpCount[1]	ResetHpCount[2]	ResetHpCount[3]	StoryUiStyle	OnlineMsgId	ForceAllyEffect	DisableDeadEffect	HideAction	Ability
1	Fake Stage for Close Beta Only	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.			101					1													1			1			6						1							100101010							6													3	なし	なし	なし																								Rectangle			1	2	3											
2	Fake Stage for Close Beta Only	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.			101					1													1			1			6						1														6													3	なし	なし	なし											1	1010	2	1										Rectangle			1	2	3											
10010001	Afterglow	This is Gray Raven, now entering the City 015 ruins.	Assets/Product/Texture/Image/UiFubenMainTab/UiFuben00Img04.png	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal04.png	101	311				1													1	1				1							1																											3	Defeat all the Corrupted.	Fight till the last moment.	Clear Stage.											1		2	1	1011								2	Square			1	2	3											
10010002	Origin	Stay close to me, Commandant.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0002.png		111	301				1													2	1		1		1							1																											3	Defeat all the Corrupted.	Fight till the last moment.	Clear Stage.											1		2	1	1011						1			Rectangle			1	2	3											
10010003	Dark Red	Take a long, hard look at what humanity really is.	Assets/Product/Texture/Image/UiFubenMainTab/UiFuben00Img05.png	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal05.png	112	301				1													3	1				1							1																											3	Challenge the unknown Construct.	Fight till the last moment.	Clear Stage.											1	21	2	1	1011								2	Square			1	2	3											
10010004	Dawn	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal01.png		111					1													4	1		1		1		6					1															6			10									3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Rectangle			1	2	3											
10010005	New Crisis	[Ascension & Corrupted Collection] Gray Raven, assembled!	Assets/Product/Texture/Image/UiFubenPrequelTab/PrequelTab00.png		112	301				1													5	1				1							1																											3	Clear Stage.													1	21	2	1	1011								2	Square			1	2	3											
10010101	A Brief Transit	To ensure the victory in Zone Q1, Gray Raven decided to head further into the zone.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													1	1		1		1		6					1	300							10010101		10010101					6			11					1				3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	1		1	2	3											
10010102	Farewell Gift	During the battle, Gray Raven received a rendezvous signal, so they decided to set C-point as the temporary destination.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													2	1		1		1		6					1	300	10010101						10010102		10010102					6			11					1				3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	1		1	2	3											
10010103	Graffiti Blast	Traces of graffiti. Facing such eerie artwork, Liv decided to join the battle.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0101.png		101	303				1													3	1		1		1		6					1	300	10010102						10010103		10010103					6			11					1				3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Rectangle	1		1	2	3											
10010104	Full Strength	Commandant, now you can try using Liv in the battle. - Lucia	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		111	314				1													4	1		1		1		6					1	300	10010103						10010104		10010104					6			11					1				3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Square	1		1	2	3											
10010201	Restoring Scene	After reaching C-point, all Gray Raven saw were the remains of their comrades, as well as the Corrupted feasting on them. Get rid of them.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													5	1		1		1		6					1	300	10010104						10010105		10010105					6			11					1				3	Have all members survive.	Die less than once	Clear in 150s											1		2	1							1			Square	1		1	2	3											
10010202	Lost in Mist	Lucia found an arm from the remains that fit her just well. The Corrupted ahead are perfect targets for her to test it.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png		101	303				1													6	1		1		1		6					1	300	10010201						10010106		10010106					6			11					1				3	Have all members survive.	Die less than once	Clear in 150s											1	21	2	1							1			Square	1		1	2	3											
