Id	Name	BuffName[1]	BuffName[2]	DistributeTypes[1]	DistributeTypes[2]	Desc	Region	BuffIds[1]	BuffIds[2]	BuffDesc[1]	BuffDesc[2]	StageId[1]	StageId[2]	MarkId	IsAbandoned
1	Machine Factory	Machine Factory		1		Joint Operation: Refresh multiple Normal and Elite enemies	0	4001		Physical DMG greatly increases, Ultima Slash DMG slightly increases.		30080123	30080103	3	0
2	Crimson Frostland	Crimson Frostland		2		Joint Operation: Refresh multiple Normal and Elite enemies	0	4002		Ice DMG greatly increases, Glaciation DMG slightly increases.		30080223	30080203	3	0
3	Cycle of Fire	Cycle of Fire		3		Joint Operation: Refresh multiple Normal and Elite enemies	0	4003		Fire DMG greatly increases, Ignition DMG slightly increases.		30080323	30080303	3	0
4	Laser Alloy	Laser Alloy		4		Joint Operation: Refresh multiple Normal and Elite enemies	0	4004		Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.		30080423	30080403	3	0
5	Shadow Forest	Shadow Forest		5		Joint Operation: Refresh multiple Normal and Elite enemies	0	4005		Dark DMG greatly increases, Darkflow DMG slightly increases.		30080523	30080503	3	0
6	Machine Factory	Machine Factory		1		Desperate Fight: Refresh only 1 enemy per wave	0	4001		Physical DMG greatly increases, Ultima Slash DMG slightly increases.		30080124	30080104	5	0
7	Crimson Frostland	Crimson Frostland		2		Desperate Fight: Refresh only 1 enemy per wave	0	4002		Ice DMG greatly increases, Glaciation DMG slightly increases.		30080224	30080204	5	0
8	Cycle of Fire	Cycle of Fire		3		Desperate Fight: Refresh only 1 enemy per wave	0	4003		Fire DMG greatly increases, Ignition DMG slightly increases.		30080324	30080304	5	0
9	Laser Alloy	Laser Alloy		4		Desperate Fight: Refresh only 1 enemy per wave	0	4004		Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.		30080424	30080404	5	0
10	Shadow Forest	Shadow Forest		5		Desperate Fight: Refresh only 1 enemy per wave	0	4005		Dark DMG greatly increases, Darkflow DMG slightly increases.		30080524	30080504	5	0
11	Machine Factory	Machine Factory		1		Duo Challenge: Refresh 2 Elite enemies per wave	0	4001		Physical DMG greatly increases, Ultima Slash DMG slightly increases.		30080125	30080105	4	0
12	Crimson Frostland	Crimson Frostland		2		Duo Challenge: Refresh 2 Elite enemies per wave	0	4002		Ice DMG greatly increases, Glaciation DMG slightly increases.		30080225	30080205	4	0
13	Cycle of Fire	Cycle of Fire		3		Duo Challenge: Refresh 2 Elite enemies per wave	0	4003		Fire DMG greatly increases, Ignition DMG slightly increases.		30080325	30080305	4	0
14	Laser Alloy	Laser Alloy		4		Duo Challenge: Refresh 2 Elite enemies per wave	0	4004		Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.		30080425	30080405	4	0
15	Shadow Forest	Shadow Forest		5		Duo Challenge: Refresh 2 Elite enemies per wave	0	4005		Dark DMG greatly increases, Darkflow DMG slightly increases.		30080525	30080505	4	0
16	Machine Factory	Machine Factory		1		Turbulent Water: Refresh 1 Elite enemy per wave	0	4001		Physical DMG greatly increases, Ultima Slash DMG slightly increases.		30080106	30080106	3	1
17	Crimson Frostland	Crimson Frostland		2		Turbulent Water: Refresh 1 Elite enemy per wave	0	4002		Ice DMG greatly increases, Glaciation DMG slightly increases.		30080206	30080206	3	1
18	Cycle of Fire	Cycle of Fire		3		Turbulent Water: Refresh 1 Elite enemy per wave	0	4003		Fire DMG greatly increases, Ignition DMG slightly increases.		30080306	30080306	3	1
19	Laser Alloy	Laser Alloy		4		Turbulent Water: Refresh 1 Elite enemy per wave	0	4004		Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.		30080406	30080406	3	1
20	Shadow Forest	Shadow Forest		5		Turbulent Water: Refresh 1 Elite enemy per wave	0	4005		Dark DMG greatly increases, Darkflow DMG slightly increases.		30080506	30080506	3	1
21	Machine Factory	Machine Factory		1		Crowd Battle: Refresh 3 or 6 Normal enemies per wave	0	4001		Physical DMG greatly increases, Ultima Slash DMG slightly increases.		30080127	30080107	3	0
22	Crimson Frostland	Crimson Frostland		2		Crowd Battle: Refresh 3 or 6 Normal enemies per wave	0	4002		Ice DMG greatly increases, Glaciation DMG slightly increases.		30080227	30080207	3	0
23	Cycle of Fire	Cycle of Fire		3		Crowd Battle: Refresh 3 or 6 Normal enemies per wave	0	4003		Fire DMG greatly increases, Ignition DMG slightly increases.		30080327	30080307	3	0
24	Laser Alloy	Laser Alloy		4		Crowd Battle: Refresh 3 or 6 Normal enemies per wave	0	4004		Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.		30080427	30080407	3	0
25	Shadow Forest	Shadow Forest		5		Crowd Battle: Refresh 3 or 6 Normal enemies per wave	0	4005		Dark DMG greatly increases, Darkflow DMG slightly increases.		30080527	30080507	3	0
26	Nihil Floating Platform	Nihil Floating Platform		6		Desperate Fight: Refresh only 1 enemy per wave	0	4132		Nihil DMG increases.		30080623	30080603	5	0
27	Nihil Floating Platform	Nihil Floating Platform		6		Duo Challenge: Refresh 2 Elite enemies per wave	0	4132		Nihil DMG increases.		30080624	30080604	4	0
28	Nihil Floating Platform	Nihil Floating Platform		6		Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4132		Nihil DMG increases.		30080625	30080605	3	0
29	Nihil Floating Platform	Nihil Floating Platform		6		Joint Operation: Refresh multiple Normal and Elite enemies	0	4132		Nihil DMG increases.		30080626	30080606	3	0
30	Entropic Distortion	Diffraction Void	Laser Alloy	12	4	Duo Challenge: Refresh 2 Elite enemies per wave	0	4088	4004	Every 3 waves, enemies gain Equilibrium Field.	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	30080624	30080604	4	0
31	Entropic Distortion	Crimson Frostland	Shadow Forest	2	5	Desperate Fight: Refresh only 1 enemy per wave	0	4002	4005	Ice DMG greatly increases, Glaciation DMG slightly increases.	Dark DMG greatly increases, Darkflow DMG slightly increases.	30080224	30080204	5	0
32	Entropic Distortion	Cycle of Fire	Machine Factory	3	1	Joint Operation: Refresh multiple Normal and Elite enemies	0	4003	4001	Fire DMG greatly increases, Ignition DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080323	30080303	3	0
33	Entropic Distortion	Diffraction Void	Laser Alloy	12	4	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4088	4004	Every 3 waves, enemies gain Equilibrium Field.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080127	30080107	3	0
34	Entropic Distortion	Crimson Frostland	Shadow Forest	2	5	Duo Challenge: Refresh 2 Elite enemies per wave	0	4002	4005	Ice DMG greatly increases, Glaciation DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080225	30080205	4	0
35	Entropic Distortion	Cycle of Fire	Machine Factory	3	1	Desperate Fight: Refresh only 1 enemy per wave	0	4003	4001	Fire DMG greatly increases, Ignition DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080324	30080304	5	0
36	Entropic Distortion	Machine Factory	Shattered Peak	1	8	Duo Challenge: Refresh 2 Elite enemies per wave	0	4001	4115	Physical DMG greatly increases, Ultima Slash DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080125	30080105	4	0
37	Entropic Distortion	Diffraction Void	Vortex Barrier	12	7	Joint Operation: Refresh multiple Normal and Elite enemies	0	4088	4114	Every 3 waves, enemies gain Equilibrium Field.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080626	30080606	3	0
38	Entropic Distortion	Shadow Forest	Shattered Peak	5	8	Desperate Fight: Refresh only 1 enemy per wave	0	4005	4115	Dark DMG greatly increases, Darkflow DMG slightly increases.	Physical DMG slightly increases, Ultima Slash DMG greatly increases.	30080524	30080504	5	0
39	Entropic Distortion	Laser Alloy	Vortex Barrier	4	7	Number Advantage: 3 or 6 normal enemies spawn in every wave.	0	4004	4114	Lightning DMG greatly increases, Plasma Beam and Raydiance DMG slightly increases.	Lightning and Raydiance Effect DMG slightly increase, Plasma Beam DMG greatly increases.	30080427	30080407	3	0
