ChallengeId	Name	ArenaLv	MinLv	MaxLv	DistributeId	JoinNum	DanUpRank	DanKeepRank	DanUpRankCostContributeScore	DanDownRank	UpRewardId	KeepRewardId	DownRewardId	DayUnlockNum	WeekEndUnlockNum	AreaId[1]	AreaId[2]	AreaId[3]	AreaId[4]	AreaId[5]	AreaId[6]	AreaId[7]	AreaId[8]	AreaId[9]	AreaId[10]	AreaId[11]	AreaId[12]	AreaId[13]	AreaId[14]	AreaId[15]	AreaId[16]	AreaId[17]	AreaId[18]	AreaId[19]	AreaId[20]	AreaId[21]	AreaId[22]	AreaId[23]	AreaId[24]	AreaId[25]	AreaId[26]	AreaId[27]	AreaId[28]	AreaId[29]	AreaId[30]	AreaIdGroup[1]	AreaIdGroup[2]	AreaIdGroup[3]	AreaIdGroup[4]	AreaIdGroup[5]	AreaIdGroup[6]	BaseTeamRank	DifShowRate	AvgScore	MinScore	ContributeScore[1]	ContributeScore[2]	ContributeScore[3]	ContributeScore[4]	ContributeScore[5]	ContributeScore[6]	ContributeScore[7]	ContributeScore[8]	ContributeScore[9]	ContributeScore[10]	ContributeScore[11]	ContributeScore[12]	ContributeScore[13]	ContributeScore[14]	ContributeScore[15]	ContributeScore[16]	ContributeScore[17]	ContributeScore[18]	ContributeScore[19]	ContributeScore[20]	ContributeScore[21]	TaskId[1]	TaskId[2]	TaskId[3]	TaskId[4]	TaskId[5]	TaskId[6]	TaskId[7]	TaskId[8]	ProtectScore	MinWaveRate	MaxWaveRate	Ignore
1	Backup Squad	1	1	54	63	21	15	21	0	0	10301	10300	0	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	10	10	10	10	10	8	8	8	8	8	6	6	6	6	6	0	0	0	0	0	0	3863	3864	3865	3866	3877	3878	3879		1	157	177	0
2	Backup Squad	1	55	79	63	21	15	21	0	0	10324	10204	0	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	10	10	10	10	10	8	8	8	8	8	6	6	6	6	6	0	0	0	0	0	0	3863	3864	3865	3866					1	156	176	1
3	Backup Squad	1	80	120	63	21	15	21	0	0	10206	10207	0	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	10	10	10	8	8	8	6	6	6	6	6	6	3	3	3	0	0	0	0	0	0	3863	3864	3865	3866					1	229	257	1
4	Recon Squad	2	1	54	63	18	6	12	0	18	10304	10303	10302	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	12	10	10	8	8	8	6	5	4	3	3	3	0	0	0	0	0	0				3863	3864	3865	3866	3874	3875	3876		1	164	184	0
5	Recon Squad	2	55	79	63	18	6	18	0	0	10311	10310	0	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	12	10	10	8	8	8	6	5	4	3	3	3	0	0	0	0	0	0				3863	3864	3865	3866	3889	3890	3891		1	166	186	0
6	Recon Squad	2	80	120	63	18	6	18	0	0	10215	10216	10217	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	12	10	10	8	8	8	6	6	6	6	3	3	3	3	3	0	0	0				3863	3864	3865	3866					1	207	233	1
7	Vanguard Squad	3	1	54	63	15	3	9	0	15	10307	10306	10305	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	15	12	10	8	6	6	3	3	3	3	3	3	0	0	0							3863	3864	3865	3866	3871	3872	3873		1	176	197	0
8	Vanguard Squad	3	55	79	63	18	6	12	0	18	10314	10313	10312	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	15	12	10	10	8	8	6	5	4	3	3	3	0	0	0	0	0	0				3863	3864	3865	3866	3886	3887	3888		1	176	199	0
9	Vanguard Squad	3	80	120	63	18	6	18	0	0	10224	10225	10226	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	15	12	10	10	8	8	6	6	6	3	3	3	3	3	3	0	0	0				3863	3864	3865	3866					1	226	254	1
10	Elite Squad	4	1	54	63	15	0	6	0	15	0	10309	10308	2	2	1	3	4	5	2	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	1|6|11|16|21	2|7|12|17|22	3|8|13|18|23	4|9|14|19|24	5|10|15|20|25	26|27|28|29	30	75	600000	300000	18	14	10	8	8	8	6	5	4	3	3	3	0	0	0							3863	3864	3865	3866	3868	3869	3870		1	336	377	0
