Id	Name	Difficulty	FightEventIds[1]	StageId	BossId	UnlockConditionId	IsPractice
1	Normal	1	4203	30163084	1		
2	Hard	3	4203	30163086	1	862827	
3	Hell	4	4203	30163087	1	862829	
4	Tutorial	1	4203	30163088	1		1
5	Tutorial	1	4203	30163090	1		1
6	Normal	1	4207	30163089	2		
7	Hard	3	4207	30163092	2	862830	
8	Hell	4	4207	30163093	2	862832	
9	Normal	1	4206	30163094	3		
10	Hard	3	4206	30163096	3	862834	
11	Hell	4	4206	30163097	3	862835	
12	Echo Tutorial	1	4207	30163098	2		1
13	Veronica Tutorial	1	4206	30163099	2		1
14	Normal	1	4209	30163251	4		
15	Hard	3	4209	30163253	4	862871	
16	Hell	4	4209	30163254	4	862872	
17	Tutorial	1	4209	30163255	4		1
18	Normal	1	4657	30163256	5		
19	Hard	3	4657	30163257	5	862876	
20	Hell	4	4657	30163258	5	862877	
21	Vergil Tutorial	1	4657	30163259	5		1
22	Normal	1	4658	30163260	6		
23	Hard	3	4658	30163261	6	862887	
24	Hell	4	4658	30163262	6	862888	
25	Enora Lueya Tutorial	1	4658	30163263	6		1
26	NORMAL	1	4670	30163264	7		
27	HARD	3	4670	30163265	7	862893	
28	Hell	4	4670	30163266	7	862894	
29	Ezette Tutorial	1	4670	30163267	7		1
