Id	CharacterId	TalentType	FightEventId	Icon	Name	Desc	UnlockConditionId
1	1011002	1	4501	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	Buff - Palefire	After casting, gains a temporary big rating bonus that will lose effect when the character takes damage.	
2	1011002	2	4502	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	Precision Path	Dodge successfully using a Dodge Shoot to extend your Shooting Stance and reduce the Dodge Gauge cost of your next Dodge Shoot.	862802
3	1011002	2	4503	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	Silent Gladiator	Cast Taunt to enrage the Boss, making it launch a fierce attack. Receive scores at a much higher rate for 10s after cast.	862803
4	1011002	2	4504	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	Scorching Speed Attack	Dodge Gauge will recover faster during Basic Attacks. Dodge will be quickly followed by the 3rd hit of Basic Attacks, which will grant bonus points.	862804
5	1021005	1	4521	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	Buff - Crimson Weave	After casting, gains a temporary big rating bonus that will lose effect when the character takes damage.	
6	1021005	2	4506	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	Slash of Desolation	Gains a brief window of Dodge check when the Dodge button is released and Resolute Blow is cast. Earns bonus rating if successfully dodging an enemy attack during this instant.	
7	1021005	2	4508	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	Destiny's Flash	Dodge Gauge will recover faster during Basic Attacks. Receive extra rating on the last hit of Basic Attacks.	
8	1131003	1	4509	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	Buff - Garnet	After casting, gains a temporary big rating bonus that will lose effect when the character takes damage.	
9	1131003	2	4510	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	Crackling Thunder	Consume 3 stacks of Electric Charge when you cast Lightning Fall to enter Invincibility during cast.	862810
10	1131003	2	4511	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	The Flagbearer	Continue to earn points during the Post-Action of Basic Attack - Spear Lunge and Signature - Shining Piercer.	862811
11	1131003	2	4512	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon014.png	Aerial Scarlet Spear	Dodge Gauge will recover faster during Basic Attacks. Earn bonus points by using Basic Attacks. Successful Parries using Spear Lunge will grant bonus points.	862812
12	1241003	1	4513	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	Buff - Solacetune	After casting, gains a temporary big rating bonus that will lose effect when the character takes damage.	
13	1241003	2	4514	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	Dreamlike Sonata	Gain a Super Armor when protected by a shield.	862814
14	1241003	2	4515	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	Ethereal Waltz	Dodge Gauge will recover faster during Basic Attacks. Continue to earn points on the Post-Action of the last hit of your Basic Attacks.	862815
15	1241003	2	4516	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	Harmonic Chord	Earn bonus points upon casting Jade Bloom: Play.	862816
16	1021006	1	4517	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	Buff - Pyroath	After casting, gains a temporary big rating bonus that will lose effect when the character takes damage.	
17	1021006	2	4518	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon003.png	Ashen Leap	Earn bonus points and a shield by long-pressing Dodge to block an enemy attack while on the field.	862818
18	1021006	2	4519	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	Oath of Grit	Cast Taunt to enrage the Boss, making it launch a fierce attack. Earn points at a much higher rate for 10s after cast. Continue to earn points during Basic Attack Post-Action.	862819
19	1021006	2	4520	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	Swift Wing Slash	Earn bonus points when you dodge successfully and land a counterattack.	862826
20	1051005	1	4521	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	Buff - Startrail	After casting, gains a temporary big rating bonus that will lose effect when the character takes damage.	862874
21	1051005	2	4522	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon016.png	Inferno Cyclone	Casting Inferno Cyclone by pressing and holding Yellow Orb will not consume Starlight Points. Gains a 5-second rating points bonus that can be stacked each time on hit.	862864
22	1051005	2	4524	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon017.png	Block Switch	Switch forms to gain a temporary block. Upon a successful block switch in the Sword Form, increases the rating points of Core Passive launched by pressing and holding Basic Attack. Gains part of the Starlight Points instead if in the Axe Form.	862865
23	1051005	2	4523	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon027.png	Block Buff	Upon a successful block switch, increases the rating points acquisition efficiency for 10s.	862866
24	1531005	1	4521	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	Bonus - Selena	After casting, gains a temporary big rating bonus that will lose effect when the character takes damage.	862873
25	1531005	2	4525	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	Dodge Pursuit	Earn bonus Musical Notes and points when you consume Musical Notes to dodge and perform follow-up attacks successfully.	862868
26	1531005	2	4526	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	Signal Boost	Pinging a Blue Orb increases the rating points acquisition efficiency for 10s.	862869
27	1531005	2	4527	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon030.png	Charged Synergy	Press and hold Basic Attack to launch a charged attack. Next Blue Orb Ping will grant bonus rating points.	862870
28	1351003	1	4530	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon017.png	Provocation - Vergil	Taunts the Boss. Scores will be frozen during cast, but will increase massively after cast.	862879
29	1351003	2	4531	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon020.png	Starmoon Protection	Vergil becomes invincible while in midair.	862880
30	1351003	2	4533	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	Judgment Cut Advanced	Consecutive Judgment Cuts in normal status will grant a great amount of rating points.	862881
31	1351003	2	4532	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon002.png	Comet Impact	Charges to the maximum extent while using Beowulf, then attacks to get massive bonus rating points.	862882
32	1361003	1	4534	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon017.png	Provocation - Dante	Dante casts this in midair to taunt the Boss. Rating points will be frozen during cast, but will increase massively after cast.	862883
33	1361003	2	4535	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	Instant Defense Modified	Royal Guard grants more invincibility frames. Dante becomes Invincible for 3s after a successful block.	862884
34	1361003	2	4536	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	Hat Trick	Hat acquisition multiplier increases when Dante is not receiving any damage. It will be full in maximum 2.5s and will be reset to 0 when Dante takes damage or casts a hat skill on the ground. Casting a hat skill will grant rating points based on the accumulated multiplier and clear the multiplier.	862885
35	1361003	2	4537	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	Real Impact Modified	Real Impact grants massive bonus rating points and reduces its charging time on hit.	862886
36	1131004	1	4539	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon017.png	Provocation - Vera	Taunts the Boss. Scores will be frozen during cast, but will increase massively after cast.	862889
37	1131004	2	4542	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon011.png	Unstoppable	Becomes Invincible upon casting Hellfire Crucible, Razor Whirlwind, or Rending Ravage Combo.	862890
38	1131004	2	4541	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon025.png	Heart Protection	A successful block grants bonus rating points and restores a slight amount of Dodge Gauge value.	862891
39	1131004	2	4540	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	Prime	Core Passive - Shadowhunt Tremor grants bonus rating points on hit.	862892
40	1021003	1	4521	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	Buff - Crimson Abyss	After casting, gains a temporary big rating bonus that will lose effect when the character takes damage.	
41	1021003	2	4544	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	Buff	Increases rating acquisition rate.	
42	1021003	2	4545	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon007.png	Crimson Abyss	Continuously replenishes Blade Will Orbs while in the Blade Will State.	
43	1021007	1	4521	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon004.png	Buff - Inverse Crown	After casting, gains a temporary big rating bonus that will lose effect when the character takes damage.	
44	1021007	2	4546	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon013.png	Buff	Increases rating acquisition rate.	
45	1021007	2	4547	Assets/Product/Texture/Image/IconAffixUnionKill/UiUnionKillBUFFIcon001.png	Crimson Crown	Greatly reduces the charge time required to enter the Abyssborn Form.	
