Id	SectionId[1]	SectionId[2]	SectionId[3]	SectionId[4]	SectionId[5]	SectionId[6]	SectionId[7]	SectionId[8]	SectionId[9]	SectionId[10]	SectionId[11]	SectionId[12]	SectionId[13]	SectionId[14]
1	101	102	103	104										
2	105	108	106											
3	101	102	103											
4	104	105	106											
5	108	109												
6	101	102	103											
7	104	105	106	203										
8	108	109	110											
9	2020	2023	2028	2030	2031	2034	2035	2036	2037	2038	2039	2040	2041	2044
10	2020	2023	2028	2030	2031	2034	2035	2036	2037	2038	2039	2040	2041	2044
11	2020	2023	2028	2030	2031	2034	2035	2036	2037	2038	2039	2040	2041	2044
12	2025	2026	2027	2029	2032	2042	2043							
