ScoreRewardId	GoodsId	TemplateId	Count
1	60000	1	2000
1	60001	12	3
1	60002	30012	1
2	60010	1	3000
2	60011	40100	1
2	60012	30012	1
3	60020	1	5000
3	60021	40104	1
3	60022	30012	1
4	60030	1	10000
4	60031	40103	1
4	60032	30012	1
5	60040	1	20000
5	60041	505	1
5	60042	30013	1
14	60050	1	2000
14	60051	12	3
14	60052	30012	1
15	60060	1	3000
15	60061	40100	2
15	60062	30012	1
16	60070	1	5000
16	60071	40104	2
16	60072	30012	1
17	60080	1	10000
17	60081	40103	2
17	60082	30012	1
18	60090	1	20000
18	60091	505	1
18	60092	30013	1
19	60100	1	2000
19	60101	12	3
19	60102	30012	1
20	60110	1	3000
20	60111	40110	1
20	60112	30012	1
21	60120	1	5000
21	60121	40114	1
21	60122	30012	1
22	60130	1	10000
22	60131	40113	1
22	60132	30012	1
23	60140	1	20000
23	60141	505	1
23	60142	30013	1
24	60150	12	3
24	60151	30012	1
24	60152	1	3000
25	60160	40110	1
25	60161	30012	1
25	60162	1	5000
26	60170	40114	1
26	60171	30012	1
26	60172	1	10000
27	60180	40113	1
27	60181	30012	1
27	60182	1	20000
28	60190	505	1
28	60191	30013	1
28	60192	1	30000
29	60200	3	10
29	60201	40301	5
29	60202	12	2
30	60210	3	15
30	60211	40301	5
30	60212	12	2
31	60220	3	20
31	60221	40301	10
31	60222	12	3
32	60230	3	30
32	60231	40301	10
32	60232	12	3
51	60300	200	4
51	60301	12	3
51	60302	30012	1
51	60303	1	12000
52	60310	200	4
52	60311	40100	1
52	60312	30012	1
52	60313	1	13000
53	60320	200	4
53	60321	40104	1
53	60322	30012	1
53	60323	1	15000
54	60330	200	4
54	60331	40103	1
54	60332	30012	1
54	60333	1	20000
55	60340	200	3
55	60341	40110	1
55	60342	31204	3
55	60343	12	2
56	60350	200	3
56	60351	505	1
56	60352	30013	1
56	60353	1	30000
57	60360	200	3
57	60361	40114	1
57	60362	31204	3
57	60363	12	2
61	60400	200	6
61	60401	12	3
61	60402	30012	1
61	60403	1	12000
62	60410	200	6
62	60411	40100	2
62	60412	30012	1
62	60413	1	13000
63	60420	200	6
63	60421	40104	2
63	60422	30012	1
63	60423	1	15000
64	60430	200	5
64	60431	40103	2
64	60432	30012	1
64	60433	1	20000
65	60440	200	5
65	60441	40110	1
65	60442	31204	3
65	60443	12	2
66	60450	200	5
66	60451	505	1
66	60452	30013	1
66	60453	1	30000
67	60460	200	4
67	60461	40114	1
67	60462	31204	3
67	60463	12	2
71	60100	1	2000
71	60101	12	3
71	60102	30012	1
72	60110	1	3000
72	60111	40110	1
72	60112	30012	1
73	60120	1	5000
73	60121	40114	1
73	60122	30012	1
74	60130	1	10000
74	60131	40113	1
