Id	SectionId	AfreshId	StageId[1]	StageId[2]	StageId[3]	StageId[4]	StageId[5]	StageId[6]
1	101	0	30000101	30000102	30000103	30000104	30000105	30000111
2	102	0	30000201	30000202	30000203	30000204	30000205	30000211
3	103	0	30000301	30000302	30000303	30000304	30000305	30000311
4	104	0	30000601	30000602	30000603	30000604	30000605	30000611
5	105	0	30000501	30000502	30000503	30000504	30000505	30000511
6	106	0	30000701	30000702	30000703	30000704	30000705	30000711
7	107	0	30000901	30000902	30000903	30000904	30000905	30000918
8	108	0	30000401	30000402	30000403	30000404	30000405	30000411
9	109	0	30000801	30000802	30000803	30000804	30000805	30000811
10	110	0	30001001	30001002	30001003	30001004	30001005	30001011
11	201	0	30000906	30000907	30000908	30000909	30000910	30000916
12	202	0	30000911	30000912	30000913	30000914	30000915	30000917
13	203	0	30001201	30001202	30001203	30001204	30001205	30001211
14	204	0	30001301	30001302	30001303	30001304	30001305	30001311
15	1001	0	30300101	30300102	30300103	30300104	30300105	30000111
16	1002	0	30300201	30300202	30300203	30300204	30300205	30000211
17	1003	0	30300301	30300302	30300303	30300304	30300305	30000311
18	1004	0	30300601	30300602	30300603	30300604	30300605	30000611
19	1005	0	30300501	30300502	30300503	30300504	30300505	30000511
20	1006	0	30300701	30300702	30300703	30300704	30300705	30000711
21	1008	0	30300401	30300402	30300403	30300404	30300405	30000411
22	1009	0	30300801	30300802	30300803	30300804	30300805	30000811
23	1010	0	30301001	30301002	30301003	30301004	30301005	30001011
24	2003	0	30301201	30301202	30301203	30301204	30301205	30001211
25	2004	0	30301301	30301302	30301303	30301304	30301305	30001311
26	2005	0	30301401	30301402	30301403	30301404	30301405	30001311
27	2006	0	30301501	30301502	30301503	30301504	30301505	30001311
28	2007	0	30301601	30301602	30301603	30301604	30301605	30001311
29	2008	0	30301701	30301702	30301703	30301704	30301705	30001311
30	2009	0	30301801	30301802	30301803	30301804	30301805	30001311
31	2010	0	30301901	30301902	30301903	30301904	30301905	30001311
32	2011	0	30302001	30302002	30302003	30302004	30302005	30001311
33	2012	0	30302101	30302102	30302103	30302104	30302105	30001311
34	2013	0	30302201	30302202	30302203	30302204	30302205	30001311
35	2014	0	30302301	30302302	30302303	30302304	30302305	30001311
36	2015	0	30302401	30302402	30302403	30302404	30302405	30001311
37	2016	0	30302501	30302502	30302503	30302504	30302505	30001311
38	2017	0	30302601	30302602	30302603	30302604	30302605	30001311
39	2018	0	30302701	30302702	30302703	30302704	30302705	30001311
40	2019	0	30302801	30302802	30302803	30302804	30302805	30001311
41	2020	0	30302901	30302902	30302903	30302904	30302905	30001311
42	2021	0	30303001	30303002	30303003	30303004	30303005	30001311
43	2022	0	30303101	30303102	30303103	30303104	30303105	30001311
44	101	1	30000103	30000104	30000105			
45	102	1	30000203	30000204	30000205			
46	103	1	30000303	30000304	30000305			
47	104	1	30000603	30000604	30000605			
48	105	1	30000503	30000504	30000505			
49	106	1	30000703	30000704	30000705			
50	107	1	30000903	30000904	30000905			
51	108	1	30000403	30000404	30000405			
52	109	1	30000803	30000804	30000805			
53	110	1	30001003	30001004	30001005			
54	201	1	30000908	30000909	30000910			
55	202	1	30000913	30000914	30000915			
56	203	1	30001203	30001204	30001205			
57	204	1	30001303	30001304	30001305			
58	1001	1	30300103	30300104	30300105			
59	1002	1	30300203	30300204	30300205			
60	1003	1	30300303	30300304	30300305			
61	1004	1	30300603	30300604	30300605			
62	1005	1	30300503	30300504	30300505			
63	1006	1	30300703	30300704	30300705			
64	1008	1	30300403	30300404	30300405			
65	1009	1	30300803	30300804	30300805			
66	1010	1	30301003	30301004	30301005			
67	2003	1	30301203	30301204	30301205			
68	2004	1	30301303	30301304	30301305			
69	2005	1	30301403	30301404	30301405			
70	2006	1	30301503	30301504	30301505			
71	2007	1	30301603	30301604	30301605			
72	2008	1	30301703	30301704	30301705			
73	2009	1	30301803	30301804	30301805			
74	2010	1	30301903	30301904	30301905			
75	2011	1	30302003	30302004	30302005			
76	2012	1	30302103	30302104	30302105			
77	2013	1	30302203	30302204	30302205			
78	2014	1	30302303	30302304	30302305			
79	2015	1	30302403	30302404	30302405			
80	2016	1	30302503	30302504	30302505			
81	2017	1	30302603	30302604	30302605			
82	2018	1	30302703	30302704	30302705			
83	2019	1	30302803	30302804	30302805			
84	2020	1	30302903	30302904	30302905			
85	2021	1	30303003	30303004	30303005			
86	2022	1	30303103	30303104	30303105			
87	2023	1	30303201	30303202	30303203			
88	2024	1	30303204	30303205	30303206			
89	2025	1	30303207	30303208	30303209			
90	2026	1	30303210	30303211	30303212			
91	2027	1	30303213	30303214	30303215			
92	2028	1	30303225	30303226	30303227			
93	2029	1	30303228	30303229	30303230			
94	2030	1	30303234	30303235	30303236			
95	2031	1	30303237	30303238	30303239			
96	2032	1	30303240	30303241	30303242			
97	2033	1	30303246	30303247	30303248			
98	2034	1	30303249	30303250	30303251			
99	2035	1	30303252	30303253	30303254			
100	2036	1	30303255	30303256	30303257			
101	2037	1	30303258	30303259	30303260			
102	2038	1	30303261	30303262	30303263			
103	2039	1	30303264	30303265	30303266			
104	2040	1	30303267	30303268	30303269			
105	2041	1	30303270	30303271	30303272			
106	2042	1	30303273	30303274	30303275			
107	2043	1	30303276	30303277	30303278			
108	2044	1	30303279	30303280	30303281			
