StageId	Score	BossLoseHpScore	LeftTimeScore	LeftHpScore	DifficultyType	AutoFight	RebootId	PassTimeLimit
30000101	12500	5000	6000	1500	1	1	0	300
30000102	25000	10000	12000	3000	2	1	0	300
30000103	50000	20000	24000	6000	3	1	0	300
30000104	100000	40000	48000	12000	4	0	0	300
30000105	200000	80000	96000	24000	5	0	0	300
30000111	200000	80000	96000	24000	6	0	0	60
30000201	12500	5000	6000	1500	1	1	0	300
30000202	25000	10000	12000	3000	2	1	0	300
30000203	50000	20000	24000	6000	3	1	0	300
30000204	100000	40000	48000	12000	4	0	0	300
30000205	200000	80000	96000	24000	5	0	0	300
30000211	200000	80000	96000	24000	6	0	0	60
30000301	12500	5000	6000	1500	1	1	0	300
30000302	25000	10000	12000	3000	2	1	0	300
30000303	50000	20000	24000	6000	3	1	0	300
30000304	100000	40000	48000	12000	4	0	0	300
30000305	200000	80000	96000	24000	5	0	0	300
30000311	200000	80000	96000	24000	6	0	0	60
30000401	12500	5000	6000	1500	1	1	0	300
30000402	25000	10000	12000	3000	2	1	0	300
30000403	50000	20000	24000	6000	3	1	0	300
30000404	100000	40000	48000	12000	4	0	0	300
30000405	200000	80000	96000	24000	5	0	0	300
30000411	200000	80000	96000	24000	6	0	0	60
30000501	12500	5000	6000	1500	1	1	0	300
30000502	25000	10000	12000	3000	2	1	0	300
30000503	50000	20000	24000	6000	3	1	0	300
30000504	100000	40000	48000	12000	4	0	0	300
30000505	200000	80000	96000	24000	5	0	0	300
30000511	200000	80000	96000	24000	6	0	0	60
30000601	12500	5000	6000	1500	1	1	0	300
30000602	25000	10000	12000	3000	2	1	0	300
30000603	50000	20000	24000	6000	3	1	0	300
30000604	100000	40000	48000	12000	4	0	0	300
30000605	200000	80000	96000	24000	5	0	0	300
30000611	200000	80000	96000	24000	6	0	0	60
30000701	12500	5000	6000	1500	1	1	0	300
30000702	25000	10000	12000	3000	2	1	0	300
30000703	50000	20000	24000	6000	3	1	0	300
30000704	100000	40000	48000	12000	4	0	0	300
30000705	200000	80000	96000	24000	5	0	0	300
30000711	200000	80000	96000	24000	6	0	0	60
30000801	12500	5000	6000	1500	1	1	0	300
30000802	25000	10000	12000	3000	2	1	0	300
30000803	50000	20000	24000	6000	3	1	0	300
30000804	100000	40000	48000	12000	4	0	0	300
30000805	200000	80000	96000	24000	5	0	0	300
30000811	200000	80000	96000	24000	6	0	0	60
30000901	12500	5000	6000	1500	1	1	0	300
30000902	25000	10000	12000	3000	2	1	0	300
30000903	50000	20000	24000	6000	3	1	0	300
30000904	100000	40000	48000	12000	4	0	0	300
30000905	200000	80000	96000	24000	5	0	0	300
30000906	12500	5000	6000	1500	1	1	0	300
30000907	25000	10000	12000	3000	2	1	0	300
30000908	50000	20000	24000	6000	3	1	0	300
30000909	100000	40000	48000	12000	4	0	0	300
30000910	200000	80000	96000	24000	5	0	0	300
30000911	12500	5000	6000	1500	1	1	0	300
30000912	25000	10000	12000	3000	2	1	0	300
30000913	50000	20000	24000	6000	3	1	0	300
30000914	100000	40000	48000	12000	4	0	0	300
30000915	200000	80000	96000	24000	5	0	0	300
30000916	200000	80000	96000	24000	6	0	0	60
30000917	200000	80000	96000	24000	6	0	0	60
30000918	200000	80000	96000	24000	6	0	0	60
30001001	12500	5000	6000	1500	1	1	0	300
30001002	25000	10000	12000	3000	2	1	0	300
30001003	50000	20000	24000	6000	3	1	0	300
30001004	100000	40000	48000	12000	4	0	0	300
30001005	200000	80000	96000	24000	5	0	0	300
30001011	200000	80000	96000	24000	6	0	0	60
30001201	12500	5000	6000	1500	1	1	0	300
30001202	25000	10000	12000	3000	2	1	0	300
30001203	50000	20000	24000	6000	3	1	0	300
30001204	100000	40000	48000	12000	4	0	0	300
30001205	200000	80000	96000	24000	5	0	0	300
30001211	200000	80000	96000	24000	6	0	0	60
30001301	12500	5000	6000	1500	1	1	0	300
30001302	25000	10000	12000	3000	2	1	0	300
30001303	50000	20000	24000	6000	3	1	0	300
30001304	100000	40000	48000	12000	4	0	0	300
30001305	200000	80000	96000	24000	5	0	0	300
30001311	200000	80000	96000	24000	6	0	0	60
30300101	21000	7500	11250	2250	1	1	0	300
30300102	42000	15000	22500	4500	2	1	0	300
30300103	84000	30000	45000	9000	3	1	0	300
30300104	168000	60000	90000	18000	4	0	0	300
30300105	336000	120000	180000	36000	5	0	0	300
30300201	21000	7500	11250	2250	1	1	0	300
30300202	42000	15000	22500	4500	2	1	0	300
30300203	84000	30000	45000	9000	3	1	0	300
30300204	168000	60000	90000	18000	4	0	0	300
30300205	336000	120000	180000	36000	5	0	0	300
30300301	21000	7500	11250	2250	1	1	0	300
30300302	42000	15000	22500	4500	2	1	0	300
30300303	84000	30000	45000	9000	3	1	0	300
30300304	168000	60000	90000	18000	4	0	0	300
30300305	336000	120000	180000	36000	5	0	0	300
30300401	21000	7500	11250	2250	1	1	0	300
30300402	42000	15000	22500	4500	2	1	0	300
30300403	84000	30000	45000	9000	3	1	0	300
30300404	168000	60000	90000	18000	4	0	0	300
30300405	336000	120000	180000	36000	5	0	0	300
30300501	21000	7500	11250	2250	1	1	0	300
30300502	42000	15000	22500	4500	2	1	0	300
30300503	84000	30000	45000	9000	3	1	0	300
30300504	168000	60000	90000	18000	4	0	0	300
30300505	336000	120000	180000	36000	5	0	0	300
30300601	21000	7500	11250	2250	1	1	0	300
30300602	42000	15000	22500	4500	2	1	0	300
30300603	84000	30000	45000	9000	3	1	0	300
30300604	168000	60000	90000	18000	4	0	0	300
30300605	336000	120000	180000	36000	5	0	0	300
30300701	21000	7500	11250	2250	1	1	0	300
30300702	42000	15000	22500	4500	2	1	0	300
30300703	84000	30000	45000	9000	3	1	0	300
30300704	168000	60000	90000	18000	4	0	0	300
30300705	336000	120000	180000	36000	5	0	0	300
30300801	21000	7500	11250	2250	1	1	0	300
30300802	42000	15000	22500	4500	2	1	0	300
30300803	84000	30000	45000	9000	3	1	0	300
30300804	168000	60000	90000	18000	4	0	0	300
30300805	336000	120000	180000	36000	5	0	0	300
30301001	21000	7500	11250	2250	1	1	0	300
30301002	42000	15000	22500	4500	2	1	0	300
30301003	84000	30000	45000	9000	3	1	0	300
30301004	168000	60000	90000	18000	4	0	0	300
30301005	336000	120000	180000	36000	5	0	0	300
30301201	21000	7500	11250	2250	1	1	0	300
30301202	42000	15000	22500	4500	2	1	0	300
30301203	84000	30000	45000	9000	3	1	0	300
30301204	168000	60000	90000	18000	4	0	0	300
30301205	336000	120000	180000	36000	5	0	0	300
30301301	21000	7500	11250	2250	1	1	0	300
30301302	42000	15000	22500	4500	2	1	0	300
30301303	84000	30000	45000	9000	3	1	0	300
30301304	168000	60000	90000	18000	4	0	0	300
30301305	336000	120000	180000	36000	5	0	0	300
30301401	21000	7500	11250	2250	1	1	0	300
30301402	42000	15000	22500	4500	2	1	0	300
30301403	84000	30000	45000	9000	3	1	0	300
30301404	168000	60000	90000	18000	4	0	0	300
30301405	336000	120000	180000	36000	5	0	0	300
30301501	21000	7500	11250	2250	1	1	0	300
30301502	42000	15000	22500	4500	2	1	0	300
30301503	84000	30000	45000	9000	3	1	0	300
30301504	168000	60000	90000	18000	4	0	0	300
30301505	336000	120000	180000	36000	5	0	0	300
30301601	21000	7500	11250	2250	1	1	0	300
30301602	42000	15000	22500	4500	2	1	0	300
30301603	84000	30000	45000	9000	3	1	0	300
30301604	168000	60000	90000	18000	4	0	0	300
30301605	336000	120000	180000	36000	5	0	0	300
30301701	21000	7500	11250	2250	1	1	0	300
30301702	42000	15000	22500	4500	2	1	0	300
30301703	84000	30000	45000	9000	3	1	0	300
30301704	168000	60000	90000	18000	4	0	0	300
30301705	336000	120000	180000	36000	5	0	0	300
30301801	21000	7500	11250	2250	1	1	0	300
30301802	42000	15000	22500	4500	2	1	0	300
30301803	84000	30000	45000	9000	3	1	0	300
30301804	168000	60000	90000	18000	4	0	0	300
30301805	336000	120000	180000	36000	5	0	0	300
30301901	21000	7500	11250	2250	1	1	0	300
30301902	42000	15000	22500	4500	2	1	0	300
30301903	84000	30000	45000	9000	3	1	0	300
30301904	168000	60000	90000	18000	4	0	0	300
30301905	336000	120000	180000	36000	5	0	0	300
30302001	21000	7500	11250	2250	1	1	0	300
30302002	42000	15000	22500	4500	2	1	0	300
30302003	84000	30000	45000	9000	3	1	0	300
30302004	168000	60000	90000	18000	4	0	0	300
30302005	336000	120000	180000	36000	5	0	0	300
30302101	21000	7500	11250	2250	1	1	0	300
30302102	42000	15000	22500	4500	2	1	0	300
30302103	84000	30000	45000	9000	3	1	0	300
30302104	168000	60000	90000	18000	4	0	0	300
30302105	336000	120000	180000	36000	5	0	0	300
30302201	21000	7500	11250	2250	1	1	0	300
30302202	42000	15000	22500	4500	2	1	0	300
30302203	84000	30000	45000	9000	3	1	0	300
30302204	168000	60000	90000	18000	4	0	0	300
30302205	336000	120000	180000	36000	5	0	0	300
30302301	21000	7500	11250	2250	1	1	0	300
30302302	42000	15000	22500	4500	2	1	0	300
30302303	84000	30000	45000	9000	3	1	0	300
30302304	168000	60000	90000	18000	4	0	0	300
30302305	336000	120000	180000	36000	5	0	0	300
30302401	21000	7500	11250	2250	1	1	0	300
30302402	42000	15000	22500	4500	2	1	0	300
30302403	84000	30000	45000	9000	3	1	0	300
30302404	168000	60000	90000	18000	4	0	0	300
30302405	336000	120000	180000	36000	5	0	0	300
30302501	21000	7500	11250	2250	1	1	0	300
30302502	42000	15000	22500	4500	2	1	0	300
30302503	84000	30000	45000	9000	3	1	0	300
30302504	168000	60000	90000	18000	4	0	0	300
30302505	336000	120000	180000	36000	5	0	0	300
30302601	21000	7500	11250	2250	1	1	0	300
30302602	42000	15000	22500	4500	2	1	0	300
30302603	84000	30000	45000	9000	3	1	0	300
30302604	168000	60000	90000	18000	4	0	0	300
30302605	336000	120000	180000	36000	5	0	0	300
30302701	21000	7500	11250	2250	1	1	0	300
30302702	42000	15000	22500	4500	2	1	0	300
30302703	84000	30000	45000	9000	3	1	0	300
30302704	168000	60000	90000	18000	4	0	0	300
30302705	336000	120000	180000	36000	5	0	0	300
30302801	21000	7500	11250	2250	1	1	0	300
30302802	42000	15000	22500	4500	2	1	0	300
30302803	84000	30000	45000	9000	3	1	0	300
30302804	168000	60000	90000	18000	4	0	0	300
30302805	336000	120000	180000	36000	5	0	0	300
30302901	21000	7500	11250	2250	1	1	0	300
30302902	42000	15000	22500	4500	2	1	0	300
30302903	84000	30000	45000	9000	3	1	0	300
30302904	168000	60000	90000	18000	4	1	0	300
30302905	336000	120000	180000	36000	5	0	0	300
30303001	21000	7500	11250	2250	1	1	0	300
30303002	42000	15000	22500	4500	2	1	0	300
30303003	84000	30000	45000	9000	3	1	0	300
30303004	168000	60000	90000	18000	4	0	0	300
30303005	336000	120000	180000	36000	5	0	0	300
30303101	21000	7500	11250	2250	1	1	0	300
30303102	42000	15000	22500	4500	2	1	0	300
30303103	84000	30000	45000	9000	3	1	0	300
30303104	168000	60000	90000	18000	4	0	0	300
30303105	336000	120000	180000	36000	5	0	0	300
30303201	84000	30000	45000	9000	3	1	0	300
30303202	168000	60000	90000	18000	4	1	0	300
30303203	336000	120000	180000	36000	5	0	0	300
30303204	84000	30000	45000	9000	3	1	0	300
30303205	168000	60000	90000	18000	4	0	0	300
30303206	336000	120000	180000	36000	5	0	0	300
30303207	336000	120000	180000	36000	5	0	0	300
30303208	336000	120000	180000	36000	5	0	0	300
30303209	336000	120000	180000	36000	5	0	0	300
30303210	336000	120000	180000	36000	5	0	0	300
30303211	336000	120000	180000	36000	5	0	0	300
30303212	336000	120000	180000	36000	5	0	0	300
30303213	336000	120000	180000	36000	5	0	0	300
30303214	336000	120000	180000	36000	5	0	0	300
30303215	336000	120000	180000	36000	5	0	0	300
30303225	84000	30000	45000	9000	3	1	0	300
30303226	168000	60000	90000	18000	4	1	0	300
30303227	336000	120000	180000	36000	5	0	0	300
30303228	336000	120000	180000	36000	5	0	0	300
30303229	336000	120000	180000	36000	5	0	0	300
30303230	336000	120000	180000	36000	5	0	0	300
30303231	336000	120000	180000	36000	5	0	0	300
30303232	336000	120000	180000	36000	5	0	0	300
30303233	336000	120000	180000	36000	5	0	0	300
30303234	84000	30000	45000	9000	3	1	0	300
30303235	168000	60000	90000	18000	4	1	0	300
30303236	336000	120000	180000	36000	5	0	0	300
30303237	84000	30000	45000	9000	3	1	0	300
30303238	168000	60000	90000	18000	4	1	0	300
30303239	336000	120000	180000	36000	5	0	0	300
30303240	336000	120000	180000	36000	5	0	0	300
30303241	336000	120000	180000	36000	5	0	0	300
30303242	336000	120000	180000	36000	5	0	0	300
30303243	336000	120000	180000	36000	5	0	0	300
30303244	336000	120000	180000	36000	5	0	0	300
30303245	336000	120000	180000	36000	5	0	0	300
30303246	84000	30000	45000	9000	3	1	0	300
30303247	168000	60000	90000	18000	4	1	0	300
30303248	336000	120000	180000	36000	5	0	0	300
30303249	84000	30000	45000	9000	3	1	0	300
30303250	168000	60000	90000	18000	4	1	0	300
30303251	336000	120000	180000	36000	5	0	0	300
30303252	84000	30000	45000	9000	3	1	0	300
30303253	168000	60000	90000	18000	4	1	0	300
30303254	336000	120000	180000	36000	5	0	0	300
30303255	84000	30000	45000	9000	3	1	0	300
30303256	168000	60000	90000	18000	4	1	0	300
30303257	336000	120000	180000	36000	5	0	0	300
30303258	84000	30000	45000	9000	3	1	0	300
30303259	168000	60000	90000	18000	4	1	0	300
30303260	336000	120000	180000	36000	5	0	0	300
30303261	84000	30000	45000	9000	3	1	0	300
30303262	168000	60000	90000	18000	4	1	0	300
30303263	336000	120000	180000	36000	5	0	0	300
30303264	84000	30000	45000	9000	3	1	0	300
30303265	168000	60000	90000	18000	4	1	0	300
30303266	336000	120000	180000	36000	5	0	0	300
30303267	84000	30000	45000	9000	3	1	0	300
30303268	168000	60000	90000	18000	4	1	0	300
30303269	336000	120000	180000	36000	5	0	0	300
30303270	84000	30000	45000	9000	3	1	0	300
30303271	168000	60000	90000	18000	4	1	0	300
30303272	336000	120000	180000	36000	5	0	0	300
30303273	336000	120000	180000	36000	5	0	0	300
30303274	336000	120000	180000	36000	5	0	0	300
30303275	336000	120000	180000	36000	5	0	0	300
30303276	336000	120000	180000	36000	5	0	0	300
30303277	336000	120000	180000	36000	5	0	0	300
30303278	336000	120000	180000	36000	5	0	0	300
30303279	84000	30000	45000	9000	3	1	0	300
30303280	168000	60000	90000	18000	4	1	0	300
30303281	336000	120000	180000	36000	5	0	0	300
