Id	Type	CharacterId	OpenCondition[1]	OpenCondition[2]	ActivityCondition[1]	ActivityCondition[2]	Img	Title	Prefab	ChapterRewardId	StageIds[1]	StageIds[2]	StageIds[3]	StageIds[4]	StageIds[5]	RelationGroupId	TreasureId[1]	TreasureId[2]	TreasureId[3]	TimeId
100111	1	1081002	10436011		10436011		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg04.png	Watanabe Story	Assets/Product/Ui/ComponentPrefab/UiCharacterTower/CharacterTowerCardPlot4.prefab	16324	21000110	21000111	21000112	21000113	21000114					
100121	2	1081002	10436011		10436011		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg04.png	Watanabe Challenge		-1	21000100	21000101	21000102	21000103	21000104	100121	1000002	1000003	1000004	
100211	1	1021003	10436011		10436011		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg03.png	Crimson Abyss Story	Assets/Product/Ui/ComponentPrefab/UiCharacterTower/CharacterTowerCardPlot4.prefab	16315	21000210	21000211	21000212	21000213	21000214					
100221	2	1021003	10436011		10436011		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg03.png	Crimson Abyss Challenge		-1	21000200	21000201	21000202	21000203	21000204	100221	1001002	1001003	1001004	
100311	1	1051004	10436011		10436011		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg05.png	Starfarer Story	Assets/Product/Ui/ComponentPrefab/UiCharacterTower/CharacterTowerCardPlot4.prefab	17879	21000231	21000232	21000233	21000234	21000235					
100321	2	1051004	10436011		10436011		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg05.png	Starfarer Challenge		-1	21000220	21000221	21000222	21000223	21000224	100321	1002002	1002003	1002004	
100411	1	1071004	10436011		10436011		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg06.png	Scire Story	Assets/Product/Ui/ComponentPrefab/UiCharacterTower/CharacterTowerCardPlot4.prefab	59807	21000251	21000252	21000253	21000254	21000255					
100421	2	1071004	10436011		10436011		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg06.png	Scire Challenge		-1	21000240	21000241	21000242	21000243	21000244	100421	1003002	1003003	1003004	
100511	1	1571003	10436051		10436051		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg07.png	Arca Story	Assets/Product/Ui/ComponentPrefab/UiCharacterTower/CharacterTowerCardPlot4.prefab	61824	21000120	21000121	21000122	21000123	21000124					20402
100521	2	1571003	10436051		10436051		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg07.png	Arca Challenge		-1	21000115	21000116	21000117	21000118	21000119	100521	1004002	1004003	1004004	20402
100611	1	1131003	10436061		10436061		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg06.png	Vera Story	Assets/Product/Ui/ComponentPrefab/UiCharacterTower/CharacterTowerCardPlot4.prefab	65020	21000270	21000271	21000272	21000273	21000274					34301
100621	2	1131003	10436061		10436061		Assets/Product/Texture/Image/UiCharacterTower/CharacterTowerBtnBg06.png	Vera Challenge		-1	21000260	21000261	21000262	21000263	21000264	100621	1005002	1005003	1005004	34301
