StageId	StarPoint[1]	StarPoint[2]	StarPoint[3]	StageShowType	PrevStageId[1]	LessonStageId
30110001	10			1		
30110002	10			1	30110001	
30110003	10	10	10	2	30110002	
30110004	10			1		
30110005	10			1	30110004	
30110006	10	10	10	2	30110005	
30110007	1	1	1	2		30110001
30110008	1	1	1	2		
30110009	1	1	1	2		
30110010	10			1		
30110011	10			1	30110010	
30110012	10	10	10	2	30110011	
30110013	10			1		
30110014	10			1	30110013	
30110015	10	10	10	2	30110014	
30110016	1	1	1	2		
30110017	1	1	1	2		
30110018	1	1	1	2		
30110019	10			1		
30110020	10			1	30110019	
30110021	10	10	10	2	30110020	
30110022	10			1		
30110023	10			1	30110022	
30110024	10	10	10	2	30110023	
30110025	1	1	1	2		
30110026	1	1	1	2		
30110027	1	1	1	2		
30110028	1	1	1	2		
30110029	1	1	1	2		
30110030	1	1	1	2		
