ChapterId	Difficult	DifficultName	DifficultEnName	DifficultColor	Desc	ActivityTimeId	ActivityCondition	OpenCondition	StageGroupIds[1]	StageGroupIds[2]	StageGroupIds[3]	StageGroupIds[4]	StageGroupIds[5]	StageGroupIds[6]	StageGroupIds[7]	StageGroupIds[8]	StageGroupIds[9]	StageGroupIds[10]	StageGroupIds[11]	PrefabName	BgStageIndexs[1]	BgStageIndexs[2]	TitleTextColors[1]	TitleTextColors[2]	LeftTimeTextColors[1]	LeftTimeTextColors[2]	ProgressTextColors[1]	ProgressTextColors[2]	TreasureId	AchievementId	SkipIds[1]	SkipIds[2]	SkipConditions[1]	SkipConditions[2]	SkipIcons[1]	SkipIcons[2]	SkipNames[1]	SkipNames[2]	SkipChapterNames[1]	SkipChapterNames[2]	EggIds[1]	SpineStageIndexs[1]	SpineStageIndexs[2]	SpineStageIndexs[3]	SpineStageIndexs[4]	SpineStageIndexs[5]	SpineStageIndexs[6]	SpineStageIndexs[7]	SpineStageIndexs[8]	SpineStageIndexs[9]	SpineStageIndexs[10]	SpineStageIndexs[11]	SpineStageIndexs[12]	SpineStageIndexs[13]	SpineProgressWans[1]	SpineProgressWans[2]	SpineProgressWans[3]	SpineProgressWans[4]	SpineProgressWans[5]	SpineProgressWans[6]	SpineProgressWans[7]	SpineProgressWans[8]	SpineProgressWans[9]	SpineProgressWans[10]	SpineProgressWans[11]	SpineProgressWans[12]	SpineProgressWans[13]	BgSpineStageIndexs[1]	BgSpineStageIndexs[2]	BgSpineStageIndexs[3]	BgSpineStageIndexs[4]	BgSpineStageIndexs[5]	BgSpineStageIndexs[6]	BgSpineStageIndexs[7]	BgSpineStageIndexs[8]	BgSpineProgressWans[1]	BgSpineProgressWans[2]	BgSpineProgressWans[3]	BgSpineProgressWans[4]	BgSpineProgressWans[5]	BgSpineProgressWans[6]	BgSpineProgressWans[7]	BgSpineProgressWans[8]
1030	1	Normal	Difficulty					770400	1	2	3	4	5	6	7	8	9	10	11	Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor30.prefab	1	11	#ffffff	#ffffff	#0f70BC	#0f70BC	#ffffff	#ffffff	103001		514	517	1007061	1007061	Assets/Product/Texture/Image/StoryJump/StoryShortJump07.png	Assets/Product/Texture/Image/StoryJump/StoryMainLineJump31.png	Floating Record: Chapter 6	Next Chapter	When Day Breaks	Shaper's Ripples																																											
2006	1	Normal	Difficulty				30406	770400	12											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor06DP.prefab	1		#ffffff		#0f70BC		#ffffff		200601		515		1007083		Assets/Product/Texture/Image/StoryJump/StoryShortJump08.png		Floating Record: Chapter 7		Soaring Beyond																																												
2007	1	Normal	Difficulty				30406	770400	13	14										Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor07DP.prefab	1		#ffffff		#0f70BC		#ffffff		200701		516		1007100		Assets/Product/Texture/Image/StoryJump/StoryShortJump09.png		Floating Record: Chapter 8		The Long Goodbye																																												
2008	1	Normal	Difficulty				30406	770400	15											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor08DP.prefab	1		#ffffff		#0f70BC		#ffffff		200801		518	517	1007088	1007088	Assets/Product/Texture/Image/StoryJump/StoryShortJump10.png	Assets/Product/Texture/Image/StoryJump/StoryMainLineJump31.png	Floating Record: Chapter 9	Main Story: Chapter 31	Crescent Sun	Shaper's Ripples																																											
1031	1	Commandant	1st	#49E6FF	Lost in the Misty Court of Time		30406	770400	16											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor31B.prefab	1		#ffffff		#0f70BC		#ffffff				519		1007092		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump32.png		Next Chapter		To the Galaxies																																												
1131	2	Cradle	2nd	#49E6FF	The static in a glorious age, a rotten log on a lush green mountain.		1007093	1007093	17	18	19									Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor31C.prefab	1		#ffffff		#0f70BC		#ffffff				519		1007092		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump32.png		Next Chapter		To the Galaxies																																												
1231	3	Lucia	3rd	#49E6FF	Forging countless worthless failures.		1007094	1007094	20	21	22									Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor31D.prefab	1		#ffffff		#0f70BC		#ffffff				519		1007092		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump32.png		Next Chapter		To the Galaxies																																												
1331	4	Vonnegut	4th	#49E6FF	Shearing through the countless nightmares of the sacrificed.		1007095	1007095	23											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor31E.prefab	1		#ffffff		#0f70BC		#ffffff				519		1007092		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump32.png		Next Chapter		To the Galaxies																																												
2009	1	Normal	Difficulty				30406	770400	24											Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor09DP.prefab	1		#ffffff		#0f70BC		#ffffff				521		1007104		Assets/Product/Texture/Image/StoryJump/StoryShortJump11.png		Floating Record: Chapter 10		Deceivers' Rapture																																												
1032	1	Normal	Difficulty				30406	770400	25	26	27									Assets/Product/Ui/ComponentPrefab/FuBenNor/FuBenNor32.prefab	1		#ffffff		#0f70BC		#ffffff				520		1007108		Assets/Product/Texture/Image/StoryJump/StoryMainLineJump33.png		Next Chapter		Wither to Shine																																												
