Id	Type	BeginContentId	UiPosIndex	Conditions[1]
1	1	1041054	1	1007257
2	2	1041001	2	1007246
3	2	1041002	3	1007247
4	2	1041010	4	1007248
5	2	1041018	5	1007249
6	2	1041023	6	1007250
7	2	1041025	7	1007251
8	2	1041027	8	1007252
9	2	1041030	9	1007253
10	2	1041035	10	1007254
11	2	1041042	11	1007255
12	2	1041048	12	1007256
13	2	1041058	1	1007258
14	2	1041062	2	1007259
15	2	1041065	3	1007259
16	2	1041067	4	1007260
17	2	1041069	5	1007261
18	2	1041071	6	1007262
19	2	1041074	7	1007263
20	2	1041077	8	1007264
21	2	1041090	9	1007265
22	2	1041094	10	1007266
