Id	Priority	Ignore	Desc	GuideType	ConditionId[1]	ConditionId[2]	ConditionId[3]	ConditionId[4]	CompleteId	ActiveUi	CheckNodeActive	RewardId	GroupId
100001	1	0	Novice Stage 1	2	850000				100001	UiMain		0	1
100002	2	0	Novice Stage 2	2	850000				100002	UiMain		0	1
100003	3	0	Novice Stage 3	2	850000				100003	UiMain		0	1
100004	4	0	Motion Comic	2	850000	863058			100004	UiMain		0	1
50000	50000	0	Complete 1-3 Claim Reward Liv	1	850000	863057			50000	UiMain		0	50000
50101	50101	1	(Abandoned) Claim Mission 1-2 reward	1	200000				50101	UiMain		0	50101
50102	50102	1	(Abandoned) Equip your 1st Memory	1	200000				50102	UiMain		0	50101
50103	50103	1	(Abandoned) Equip your 2nd Memory	1	200000				50103	UiEquipAwarenessReplace|UiMain		0	50101
50201	50201	0	Complete 1-3 Guide: Deploy Liv	1	70102				50201	UiFubenMainLineChapter	FuBenNor01(Clone)	0	50201
50202	50202	1	(Abandoned) Guide to upgrade Liv	1	200000				50202	UiMain		0	50201
50203	50203	0	Complete 1-4 Guide: Lucia Upgrade (Originally Lucia Skill Upgrade)	1	70102	863074			50203	UiBattleRoleRoom		0	50201
50301	50301	0	Complete 1-4 Guide: Member Evolution	1	70103				50301	UiMain		0	50301
50610	50610	0	Complete 1-4 Guide: Thunderbolt Manual	1	84100111	863057			50610	UiMain		0	50610
50611	50611	0	Complete 1-6 Guide: Beginner Target	1	70103	863057			50611	UiMain	GridBtnActivity13	0	50611
50612	50612	0	Complete 1-6 Guide: Memory Equipment (Originally 1-8 Guide: Promotion)	1	863065	863066			50612	UiMain		0	50612
50613	50613	0	Complete 1-8 Guide: Member Info (Originally 2-1 Return to Main Story Guide)	1	84100112	863060			50613	UiMain	GridBtnActivity13	0	50613
50614	50614	0	Complete 1-8 Guide: Check Research	1	84100112	863067			50614	UiWheelchairManualMain		0	50614
50615	50615	0	完成1-12 引导疾雷手册 关注21号	1	84100112	863096			50615	UiWheelchairManualMain		0	50615
50616	50616	0	Lv11 从任务界面 领取21号	1	770417	863106			50616	UiFubenMainLineChapter|UiMain		0	50616
50617	50617	0	Lv11 疾雷手册 21号进教学	1	863090	863093			50617	UiWheelchairManualMain		0	50617
