Id	Name	FurnitureType	PrefabName	DontAutoCreateCollider	IsShowName	NameHeightOffset	InteractPos	SpecialUiNames[1]	SpecialUiNames[2]	UiNameProxyPaths[1]	UiNameProxyPaths[2]	SpecialUiNameHeightOffset[1]	SpecialUiNameHeightOffset[2]	UiShowDistance	ShowButtonGroupId	AnimationArg	AnimationName[1]	AnimationName[2]	IsGetReward	RewardHeightOffset	RedPointCondition	EffectGroupId	EnvironmentSound
1	Floor	1	GuildFloor001	1																			
2	Wall No.1	3	GuildWall001																				
3	Wall No.2	3	GuildWall002																				
4	Wall No.3	3	GuildWall003																				
5	Wall No.4	3	GuildWall004																				
6	Camera No.1	3	GuildCamera001																				
7	Camera No.2	3	GuildCamera001_1																				
8	Camera No.3	3	GuildCamera002																				
9	Camera No.4	3	GuildCamera002_1																				
10	Door No.1	3	GuildDoor001																				
11	Door No.2	3	GuildDoor001_1																				
12	Window No.1	3	GuildWindow001																				
13	Window No.2	3	GuildWindow001 _1																				
14	Wall Equipment	3	GuildPackage001																				
15	Wall Equipment	3	GuildPackage001_1																				
16	Ceiling	3	GuildCeiling001																				
17	Tactical Long Table	2	GuildTable001	1																			
18	Player	2	GuildConsole001	1	1	1.25	1	PanelMusicPlayer		XUi/XUiGuildDorm/XUiGuildDormMusicGrid		1.75		4.0	200								
19	Info Board	2	GuildConsole001_1																				
20	Tactical Short Table	2	GuildConsole002																				
21	Tactical Short Table	2	GuildConsole002_1																				
22	Info Board	2	GuildBlackboard001											4.0									
23	Tactical Terminal	2	GuildCommand001	1			1								100	Test	Setup	Exit					
24	Sleep Cabin No.1	2	GuildCockpit001	1			1								1				1	1.75			
25	Sleep Cabin No.2	2	GuildCockpit001_1	1			1								1				1	1.75			
26	Tactical Chair No.1	2	GuildChair001	1			1								3				1	1.25			
27	Tactical Chair No.2	2	GuildChair001_1	1			1								3				1	1.25			
28	Tactical Chair No.3	2	GuildChair001_2	1			1								3				1	1.25			
29	Tactical Chair No.4	2	GuildChair001_3	1			1								3				1	1.25			
30	Tactical Chair No.5	2	GuildChair001_4	1			1								3				1	1.25			
31	Tactical Chair No.6	2	GuildChair001_5	1			1								3				1	1.25			
32	Tactical Chair No.7	2	GuildChair001_6	1			1								3				1	1.25			
33	Tactical Chair No.8	2	GuildChair001_7	1			1								3				1	1.25			
34	Vending Machine No.1	2	GuildCabinet001	1			1								4				1	2.0			
35	Vending Machine No.2	2	GuildCabinet003	1			1								4				1	2.0			
36	Vending Machine No.3	2	GuildCabinet003_1	1			1								4				1	2.0			
37	Fortune Machine	2	Signmodel01	1	1	2.0	1							5.0	300					2.2999	CONDITION_GUILD_SIGN_REWARD	300	
1000	Floor	1	S03006_Terrain01	1																			
1001	Recliner	2	S03006_11Tanyi (1)	1			1								1				1	1.25			
1002	Recliner	2	S03006_11Tanyi (2)	1			1								1				1	1.25			
1003	Recliner	2	S03006_11Tanyi (4)	1			1								1				1	1.25			
1004	Recliner	2	S03006_11Tanyi (6)	1			1								1				1	1.25			
1005	Recliner	2	S03006_11Tanyi (7)	1			1								1				1	1.25			
1006	Recliner	2	S03006_11Tanyi (8)	1			1								1				1	1.25			
1007	Chair	2	S03006_11yizi	1			1								2				1	1.25			
1008	Chair	2	S03006_11yizi (1)	1			1								2				1	1.25			
1009	Chair	2	S03006_11yizi (2)	1			1								2				1	1.25			
1010	Chair	2	S03006_11yizi (3)	1			1								2				1	1.25			
1011	Chair	2	S03006_11yizi (4)	1			1								2				1	1.25			
1012	Chair	2	S03006_11yizi (5)	1			1								2				1	1.25			
1013	Chair	2	S03006_11yizi (6)	1			1								2				1	1.25			
1014	Chair	2	S03006_11yizi (7)	1			1								2				1	1.25			
1015	Chair	2	S03006_11yizi (8)	1			1								2				1	1.25			
1016	Chair	2	S03006_11yizi (9)	1			1								2				1	1.25			
1017	Ice Cream Stool	2	S03006_10Denzi	1			1								2				1	1.25			
1018	Ice Cream Stool	2	S03006_10Denzi (1)	1			1								2				1	1.25			
1019	Ice Cream Stool	2	S03006_10Denzi (4)	1			1								2				1	1.25			
1020	Ice Cream Stool	2	S03006_10Denzi (5)	1			1								2				1	1.25			
1021	Player	2	S03006_01Tiaoyintao	1	1	1.25	1	PanelMusicPlayer		XUi/XUiGuildDorm/XUiGuildDormMusicGrid		1.75		4.0	200								
1022	Blue Chair	2	S03006_13Yizi	1			1								2				1	1.25			
1023	Blue Chair	2	S03006_13Yizi (1)	1			1								2				1	1.25			
1024	Blue Chair	2	S03006_13Yizi (2)	1			1								2				1	1.25			
1025	Blue Chair	2	S03006_13Yizi (3)	1			1								2				1	1.25			
1026	Barbecue Grill	2	WoodenBarbecues001	1																			2636
1027	Sea Level	2	3006_Water_01	1																			2634
1028	Fortune Machine	2	Signmodel02	1	1	2.0	1							5.0	300					2.2999	CONDITION_GUILD_SIGN_REWARD	300	
2000	Floor	1	Navigation	1																			
2001	Chair	2	S03405_11Yizi	1			1								2				1	1.25			
2002	Chair	2	S03405_11Yizi (1)	1			1								2				1	1.25			
2003	Chair	2	S03405_11Yizi (2)	1			1								2				1	1.25			
2004	Chair	2	S03405_11Yizi (3)	1			1								2				1	1.25			
2005	Chair	2	S03405_11Yizi (4)	1			1								2				1	1.25			
2006	Chair	2	S03405_11Yizi (5)	1			1								2				1	1.25			
2007	Fireworks Device	2	S03405_06Yanhua (3)	1			1								5				1	1.25			
2008	Fireworks Device	2	S03405_06Yanhua (4)	1			1								5				1	1.25			
2009	Fireworks Device	2	S03405_06Yanhua (5)	1			1								5				1	1.25			
2010	Tactical Terminal	2	S03405_22Qiandaoji	1			1								100								
2011	Player	2	S03405_22Bofangqi	1	1	1.25	1	PanelMusicPlayer		XUi/XUiGuildDorm/XUiGuildDormMusicGrid		1.75		5.0	200								
2012	Fortune Machine	2	S03405_13Qiandaoji	1	1	2.0	1							5.0	300					2.2999	CONDITION_GUILD_SIGN_REWARD	300	
2013	Sky Fireworks	3	Yanhua																			1	2838
2014	Sky Fireworks	3	Yanhua (4)																			1	2838
3000	Floor	1	Navigation	1																			
3001	Chair	2	S03804_10Dengzi	1			1								2				1	1.25			
3002	Chair	2	S03804_10Dengzi (1)	1			1								2				1	1.25			
3003	Chair	2	S03804_10Dengzi (2)	1			1								2				1	1.25			
3004	Chair	2	S03804_10Dengzi (3)	1			1								2				1	1.25			
3005	Chair	2	S03804_10Dengzi (4)	1			1								2				1	1.25			
