Id	GroupIndex	StageIndex	DifficultyId	Name	NameEn	Icon	ShowMonsterIcon	ShowMonsterName	Type	LinkIds[1]	LinkIds[2]	LinkIds[3]	LinkIds[4]	LinkIds[5]	LinkIds[6]	HpMax	Desc	GuildWarStageId	BaseSubHp	MaxSubHp	MaxPoint	MinSubDamage	FactorA	FactorB	FactorC	FactorD	FightCostEnergy	SweepCostEnergy	HelpTitle	HelpDetail	DeployCharacterMax	DeployCharacterNum[1]	DeployCharacterNum[2]	DeployCharacterNum[3]	DeployCharacterNum[4]	DeployCharacterNum[5]	DeployCharacterNum[6]	DeployCharacterNum[7]	DeployCharacterNum[8]	DeployCharacterNum[9]	DeployCharacterNum[10]	DeployBuff[1]	DeployBuff[2]	DeployBuff[3]	DeployBuff[4]	DeployBuff[5]	DeployBuff[6]	DeployBuff[7]	DeployBuff[8]	DeployBuff[9]	DeployBuff[10]	ShowFightEventId[1]	ShowFightEventId[2]	FightEventId[1]	FightEventId[2]	BgIcon	TreatMstInterval	TreatMstPercent	ResidueStageId	ModelId	RootId
101	1	1	1	Resource Security Area I	Resource Security Area	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon1.png	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon1.png	Resource Security Area	1	102						10000																																													
102	3	1	1	Juncture I	The Pass I	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/ShaojiepaoNormal01.png	Sentry Gun	2	103	101					10000	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	1	1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Juncture I	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500										
103	3	2	1	Juncture II	The Pass II	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png	Hydraulic	2	104	102					10000	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	2	1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Juncture II	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500										
104	3	3	1	Cliff Fortress	Cliff Fortress	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon14.png	Assets/Product/Texture/Image/RoleCharacter/VoodooNormal01.png	Pterygota Queen	16	105	103					10000	A large number of enemies have blocked the path forward. Focus on breaking through them.	107	1000	1650	680	650	0.5	180.0	140.0	680.0	20	20	Cliff Fortress	1. A large number of enemies have blocked the path forward. Focus on breaking through them.\n2. <color=#4169E1>Defeat</color> enemies or <color=#4169E1>break</color> their Super Armor to enter Matrix.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500	2240403									
105	3	4	1	Juncture III	The Pass III	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/TuziNormal01.png	Ground 3 - Rabbit	2	106	104					10000	Fear not the trivial critter mobs. Just <color=#0f71bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	3	1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Juncture III	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500										
106	3	5	1	Juncture IV	The Pass IV	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/Mo1KongzhongjianshiqiMd000001.png	Aerial Monitor	2	107	105					10000	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	4	1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Juncture IV	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500										
107	3	6	1	Icy Pass	Treacherous Gap	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon4_1.png	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	Heaven Breaker	5	110	106					10000	The last area of defense before Boss	122	1000	1650	680	650	0.6	30.0	5.0	680.0	20	20	Icy Pass	1. Defeated enemies turn into <color=#4169E1>Souls</color> and attack the <color=#4169E1>Core Shield</color>.\n2. Clearing each wave briefly <color=#4169E1>removes the Core's Invincibility</color>.\n3. While the Core's <color=#4169E1>Invincibility</color> is down, focus your attacks and destroy it.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500	2240421		2240409							
110	2	1	1	Dangerous Cliff	High-risk Cliffs	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon8.png	Assets/Product/Texture/Image/RoleCharacter/Mb1MelinoeMd010001.png	Melinoe	19	107						10000	Upon defeat, the Slumberer will come back with higher Nightmare Level. All enemies' <color=#4169E1>ATK and HP will increase!</color>	173	1600	3710	1015	2110	0.625	45.0	5.0	1015.0	20	20	Melinoe	1. Upon defeat, the Slumberer will come back with higher Nightmare Level. All enemies' <color=#4169E1>ATK and HP will increase!</color>\n2. When attacked, the Slumberer will accumulate Nightmare. At full Nightmare, it will cast the Ultimate Signature and enter the Berserk mode temporarily!	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500	2240422		2240288		Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	2	10	91	Mb1MelinoeMd010001UI	
1021	3	1	1	Broken Walls	The Pass I	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Image/RoleCharacter/ShaojiepaoNormal01.png	Sentry Gun	2							10000	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	137	1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Juncture I	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500	2240415		2240404		Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png					102
1031	3	2	1	Broken Walls	The Pass II	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png	Hydraulic	2							10000	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	138	1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Juncture II	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500	2240415		2240404		Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png					103
1041	3	3	1	Broken Walls	Cliff Fortress	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Image/RoleCharacter/VoodooNormal01.png	Voodoo	16							10000	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	107	1000	1650	680	650	0.5	180.0	140.0	680.0	20	20	Cliff Fortress	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500	2240415	2240403	2240404							104
1051	3	4	1	Broken Walls	The Pass III	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Image/RoleCharacter/TuziNormal01.png	Ground 3 - Rabbit	2							10000	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	139	1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Juncture III	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500	2240415		2240404		Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png					105
1061	3	5	1	Broken Walls	The Pass IV	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Image/RoleCharacter/Mo1KongzhongjianshiqiMd000001.png	Aerial Monitor	2							10000	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	140	1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Juncture IV	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500	2240415		2240404		Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png					106
1071	3	6	1	Broken Walls	Treacherous Gap	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon22.png	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	Guardian	5							10000	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	161	1000	1650	680	650	0.6	30.0	5.0	680.0	20	20	Icy Pass	Under the Slumberer's influence, the enemies in this area have become more violent! The battle has become extremely difficult.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500	2240421	2240415	2240404	2240409	Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang6.png					107
1101	2	1	1	Dangerous Cliff	Dangerous Cliff	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon12.png	Assets/Product/Texture/Image/RoleCharacter/Mb1MelinoeMd010001.png	Melinoe	19							10000	Warning! The Slumberer has evolved into its ultimate form!	176	1600	3710	1015	2110	0.625	45.0	5.0	1015.0	20	20	Melinoe	Warning! The Slumberer has evolved into its ultimate form!	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500	2240423		2240288		Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang7.png	2	10	91	Mb1MelinoeMd010001UI	110
1022	3	1	1	Ruins	The Pass I	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png			20							10000	The Slumberer has ruined this area. Everything has been turned into ashes.		1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Ruins	The Slumberer has ruined this area. Everything has been turned into ashes.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500					Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					102
1032	3	2	1	Ruins	The Pass II	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png			20							10000	The Slumberer has ruined this area. Everything has been turned into ashes.		1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Ruins	The Slumberer has ruined this area. Everything has been turned into ashes.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500					Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					103
1042	3	3	1	Ruins	Cliff Fortress	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png			20							10000	The Slumberer has ruined this area. Everything has been turned into ashes.		1000	1650	680	650	0.5	180.0	140.0	680.0	20	20	Ruins	The Slumberer has ruined this area. Everything has been turned into ashes.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500					Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					104
1052	3	4	1	Ruins	The Pass III	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png			20							10000	The Slumberer has ruined this area. Everything has been turned into ashes.		1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Ruins	The Slumberer has ruined this area. Everything has been turned into ashes.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500					Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					105
1062	3	5	1	Ruins	The Pass IV	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png			20							10000	The Slumberer has ruined this area. Everything has been turned into ashes.		1600	2650	680	1050	0.6	30.0	5.0	680.0	20	20	Ruins	The Slumberer has ruined this area. Everything has been turned into ashes.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500					Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					106
1072	3	6	1	Ruins	Treacherous Gap	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon21.png			20							10000	The Slumberer has ruined this area. Everything has been turned into ashes.		1000	1650	680	650	0.6	30.0	5.0	680.0	20	20	Ruins	The Slumberer has ruined this area. Everything has been turned into ashes.	80	1	2	3	4	5	6	7	8	9	10	250	500	750	1000	1250	1500	1750	2000	2250	2500					Assets/Product/Texture/Atlas/UiGuildWar/UiGuildWarStageKuang9.png					107
201	1	1	2	Resource Security Area I	Resource Security Area	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon1.png	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon1.png	Resource Security Area	1	202	211					10000															80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500										
202	3	1	2	Juncture I	The Pass I	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/ZhuNormal01.png	Chomper	2	203	201					10000	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	5	950	1600	810	650	0.6	36.0	5.0	810.0	20	20	Juncture I	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500										
203	3	2	2	Juncture II	The Pass II	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/DeporterNormal01.png	Deporter-R	2	204	202					10000	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	6	950	1600	810	650	0.6	36.0	5.0	810.0	20	20	Juncture II	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500										
204	3	3	2	Cliff Fortress	Cliff Fortress	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon14.png	Assets/Product/Texture/Image/RoleCharacter/VoodooNormal01.png	Pterygota Queen	16	205	203	212	213			10000	A large number of enemies have blocked the path forward. Focus on breaking through them.	108	700	1450	810	750	0.5	250.0	265.0	680.0	20	20	Cliff Fortress	1. A large number of enemies have blocked the path forward. Focus on breaking through them.\n2. <color=#4169E1>Defeat</color> enemies or <color=#4169E1>break</color> their Super Armor to enter Matrix.	80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500	2240403									
205	3	4	2	Juncture III	The Pass III	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/Mo1YeyaMd000001.png	Hydraulic	2	206	204					10000	Fear not the trivial critter mobs. Just <color=#0f71bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	7	950	1600	810	650	0.6	36.0	5.0	810.0	20	20	Juncture III	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500										
206	3	5	2	Juncture IV	The Pass IV	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/Me1XunshoushiMd000001.png	Tamer	2	207	205	214				10000	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	8	950	1600	810	650	0.6	36.0	5.0	810.0	20	20	Juncture IV	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500										
207	3	6	2	Icy Pass	Treacherous Gap	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon4_2.png	Assets/Product/Texture/Image/RoleCharacter/DiaorenyixingNormal01.png	Yellow-Eyed Guard	5	220	206					10000	The last area of defense before Boss	123	700	1150	810	450	0.6	36.0	5.0	810.0	20	20	Icy Pass	1. Defeated enemies turn into <color=#4169E1>Souls</color> and attack the <color=#4169E1>Core Shield</color>.\n2. Clearing each wave briefly <color=#4169E1>removes the Core's Invincibility</color>.\n3. While the Core's <color=#4169E1>Invincibility</color> is down, focus your attacks and destroy it.	80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500	2240421		2240409							
211	4	1	2	Juncture I	The Pass I	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/KaixiNormal01.png	Cathy	2	212	201					10000	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	9	950	1600	810	650	0.6	36.0	5.0	810.0	20	20	Juncture I	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500										
212	4	2	2	Juncture II	The Pass II	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/ZhangyuNormal01.png	Naval 5 - Squid	2	204	211					10000	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	10	950	1600	810	650	0.6	36.0	5.0	810.0	20	20	Juncture II	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500										
213	4	3	2	Juncture III	The Pass III	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/JiebajixianxinNormal01.png	DB02-Sanitizer	2	214	204					10000	Fear not the trivial critter mobs. Just <color=#0f71bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	11	950	1600	810	650	0.6	36.0	5.0	810.0	20	20	Juncture III	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500										
214	4	4	2	Juncture IV	The Pass IV	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon2.png	Assets/Product/Texture/Image/RoleCharacter/JiebajixianxinNormal01.png	DB02-Sanitizer	2	215	213	206				10000	Fear not the trivial critter mobs. Just <color=#0f70bc>pull them in and wipe them out</color>.\n<color=#BFBFBF>To Be Continued...</color>	12	950	1600	810	650	0.6	36.0	5.0	810.0	20	20	Juncture IV	1. Fear not the trivial critter mobs! \n2.<color=#4169E1>Pull them in</color> and quickly take them out!	80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500										
215	4	5	2	Fire Pass	Treacherous Gap	Assets/Product/Texture/Image/UiGuildWar/UiGuildWarStageIcon4_1.png	Assets/Product/Texture/Image/RoleCharacter/YaziNormal01.png	Sheriff	5	220	214					10000	The last area of defense before Boss	124	700	1150	810	450	0.6	36.0	5.0	810.0	20	20	Fire Pass	1. Defeated enemies turn into <color=#4169E1>Souls</color> and attack the <color=#4169E1>Core Shield</color>.\n2. Clearing each wave briefly <color=#4169E1>removes the Core's Invincibility</color>.\n3. While the Core's <color=#4169E1>Invincibility</color> is down, focus your attacks and destroy it.	80	1	2	3	4	5	6	7	8	9	10	150	300	450	600	750	900	1050	1200	1350	1500	2240278		2240282							
