Id	Name	Type	SubType	RoundId	Icon	DifficultyId	Desc	TaskId
537	1st Round Challenge I - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 5 times in total	95407
538	1st Round Challenge II - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 10 times in total	95408
539	1st Round Challenge III - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 15 times in total	95409
540	1st Round Challenge IV - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 20 times in total	95410
541	1st Round Challenge V - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 25 times in total	95411
542	2nd Round Challenge I - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 5 times in total	95412
543	2nd Round Challenge II - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 10 times in total	95413
544	2nd Round Challenge III - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 15 times in total	95414
545	2nd Round Challenge IV - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 20 times in total	95415
546	2nd Round Challenge V - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 25 times in total	95416
547	3rd Round Challenge I - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 5 times in total	95417
548	3rd Round Challenge II - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 10 times in total	95418
549	3rd Round Challenge III - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 15 times in total	95419
550	3rd Round Challenge IV - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 20 times in total	95420
551	3rd Round Challenge V - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Challenge Guild Expedition 25 times in total	95421
552	1st Round Points I - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 2000 Expedition Points	95422
553	1st Round Points II - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 4000 Expedition Points	95423
554	1st Round Points III - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 6000 Expedition Points	95424
555	1st Round Points IV - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 8000 Expedition Points	95425
556	1st Round Points V - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 10000 Expedition Points	95426
557	1st Round Points VI - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 12000 Expedition Points	95427
558	2nd Round Points I - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 2000 Expedition Points	95428
559	2nd Round Points II - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 4000 Expedition Points	95429
560	2nd Round Points III - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 6000 Expedition Points	95430
561	2nd Round Points IV - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 8000 Expedition Points	95431
562	2nd Round Points V - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 10000 Expedition Points	95432
563	2nd Round Points VI - Flat	1	1	2	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 12000 Expedition Points	95433
564	3rd Round Points I - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 2000 Expedition Points	95434
565	3rd Round Points II - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 4000 Expedition Points	95435
566	3rd Round Points III - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 6000 Expedition Points	95436
567	3rd Round Points IV - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 8000 Expedition Points	95437
568	3rd Round Points V - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 10000 Expedition Points	95438
569	3rd Round Points VI - Flat	1	1	3	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Obtain a total of 12000 Expedition Points	95439
570	Juncture Breakthrough I - Flat	1	1	1	Assets/Product/Texture/Image/IconTask/TaskIconCommon.png	1	Clear a total of 1 juncture	95440
