Id	Name	Title	NameplateQuality	Group	Description	NameplateGetWay	NameplateUpgradeType	DecomposeExp	UpgradeExp	ConvertItemId	ConvertItemCount	ExpireTimeStr	Duration	PlusTime	IconType	Icon	Params[1]	Params[2]	Hint[1]	Hint[2]	BackBoard	OutLineColor	QualityIcon	EffectRes
17040101	25	25	1	401	26	29	2	0	0	0	0		0	0	2		1	10000	100000027	225000028	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17040102	25	25	2	401	26	29	2	0	0	0	0		0	0	2		1	22500	100000027	225000028	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17040103	25	25	3	401	26	29	2	0	0	0	0		0	0	2				100000027	225000028	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17040201	30	30	1	402	31	29	2	0	0	0	0		0	0	2		2	10000	100000032	225000033	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17040202	30	30	2	402	31	29	2	0	0	0	0		0	0	2		2	22500	100000032	225000033	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17040203	30	30	3	402	31	29	2	0	0	0	0		0	0	2				100000032	225000033	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17040301	34	34	1	403	35	29	2	0	0	0	0		0	0	2		3	10000	100000036	225000037	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17040302	34	34	2	403	35	29	2	0	0	0	0		0	0	2		3	22500	100000036	225000037	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17040303	34	34	3	403	35	29	2	0	0	0	0		0	0	2				100000036	225000037	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17040401	38	38	1	404	39	29	2	0	0	0	0		0	0	2		4	10000	100000040	225000041	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17040402	38	38	2	404	39	29	2	0	0	0	0		0	0	2		4	22500	100000040	225000041	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17040403	38	38	3	404	39	29	2	0	0	0	0		0	0	2				100000040	225000041	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
17040501	42	42	1	405	43	29	2	0	0	0	0		0	0	2		5	10000	100000044	225000045	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateCopper.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel31.png	
17040502	42	42	2	405	43	29	2	0	0	0	0		0	0	2		5	22500	100000044	225000045	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateSilver.png	303030	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel32.png	
17040503	42	42	3	405	43	29	2	0	0	0	0		0	0	2				100000044	225000045	Assets/Product/Texture/Atlas/UiNameplate/UiNameplateGold.png	582903	Assets/Product/Texture/Atlas/UiCollection/CollectionLevel33.png	
