PeriodId	TimeId	MainTemplateId[1]	MainTemplateId[2]	MainTemplateId[3]	MainTemplateCount[1]	MainTemplateCount[2]	MainTemplateCount[3]
4600101	48705	50005	102		100	200	
4600201	48702	90031	31204	1	1	10	12000
4600301	48701	90031	31204	1	1	10	12000
4600401	48820	50005	102		125	125	
4600501	48501	50005	102		1000	1000	
4600601	48101	50005	102	13019724	250	200	5
4600701	48201	50005	102		1000	1500	
4600801	48128	50005	102		500	500	
4600901	48301	3			100		
4601001	48801	3	102		150	500	
4601101	48119	3	102		100	100	
