Id	NpcId	Name	Desc	RecommendElement[1]	Icon	LiHuiPath	Priority	InitQuality	CarryCharacterType	ChipItemId	ChipNeedCount	DefaultLock	GoodsDesc	GoodsWorldDesc	DecomposeItemId[1]	DecomposeItemCount[1]	RecommendCharacterId	NoCameraSwitchDuringTransformation	PartnerType	AvaliableTimeId
16010000	4201	Yuan Ye	Stun	2	Assets/Product/Texture/Image/RolePartner/RolePartnerPet2Niu2.png	Assets/Product/Texture/Image/Pets/Pet2NiuonMd010011.png	10	2	0	201	30	0			61	150	0	0	1	0
16020000	4401	Noctua	Super Armor	5	Assets/Product/Texture/Image/RolePartner/Pet3Xiao2.png	Assets/Product/Texture/Image/Pets/Pet3XiaoonMd010011.png	20	2	0	202	30	0			61	150	0	0	1	0
16030000	4203	Toniris	Pull, Charge	4	Assets/Product/Texture/Image/RolePartner/Pet3He2.png	Assets/Product/Texture/Image/Pets/Pet3HeonMd010011.png	30	3	0	203	30	0			62	150	1041003	0	1	0
16040000	4204	Frost Oath	Crowd Control, Protection	1	Assets/Product/Texture/Image/RolePartner/Pet3Ma1.png	Assets/Product/Texture/Image/Pets/Pet3MaonMd010011.png	40	3	0	204	30	0			62	150	1141003	0	1	0
16050000	4205	Seeshell	Area, Freeze	3	Assets/Product/Texture/Image/RolePartner/Pet2Bei1.png	Assets/Product/Texture/Image/Pets/Pet2BeionMd010011.png	50	2	0	205	30	0			61	150	0	0	1	0
16060000	4206	Nitor	DMG	2	Assets/Product/Texture/Image/RolePartner/Pet3Mao1.png	Assets/Product/Texture/Image/Pets/Pet3MaoonMd010011.png	60	3	0	206	30	0			62	150	1071003	0	1	0
16070000	4207	Lingya	DMG	4	Assets/Product/Texture/Image/RolePartner/Pet2Yang1.png	Assets/Product/Texture/Image/Pets/Pet2YangonMd010011.png	70	2	0	207	30	0			61	150	0	0	1	0
16080000	4208	Boreas	Charge	3	Assets/Product/Texture/Image/RolePartner/Pet3Ying1.png	Assets/Product/Texture/Image/Pets/Pet3YingonMd010011.png	80	3	0	208	30	0			62	150	1121003	0	1	0
16090000	4209	Thorny	Charge	1	Assets/Product/Texture/Image/RolePartner/Pet2Ciwei.png	Assets/Product/Texture/Image/Pets/Pet2CiweionMd010011.png	90	2	0	209	30	0			61	150	0	0	1	0
16100000	4210	Jet Jaeger	Slash	2	Assets/Product/Texture/Image/RolePartner/Pet3Hu.png	Assets/Product/Texture/Image/Pets/Pet3HuonMd010011.png	100	3	0	210	30	0			62	150	1051004	0	1	0
16110000	4211	Moonhopper	Control	5	Assets/Product/Texture/Image/RolePartner/Pet3Tu1.png	Assets/Product/Texture/Image/Pets/Pet3TuonMd010011.png	110	3	0	211	30	0			62	150	1071004	0	1	0
16120000	4212	Shimmer	Pull, Charge	1	Assets/Product/Texture/Image/RolePartner/Pet3Yu1.png	Assets/Product/Texture/Image/Pets/Pet3YuonMd010011.png	120	3	0	212	30	0			62	150	1041004	0	1	0
16130000	4213	Punchy	DMG	2	Assets/Product/Texture/Image/RolePartner/Pet3Quan1.png	Assets/Product/Texture/Image/Pets/Pet3QuanonMd010011.png	130	3	0	213	30	0			62	150	1011004	0	1	0
16140000	4214	Rainbow	Pull, Damage	3	Assets/Product/Texture/Image/RolePartner/Pet3Wuzei1.png	Assets/Product/Texture/Image/Pets/Pet3WuzeioffMd010011.png	140	3	0	214	30	0			62	150	1091003	0	1	0
16150000	4215	Motorbolt	Pull, Damage	4	Assets/Product/Texture/Image/RolePartner/Pet3Motor1.png	Assets/Product/Texture/Image/Pets/Pet3MotoroffMd010011.png	150	3	0	215	30	0			62	150	1021005	0	1	0
16160000	4216	Hades Fangs	Crowd Control, Damage	4	Assets/Product/Texture/Image/RolePartner/Pet3Wolf1.png	Assets/Product/Texture/Image/Pets/Pet3WolfoffMd010011.png	160	3	0	216	30	0			62	150	1221003	0	1	0
16170000	4217	Dawn Chorus	Damage, Super Armor	1	Assets/Product/Texture/Image/RolePartner/Pet3Griffon1.png	Assets/Product/Texture/Image/Pets/Pet3GriffonoffMd010011.png	170	3	0	217	30	0			62	150	1261003	0	1	0
16180000	4218	Cetus	Damage, Crowd Control	5	Assets/Product/Texture/Image/RolePartner/Pet3Dolphin1.png	Assets/Product/Texture/Image/Pets/Pet3DolphinoffMd010011.png	180	3	0	218	30	0			62	150	1271003	0	1	0
16190000	4219	Shadow Wing	Damage, Crowd Control	2	Assets/Product/Texture/Image/RolePartner/Pet3Bat1.png	Assets/Product/Texture/Image/Pets/Pet3BatoffMd010011.png	190	3	0	219	30	0			62	150	1081004	0	1	0
16200000	4220	Huiyu	Damage, Crowd Control	3	Assets/Product/Texture/Image/RolePartner/Pet3Peacock1.png	Assets/Product/Texture/Image/Pets/Pet3PeacockoffMd010011.png	200	3	0	220	30	0			62	150	1521004	0	1	0
16210000	4221	Guardrake	Crowd Control, Damage	6	Assets/Product/Texture/Image/RolePartner/Pet3Dragon1.png	Assets/Product/Texture/Image/Pets/Pet3DragonoffMd010011.png	210	3	0	221	30	0			62	150	1171004	0	1	0
16220000	4222	Dreamwing	Crowd Control, Damage	1	Assets/Product/Texture/Image/RolePartner/Pet3Die1.png	Assets/Product/Texture/Image/Pets/Pet3DieoffMd010011.png	220	3	0	222	30	0			62	150	1241003	0	1	0
16230000	4223	Snowveil	Crowd Control, Damage	3	Assets/Product/Texture/Image/RolePartner/Pet3Fox1.png	Assets/Product/Texture/Image/Pets/Pet3FoxoffMd010011.png	230	3	0	223	30	0			62	150	1211003	0	1	0
