Id	Name	DailyTaskGroup	WeekTaskGroup	BuyPassPortEarlyEndTime	ComingToEndMailTime	ComingToEndMailId	BPTask[1]	BPTask[2]	BPTask[3]	BPTask[4]	BPTask[5]	BPTask[6]	BPTask[7]	BPTask[8]	TimeId	NewbieTasks[1]	NewbieTasks[2]	NewbieTasks[3]	NewbieTasks[4]	NewbieTasks[5]	NewbieTasks[6]	NewbieTasks[7]	NewbieTasks[8]	NewbieTasks[9]	RegressionTasks[1]	RegressionTasks[2]	RegressionTasks[3]	RegressionTasks[4]	RegressionTasks[5]	RegressionTasks[6]	RegressionTasks[7]	RegressionTasks[8]
1	锈痕档案	1	1	1200	259200	63001	80010	80011	80013																							
2	昼星档案	2	2	1200	259200	63002	80024	80025	80026																							
3	剧场档案	3	3	1200	259200	63003	80027	80028	80029	80030	80031	80032	80033	80034																		
4	岁余档案	4	4	1200	259200	63004	80035	80036	80037																							
5	昭星档案	5	5	1200	259200	63005	80040	80041	80042						7510																	
6	铣芯档案	6	6	1200	259200	63006	80043	80044	80045						8510																	
7	月海档案	7	7	1200	259200	63007	80046	80047	80048						9901																	
8	冬影档案	8	8	1200	259200	63008	80049	80050	80051	80052	80053	80054	80055		10810																	
9	浅沫档案	9	9	1200	259200	63009	80056	80057	80058						11010																	
10	隐线档案	10	10	1200	259200	63010	80059	80060	80061						12700																	
11	星轨档案	11	11	1200	259200	63011	80062	80063	80064						13910																	
12	虹迹档案	12	12	1200	259200	63012	80065	80066	80067						14910																	
13	新岁档案	13	13	1200	259200	63013	80068	80069	80070						15730																	
14	瑶华档案	14	14	1200	259200	63014	80071	80072	80073						16710																	
15	猎影档案	15	15	1200	259200	63015	80074	80075	80076	80077	80078	80079	80080		17910																	
16	怒涛档案	16	16	1200	259200	63016	80081	80082	80083						18500																	
17	衡明档案	17	17	1200	259200	63017	80084	80085	80086						19700																	
18	海沫档案	18	18	1200	259200	63018	80087	80088	80089	80090	80091	80092	80093		20091																	
19	黑曜档案	19	19	1200	259200	63019	80094	80095	80096	80097	80098	80099	80100		21600																	
20	迟星档案	20	20	1200	259200	63020	80101	80102	80103						22700																	
21	翠鸾档案	21	21	1200	259200	63021	80104	80105	80106						23910																	
22	映射档案	22	22	1200	259200	63022	80107	80108	80109						24711																	
23	弦月档案	23	23	1200	259200	63023	80110	80111	80112						25730																	
24	炬矽档案	24	24	1200	259200	63024	80113	80114	80115	80116	80117	80118	80119		26901																	
25	归忱档案	25	25	1200	259200	63025	80120	80121	80122						27952																	
26	溯眠档案	26	26	1200	259200	63026	80123	80124	80125						28210																	
27	誓语档案	27	27	1200	259200	63027	80127	80128	80129						29760																	
28	夕日档案	28	28	1200	259200	63028	80130	80131	80132	80133	80134	80135	80136		30860																	
29	怀星档案	29	29	1200	259200	63029	80137	80138	80139						32960																	
30	凌日档案	30	30	1200	259200	63030	80140	80141	80142						33860																	
31	浮金档案	31	31	1200	259200	63031	80143	80144	80145	80146	80147	80148	80149		34750																	
32	Time Tracer's File	32	32	1200	259200	63032	80150	80151	80152																							
33	Shimmering File	33	33	1200	259200	63033	80153	80154	80155	80156	80157	80158	80159																			
34	Skypiercer File	34	34	1200	259200	63034	80160	80161	80162																							
35	Abysshunt File	35	35	1200	259200	63035	80163	80164	80165																							
36	Pilgrimage File	36	36	1200	259200	63036	80166	80167	80168																							
37	Rusty String File	37	37	1200	259200	63037	80169	80170	80171	80172	80173	80174	80175																			
38	Burning Night File	38	38	1200	259200	63038	80176	80177	80178																							
39	Indigo Horizon File	39	39	1200	259200	63039	80179	80180	80181	80185	80186				42501																	
40	CypherNet File	40	40	1200	259200	63040	80182	80183	80184	80185	80186				43401																	
41	Rime's End File	41	41	1200	259200	63041	80200	80201	80202	80185	80186				44403																	
42	Nocturnal Stasis File	42	42	1200	259200	63042	80203	80204	80205	80185	80186	80214	80215		45701																	
43	Focal Blaze File	43	43	1200	259200	63043	80216	80217	80218	80185	80186				46601																	
44	Homecoming File	44	44	1200	259200	63044	80242	80243	80244						47601	80225	80226	80227	80228	80229	80230	80231	80232	80233	80234	80235	80236	80237	80238	80239	80240	80241
