Id	TemplateId	Count	Params[0]	Params[1]	Params[2]
10	2025001	1	1	0	
11	6210106	1			
12	2994001	1	1	0	
240	1	80			
270	1	100			
2010	1	100			
2020	1	200			
2030	1	400			
2040	31200	10			
2050	28	50			
2060	29	50			
2080	31204	1			
2090	25	150			
2100	26	150			
5010	501	1			
5020	502	1			
5030	503	1			
5040	504	1			
5050	505	1			
5060	506	1			
5070	507	1			
5080	508	1			
5120	512	1			
5130	513	1			
8010	31	1			
8020	31	2			
8030	31	3			
8040	31	4			
8050	31	5			
8060	31	10			
8100	1	1000			
8110	29	10			
8120	29	10			
8130	1	900			
8140	1	1			
8150	1	805			
8160	1	188888			
8170	50005	1			
8180	50003	1			
8190	1	950			
8200	3	1			
8210	1	750			
8220	1	950			
8230	1	700			
8240	1	800			
8250	1	1000			
8260	50000	1			
8270	1	900			
8280	50005	300			
8290	1	600			
8300	1	800			
8310	1	500			
8320	1	600			
8330	1	500			
8340	1	650			
8350	1	450			
8360	1	650			
8370	1	500			
8380	1	750			
8390	1	650			
8400	1	600			
9000	63002	50			
9010	9010230	1			
9011	63002	50			
9020	63002	50			
9030	63002	50			
9040	63002	50			
9050	70002	10			
9060	70001	20			
9070	70002	50			
9080	70001	50			
9090	50000	175			
10010	1	1000			
10011	12	1			
10012	12	1			
10020	1	1000			
10021	12	1			
10030	1	2000			
10031	12	2			
10032	12	5			
10033	3	5			
10040	1	3000			
10041	12	2			
10043	3	10			
10050	1	5000			
10051	12	3			
10052	12	1			
10053	3	15			
10070	40100	1			
10071	40101	1			
10072	40102	1			
10073	40103	1			
10074	40104	1			
10080	2992001	1	1	0	
10081	3912001	4	1	0	
10090	40110	1			
10091	40111	1			
10092	40112	1			
10093	40113	1			
10094	40114	1			
10100	1	50000			
10101	3	20			
10110	1	50000			
10111	3	30			
11010	1	10000			
11020	1	20000			
11030	1	50000			
11040	1	100000			
11050	1	200000			
11060	4	30			
11070	4	60			
11080	4	120			
11090	4	180			
11100	4	240			
11200	3016005	1	1	0	
11210	3026005	1	1	0	
11220	3036005	1	1	0	
11221	3046005	1	1	0	
11230	3056001	1	1	0	
11231	3066001	1	1	0	
11240	2026003	1	1	0	
11250	8030001	1			
11251	8030002	1			
11252	8030003	1			
11253	8030004	1			
11254	8030005	1			
11255	8030006	1			
11256	8030007	1			
11257	8030008	1			
11258	8030009	1			
11259	8030010	1			
11260	8030011	1			
11261	8030012	1			
11262	8030013	1			
11263	8030014	1			
11264	8030015	1			
11265	8030016	1			
11270	9090002	1			
11280	6310304	1			
11300	1011002	1	1	2	1
11301	1021002	1	1	2	1
11302	1031002	1	1	2	1
11303	1041002	1	1	2	1
11305	1071002	1	1	2	1
11306	1081002	1	1	2	1
11310	1011003	1	1	3	1
11311	1031003	1	1	3	1
11312	1061003	1	1	3	1
11313	1071003	1	1	3	1
11314	1051003	1	1	3	1
11321	6110104	1			
11322	6810104	1			
11323	6610304	1			
11324	6110304	1			
11325	6710305	1			
11326	6710104	1			
11327	6710304	1			
11328	6410104	1			
11329	6610104	1			
11330	6210204	1			
11331	6110305	1			
11332	6210105	1			
11333	6310105	1			
11334	6310204	1			
11335	6210205	1			
11336	6510304	1			
11337	6510305	1			
11340	2116	1			
11341	2117	1			
11342	2118	1			
11343	2119	1			
11344	2120	1			
11345	2121	1			
11346	2122	1			
11347	2123	1			
11348	2124	1			
11349	2125	1			
11350	2126	1			
11351	2127	1			
11352	2128	1			
11353	2129	1			
11354	2130	1			
11355	2131	1			
11356	2132	1			
11357	2133	1			
11358	2134	1			
11360	8050002	1			
11361	8050003	1			
11362	8050004	1			
11363	8050005	1			
11364	8050006	1			
11365	8050007	1			
11366	8050008	1			
11367	8050009	1			
11368	8050010	1			
11369	8050011	1			
11370	8050012	1			
11371	8050013	1			
11372	8050014	1			
11373	8050015	1			
11374	8050016	1			
11375	8050017	1			
11376	8050018	1			
11377	8050019	1			
11378	8050020	1			
11390	1011002	1	1	2	1
11391	1021002	1	1	2	1
11392	1031002	1	1	2	1
11393	1041002	1	1	2	1
11394	1061002	1	1	2	1
11395	1071002	1	1	2	1
11396	1081002	1	1	2	1
11400	1021001	1	1	1	1
11401	1031001	1	1	1	1
11402	1051001	1	1	1	1
11420	2135	1			
11421	2136	1			
11422	2137	1			
11423	2138	1			
11424	2139	1			
11425	2140	1			
11426	2141	1			
11427	2142	1			
11428	2143	1			
11429	2144	1			
11430	2145	1			
11431	2146	1			
11432	2147	1			
11433	2148	1			
11434	2149	1			
11435	2150	1			
11436	2151	1			
11437	2152	1			
11440	8060001	1			
11441	8060002	1			
11442	8060003	1			
11443	8060004	1			
11444	8060005	1			
11445	8060006	1			
11446	8060007	1			
11447	8060008	1			
11448	8060009	1			
11449	8060010	1			
11450	8060011	1			
11451	8060012	1			
11452	8060013	1			
11453	8060014	1			
11454	8060015	1			
11455	8060016	1			
11456	8060017	1			
11457	8060018	1			
11460	2135	1			
11461	2136	1			
11462	2137	1			
11463	2138	1			
11464	2139	1			
11465	2140	1			
11466	2141	1			
11467	2142	1			
11468	2143	1			
11469	2144	1			
11470	2145	1			
11471	2146	1			
11472	2147	1			
11473	2148	1			
11474	2149	1			
11475	2150	1			
11476	2151	1			
11477	2152	1			
11490	1011002	1			
11491	1061002	1			
11492	1081002	1			
11493	1081003	1			
11500	1041002	1			
11501	1071002	1			
11502	1021002	1			
11503	1031002	1			
11504	1091002	1			
11510	40603	1			
11511	40606	1			
11512	40607	1			
11520	40601	1			
11521	40602	1			
11522	40604	1			
11523	40605	1			
11524	40608	1			
11525	40609	1			
11526	40610	1			
11527	40611	1			
11528	40612	1			
11529	40613	1			
11530	40614	1			
11531	40615	1			
11532	40616	1			
11533	40617	1			
11534	40619	1			
11535	40620	1			
11540	2153	1			
11541	2154	1			
11542	2155	1			
11543	2156	1			
11544	2157	1			
11545	2158	1			
11546	2159	1			
11547	2160	1			
11548	2161	1			
11549	2162	1			
11550	2163	1			
11551	2164	1			
11552	2165	1			
11553	2166	1			
11554	2167	1			
11555	2168	1			
11556	2169	1			
11557	2170	1			
11558	2171	1			
11559	2172	1			
11560	2173	1			
11561	2174	1			
11562	2175	1			
11600	8070001	1			
11601	8070002	1			
11602	8070003	1			
11603	8070004	1			
11604	8070005	1			
11605	8070006	1			
11606	8070007	1			
11607	8070008	1			
11608	8070009	1			
11609	8070010	1			
11610	8070011	1			
11611	8070012	1			
11612	8070013	1			
11613	8070014	1			
11614	8070015	1			
11615	8070016	1			
11616	8070017	1			
11617	8070018	1			
11618	8070019	1			
11619	8070020	1			
11620	8070021	1			
11621	8070022	1			
11622	8070023	1			
11630	2176	1			
11631	2177	1			
11632	2178	1			
11633	2179	1			
11634	2180	1			
11635	2181	1			
11636	2182	1			
11637	2183	1			
11638	2184	1			
11639	2185	1			
11640	2186	1			
11641	2187	1			
11642	2188	1			
11643	2189	1			
11644	2190	1			
11650	8800001	1			
11651	8800002	1			
11652	8800003	1			
11653	8800004	1			
11654	8800005	1			
11655	8800006	1			
11656	8800007	1			
11657	8800008	1			
11658	8800009	1			
11659	8800010	1			
11660	8800011	1			
11661	8800012	1			
11662	8800013	1			
11663	8800014	1			
11664	8800015	1			
11670	2176	1			
11671	2177	1			
11672	2178	1			
11673	2179	1			
11674	2180	1			
11675	2181	1			
11676	2182	1			
11677	2183	1			
11678	2184	1			
11679	2185	1			
11680	2186	1			
11681	2187	1			
11682	2188	1			
11683	2189	1			
11684	2190	1			
11690	1	1			
11691	1	1			
11692	1	1			
11693	1	1			
11694	31	300			
11710	1011002	1	1	2	1
11711	1041002	1	1	2	1
11712	1061002	1	1	2	1
11713	1071002	1	1	2	1
11714	1081002	1	1	2	1
11715	1021002	1	1	2	1
11716	1031002	1	1	2	1
11717	1081003	1	1	2	1
11718	1091002	1	1	2	1
11719	1111002	1	1	2	1
11720	1121002	1	1	2	1
11730	90003	1			
11731	40110	3			
11732	40113	3			
11740	70002	30			
11741	70001	180			
11742	70002	50			
11743	70001	300			
11750	30013	2			
11751	31204	5			
11752	31104	2			
11753	12	10			
11754	1	100000			
11760	3015056	1	1	0	0
11761	3025056	1	1	0	0
11762	3035056	1	1	0	0
11763	3045056	1	1	0	0
11764	3055056	1	1	0	0
11765	3065056	1	1	0	0
11770	3015055	1	1	0	0
11771	3025055	1	1	0	0
11772	3035055	1	1	0	0
11773	3045055	1	1	0	0
11774	3055055	1	1	0	0
11775	3065055	1	1	0	0
11780	1011002	1	1	2	1
11781	1041002	1	1	2	1
11782	1061002	1	1	2	1
11783	1071002	1	1	2	1
11784	1081002	1	1	2	1
11785	1021002	1	1	2	1
11786	1031002	1	1	2	1
11787	1081003	1	1	2	1
11788	1091002	1	1	2	1
11789	1111002	1	1	2	1
11790	1121002	1	1	2	1
11791	1131002	1	1	2	1
11792	3005	1			
11793	90030	3			
11794	70002	30			
11795	70001	180			
11796	40301	50			
11800	2195	1			
11801	2196	1			
11802	2197	1			
11803	2198	1			
11804	2199	1			
11805	2200	1			
11806	2201	1			
11807	2202	1			
11808	2203	1			
11809	2204	1			
11810	2205	1			
11811	2206	1			
11812	2207	1			
11813	2208	1			
11814	2209	1			
11815	2210	1			
11820	8900001	1			
11821	8900002	1			
11822	8900003	1			
11823	8900004	1			
11824	8900005	1			
11825	8900006	1			
11826	8900007	1			
11827	8900008	1			
11828	8900009	1			
11829	8900010	1			
11830	8900011	1			
11831	8900012	1			
11832	8900013	1			
11833	8900014	1			
11834	8900015	1			
11835	8900016	1			
11850	6310106	1			
11851	6410104	1			
11852	6210204	1			
11853	6610305	1			
11854	6110305	1			
11855	6710305	1			
11856	6510305	1			
11857	6210304	1			
11858	6210305	1			
11859	6810304	1			
11860	6810305	1			
11861	6910104	1			
11862	6910105	1			
11863	6000104	1			
11864	6000105	1			
11870	2212	1			
11871	2213	1			
11872	2214	1			
11873	2215	1			
11874	2216	1			
11875	2217	1			
11876	2218	1			
11877	2219	1			
11878	2220	1			
11879	2221	1			
11880	2222	1			
11881	2223	1			
11882	2224	1			
11883	2225	1			
11890	8910001	1			
11891	8910002	1			
11892	8910003	1			
11893	8910004	1			
11894	8910005	1			
11895	8910006	1			
11896	8910007	1			
11897	8910008	1			
11898	8910009	1			
11899	8910010	1			
11900	8910011	1			
11901	8910012	1			
11902	8910013	1			
11903	8910014	1			
11910	1011002	1	1	2	1
11911	1041002	1	1	2	1
11912	1061002	1	1	2	1
11913	1071002	1	1	2	1
11914	1081002	1	1	2	1
11915	1021002	1	1	2	1
11916	1031002	1	1	2	1
11917	1081003	1	1	2	1
11918	1091002	1	1	2	1
11919	1111002	1	1	2	1
11920	1121002	1	1	2	1
11921	1131002	1	1	2	1
11922	1161002	1	1	2	1
11930	2226	1			
11931	2227	1			
11932	2228	1			
11933	2229	1			
11934	2230	1			
11935	2231	1			
11936	2232	1			
11937	2233	1			
11938	2234	1			
11939	2235	1			
11940	2236	1			
11941	2237	1			
11942	2238	1			
11943	2239	1			
11944	2240	1			
11945	2241	1			
11946	2242	1			
11947	2243	1			
11948	2244	1			
11950	8920001	1			
11951	8920002	1			
11952	8920003	1			
11953	8920004	1			
11954	8920005	1			
11955	8920006	1			
11956	8920007	1			
11957	8920008	1			
11958	8920009	1			
11959	8920010	1			
11960	8920011	1			
11961	8920012	1			
11962	8920013	1			
11963	8920014	1			
11964	8920015	1			
11965	8920016	1			
11966	8920017	1			
11967	8920018	1			
11968	8920019	1			
11970	9091006	1			
11980	9090101	1			
11990	90030	2			
11991	70002	50			
11992	70001	300			
11993	70002	30			
11994	70001	180			
12010	3035004	1	1	0	
12020	3065004	1	1	0	
12030	3015004	1	1	0	
12040	3045004	1	1	0	
12050	3025008	1	1	0	
12060	3055008	1	1	0	
12070	2055001	1	1	0	
12110	9010222	1			
12120	2245	1			
12121	2246	1			
12122	2247	1			
12123	2248	1			
12124	2249	1			
12125	2250	1			
12126	2251	1			
12127	2252	1			
12128	2253	1			
12129	2254	1			
12130	2255	1			
12131	2256	1			
12132	2257	1			
12133	2258	1			
12134	2259	1			
12135	2260	1			
12140	8930001	1			
12141	8930002	1			
12142	8930003	1			
