Id	TemplateId	Count	Params[0]	Params[1]	Params[2]
100010	4	60			
100040	7	30			
100050	7	10			
100060	7	20			
100070	7	25			
100130	7	25			
100140	7	15			
100150	7	50			
100160	7	25			
100170	7	25			
100180	7	30			
100190	7	15			
100011	13	5			
100041	13	10			
100051	13	5			
100061	13	10			
100071	13	10			
100131	13	15			
100141	13	10			
100151	13	20			
100161	13	10			
100171	13	10			
100181	13	10			
100191	13	5			
100192	90031	1			
100201	13	5			
100211	13	5			
7012000	11000095	1			
7012010	94048	1			
7012020	94049	1			
7012030	94040	1			
7012040	50000	300			
7012050	94050	1			
7012060	50000	300			
7012070	94043	1			
7020040	1106	100			
7020050	1106	100			
7020060	1106	100			
7020070	1106	100			
7020080	1106	100			
7020090	1106	100			
7020100	1106	100			
7020110	1106	100			
7020120	1106	100			
7020130	1106	100			
7020140	1106	100			
7020150	1106	100			
7020160	1106	300			
7020170	1106	300			
7020180	1106	250			
7020190	1106	250			
7020200	1106	300			
7020210	1106	300			
7020220	1106	200			
7020230	1106	150			
7020240	1106	150			
7020250	1106	150			
7020260	1106	150			
7020270	1106	200			
7020280	1106	200			
7020290	1106	150			
7020300	1106	150			
7020310	1106	150			
7020320	1106	150			
7020330	1106	200			
7020340	1106	200			
7020350	1106	200			
7020360	1106	200			
7020370	1106	200			
7020380	1106	200			
7020390	1106	200			
7020400	1106	200			
7020410	1106	200			
7020420	1106	200			
7020430	1106	200			
710000	3	50			
710100	3	50			
710200	3	50			
710300	3	50			
710400	3	50			
710500	3	50			
720000	3	50			
720100	3	50			
720200	3	50			
720300	3	50			
720400	3	50			
730000	3	50			
730100	3	50			
730200	3	50			
730300	3	50			
740000	3	50			
740100	3	100			
740200	3	50			
740300	3	100			
750000	3	100			
750100	3	100			
750200	3	100			
760000	3	100			
760100	3	100			
760200	3	100			
770000	3	100			
770100	3	100			
770200	3	200			
710001	2992001	1	1	0	
710101	1	10000			
710201	1	10000			
710301	2993001	1	1	0	
710401	1	10000			
710501	2993001	1	1	0	
720001	1	10000			
720101	2993001	1	1	0	
720201	1	10000			
720301	2993001	1	1	0	
720401	1	10000			
730001	2993001	1	1	0	
730101	2993001	1	1	0	
730201	1	10000			
730301	1	10000			
740001	1	10000			
740101	1	10000			
740201	2993001	1	1	0	
740301	1	10000			
740401	30	3			
750001	2993001	1	1	0	
750101	1	10000			
750201	1	10000			
760001	2993001	1	1	0	
760101	2993001	1	1	0	
760201	1	10000			
770001	2993001	1	1	0	
770101	2993001	1	1	0	
770201	2993001	1	1	0	
710002	20	2			
710102	20	3			
710202	20	5			
710302	20	5			
710402	20	5			
710502	20	5			
720002	20	5			
720102	20	5			
720202	20	5			
720302	20	5			
720402	20	5			
730002	20	5			
730102	20	5			
730202	20	5			
730302	20	5			
740002	20	5			
740102	20	5			
740202	20	5			
740302	20	5			
750002	20	5			
750102	20	5			
750202	20	5			
760002	20	5			
760102	20	5			
760202	20	5			
770002	20	10			
770102	20	10			
770202	20	10			
12010	3035004	1	1	0	
12020	3065004	1	1	0	
12030	3015004	1	1	0	
12040	3045004	1	1	0	
12050	3025008	1	1	0	
12060	3055008	1	1	0	
12070	2055001	1	1	0	
386300	3914001	2			
386301	30012	2			
386302	1	5000			
386400	2994001	2			
386401	30012	2			
386402	1	5000			
386500	30013	4			
386501	12	10			
386502	1	10000			
386600	30013	4			
386601	12	10			
386602	1	10000			
390000	23	60			
390001	102	20			
390002	1	10000			
390200	23	80			
390201	102	30			
390202	1	10000			
390300	23	100			
390301	102	40			
390302	1	10000			
390400	23	120			
390401	102	60			
390402	1	10000			
301008010	3	10			
301008011	12	3			
301008012	1	3000			
30001000	3	30			
30001010	3	30			
30001020	3	30			
30001030	3	30			
30001040	3	30			
30001050	3	30			
30001060	3	35			
30001070	3	35			
30001080	3	35			
30001090	3	35			
30001100	3	40			
30001110	3	40			
30001120	3	40			
30001130	3	40			
30001140	3	40			
30001150	3	40			
30001160	3	45			
30001170	3	45			
30001180	3	50			
30001190	3	40			
30001200	3	40			
30001210	3	40			
30001220	3	40			
30001230	3	45			
30001240	3	45			
30001250	3	50			
30027000	3	120			
30027001	1	13500			
30028000	3	120			
30028001	1	13500			
30029000	3	120			
30029001	1	13500			
30030000	3	150			
30030001	1	13500			
30031000	3	150			
30031001	1	13500			
30032000	3	150			
30032001	1	13500			
30033000	3	195			
30033001	1	13500			
30034000	3	195			
30034001	1	13500			
30035000	3	540			
30035001	1	30000			
30036000	3	360			
30036001	1	30000			
30037000	3	540			
30037001	1	30000			
30038000	3	180			
30038001	1	15000			
30039000	3	40			
30039001	70001	60			
30039002	1	4500			
30040000	3	40			
30040001	70002	10			
30040002	1	4500			
30041000	3	40			
30041001	70001	60			
30041002	1	4500			
30042000	3	50			
30042001	70002	10			
30042002	1	4500			
30043000	3	50			
30043001	70001	80			
30043002	1	4500			
30044000	3	50			
30044001	70002	10			
30044002	1	4500			
30045000	3	65			
30045001	70001	80			
30045002	1	4500			
30046000	3	65			
30046001	70002	10			
30046002	1	4500			
30047000	3	180			
30047001	70001	100			
30047002	1	10000			
30048000	3	120			
30048001	70002	20			
30048002	1	10000			
30049000	3	180			
30049001	70001	100			
30049002	1	10000			
30050000	3	120			
30050001	70002	20			
30050002	1	10000			
30001001	1	3000			
30001011	1	3000			
30001021	1	3000			
30001031	1	3000			
30001041	1	3000			
30001051	1	3000			
30001061	1	3000			
30001071	1	3000			
30001081	1	3000			
30001091	1	3000			
30001101	1	3000			
30001111	1	3000			
30001121	1	3000			
30001131	1	3000			
30001141	1	3000			
30001151	1	3000			
30001161	1	3000			
30001171	1	3000			
30001181	1	3000			
30001191	1	3000			
30001201	1	3000			
30001211	1	3000			
30001221	1	3000			
30001231	1	3000			
30001241	1	3000			
30001251	1	3000			
500000	50000	100			
500010	50000	100			
500020	50000	100			
500030	50000	200			
500040	50000	200			
500050	90030	1			
500060	90030	1			
500070	90030	1			
500080	90030	1			
500090	90030	1			
500100	90030	1			
500110	90030	1			
500120	90030	1			
500130	90030	1			
500140	90030	1			
500150	90030	1			
500160	90030	1			
500170	90030	1			
500180	90030	1			
500190	90030	1			
500051	90030	1			
500061	90030	1			
500071	90030	1			
500081	90030	1			
500091	90030	1			
500101	90030	1			
500111	90030	1			
500121	90030	1			
500131	90030	1			
500141	90030	1			
500151	90030	1			
500161	90030	1			
500171	90030	1			
500181	90030	1			
500191	90030	1			
500200	50000	2500			
500210	90030	1			
500220	90030	1			
500230	50005	2500			
500240	90030	1			
500250	90030	1			
500260	50000	2500			
500211	90030	1			
500221	90030	1			
500241	90030	1			
500251	90030	1			
500270	70002	10			
500280	70002	50			
500290	70002	10			
500300	70002	50			
500310	70002	10			
500320	70002	50			
500330	70002	10			
500340	70002	50			
500350	70002	10			
500360	70002	50			
500370	70002	50			
500380	70002	50			
500390	70002	50			
500400	70002	50			
500271	70001	60			
500281	70001	10			
500291	70001	60			
500301	70001	10			
500311	70001	60			
500321	70001	10			
500331	70001	60			
500341	70001	10			
500351	70001	60			
500361	70001	10			
500371	70001	10			
500381	70001	10			
500391	70001	10			
500401	70001	10			
500410	201	30			
500420	30111	4			
500421	40200	5			
500422	40301	60			
500430	25	450			
500440	3026004	1			
500450	3056004	1			
500460	50000	500			
500470	50000	500			
500480	30013	3			
500490	30013	3			
500500	30013	3			
500510	30013	8			
500520	30013	8			
500530	30013	8			
500540	30013	8			
500550	30013	8			
500560	30013	8			
500570	30013	8			
500580	30013	8			
500590	12	10			
500600	12	10			
500610	12	15			
500620	12	15			
500630	12	15			
500640	12	20			
500650	12	20			
500660	12	20			
500670	12	20			
500680	12	20			
500690	31204	6			
500700	31204	6			
500710	31204	6			
500720	31204	6			
500730	31204	6			
500740	31204	6			
500750	31204	6			
500760	31204	6			
500770	31204	6			
500780	31204	6			
500790	31204	6			
500800	30013	8			
500481	30012	3			
500491	30012	3			
500501	30012	3			
500511	30012	8			
500521	30012	8			
500531	30012	8			
500541	30012	8			
500551	30012	8			
500561	30012	8			
500571	30012	8			
500581	30012	8			
500591	1	100000			
500601	1	100000			
500611	1	100000			
500621	1	100000			
500631	1	100000			
500641	1	100000			
500651	1	100000			
500661	1	100000			
500671	1	100000			
500681	1	100000			
500691	31104	6			
500701	31104	6			
500711	31104	6			
500721	31104	6			
500731	31104	6			
500741	31104	6			
500751	31104	6			
500761	31104	6			
500771	31104	6			
500781	31104	6			
500791	31104	6			
500801	30012	8			
500482	1	20000			
500492	1	20000			
500502	1	20000			
500512	1	50000			
500522	1	50000			
500532	1	50000			
500542	1	50000			
500552	1	50000			
500562	1	50000			
500572	1	50000			
500582	1	50000			
500692	1	100000			
500702	1	100000			
500712	1	100000			
500722	1	100000			
500732	1	100000			
500742	1	100000			
500752	1	100000			
500762	1	100000			
500772	1	100000			
500782	1	100000			
500792	1	100000			
500802	1	50000			
500820	34000	25			
390080	1511003	1	60	3	0
390082	2105001	1	25	0	0
390090	3016016	1	25	0	0
390091	3026016	1	25	0	0
390092	3036016	1	25	0	0
390093	3046016	1	25	0	0
390094	3056016	1	25	0	0
390095	3066016	1	25	0	0
4002010	60810	5			
4002011	70001	3			
4002012	1	1000			
4002020	60810	10			
4002021	70001	3			
4002022	1	1000			
490000	32000	1000			
490001	32001	100			
490002	1	200000			
490010	33000	1000			
490011	33001	100			
490012	1	200000			
163090	13019104	1			
163091	31204	1			
163092	1	5000			
751310	102	50			
751311	30013	5			
751312	1	15000			
751320	102	50			
751321	30013	5			
751322	1	15000			
751330	102	50			
751331	31204	15			
751332	1	15000			
751340	102	50			
751341	31204	15			
751342	1	15000			
751350	102	50			
751351	31104	5			
751352	1	15000			
751360	102	50			
751361	60001	20			
751362	1	15000			
751370	102	50			
751371	60001	20			
751372	1	15000			
751380	102	50			
751381	60002	6			
751382	1	15000			
751390	102	20			
751391	40301	20			
751392	1	30000			
751400	102	40			
751401	13019205	1			
751402	1	60000			
751410	102	40			
751411	40301	20			
751412	1	90000			
100220	90031	1			
100221	13	5			
100230	7	10			
100231	13	5			
611490	34000	1			
611500	47	144			
611510	34000	1			
611520	70001	160			
611530	70002	27			
611540	34000	1			
611550	47	240			
611560	70001	160			
611570	34000	1			
611580	70002	27			
611590	47	240			
611600	34000	1			
611610	70001	160			
611620	70002	27			
611630	34000	1			
611640	47	240			
611650	34000	1			
612150	40201	6			
612151	102	50			
612152	1	15000			
612160	40201	6			
612161	102	50			
612162	1	15000			
612170	8982611	1			
612171	102	50			
612172	1	15000			
612180	8982610	1			
612181	102	50			
612182	1	15000			
612190	8982606	1			
612191	102	50			
612192	1	15000			
612200	8982607	1			
612201	102	50			
612202	1	15000			
612210	8982608	1			
612211	102	50			
612212	1	15000			
612220	8982609	1			
612221	102	50			
612222	1	15000			
612230	30013	8			
612231	102	50			
612232	1	20000			
612240	30013	10			
612241	102	50			
612242	1	30000			
612250	30013	12			
612251	13019612	1			
612252	1	40000			
624290	102	50			
624291	31204	12			
624292	1	70000			
624300	102	50			
624301	13019632	1			
624302	1	70000			
646600	102	150			
646601	13019659	1			
646602	1	70000			
654800	7	40			
654801	13	15			
654802	97050	1			
670870	50005	50			
670871	8983273	1			
670872	1	90000			
670880	8983275	1			
670881	31204	36			
670882	1	90000			
670890	60002	20			
670891	31104	36			
670892	1	90000			
691060	97083	800			
691070	97083	1000			
691080	97083	1200			
691090	97083	600			
691270	102	80			
691271	34000	1			
691272	1	15000			
691280	102	80			
691281	34000	1			
691282	1	15000			
691290	102	80			
691291	34000	1			
691292	1	15000			
691300	9100001	1			
21000000	3	100			
21000001	1	100000			
50000000	6510104	1			
50004780	3	50			
50012000	3	120			
50012010	3	120			
50012020	3	120			
50012030	3	120			
50012040	3	135			
50012050	3	135			
50012060	3	150			
50012070	3	120			
50012080	3	120			
50012090	3	120			
50012100	3	120			
50012110	3	135			
50012120	3	135			
50012130	3	150			
50012001	1	9000			
50012011	1	9000			
50012021	1	9000			
50012031	1	9000			
50012041	1	9000			
50012051	1	9000			
50012061	1	9000			
50012071	1	9000			
50012081	1	9000			
50012091	1	9000			
50012101	1	9000			
50012111	1	9000			
50012121	1	9000			
50012131	1	9000			
50012150	4	180			
50012160	7	90			
50012170	7	30			
50012180	7	60			
50012190	7	75			
50012200	7	120			
50012210	7	75			
50012220	7	45			
50012230	7	150			
50012240	7	75			
50012250	7	75			
50012260	7	90			
50012270	90031	3			
50012280	13	5			
50012290	13	5			
50012300	90031	3			
50012310	7	30			
50012151	13	5			
50012161	13	10			
50012171	13	5			
50012181	13	10			
50012191	13	10			
50012201	13	15			
50012211	13	15			
50012221	13	10			
50012231	13	20			
50012241	13	10			
50012251	13	10			
50012261	13	10			
50012271	7	45			
50012301	13	5			
50012311	13	5			
50012272	13	5			
50017860	3	80			
50017861	1	9000			
50017870	3	80			
50017871	1	9000			
50017880	3	80			
50017881	1	9000			
50017890	3	100			
50017891	1	9000			
50017900	3	100			
50017901	1	9000			
50017910	3	100			
50017911	1	9000			
50017920	3	130			
50017921	1	9000			
50017930	3	130			
50017931	1	9000			
50017940	3	360			
50017941	1	20000			
50017950	3	240			
50017951	1	20000			
50017960	3	360			
50017961	1	20000			
50017970	3	240			
50017971	1	20000			
50018090	4	120			
50018100	7	60			
50018110	7	20			
50018120	7	40			
50018130	7	50			
50018140	7	80			
50018150	7	50			
50018160	7	30			
50018170	7	100			
50018180	7	50			
50018190	7	50			
50018200	7	60			
50018210	90031	2			
50018220	90031	2			
50018230	13	5			
50018240	13	5			
50018250	7	20			
50018091	13	5			
50018101	13	10			
50018111	13	5			
50018121	13	10			
50018131	13	10			
50018141	13	15			
50018151	13	15			
50018161	13	10			
50018171	13	20			
50018181	13	10			
50018191	13	10			
50018201	13	10			
50018211	13	5			
50018221	7	30			
50018251	13	5			
50018222	13	5			
50021150	3	120			
50021160	3	120			
50021170	3	120			
50021180	3	150			
50021190	3	150			
50021200	3	150			
50021210	3	195			
50021220	3	195			
50021230	3	540			
50021240	3	360			
50021250	3	540			
50021260	3	360			
50021151	1	13500			
50021161	1	13500			
50021171	1	13500			
50021181	1	13500			
50021191	1	13500			
50021201	1	13500			
50021211	1	13500			
50021221	1	13500			
50021231	1	30000			
50021241	1	30000			
50021251	1	30000			
50021261	1	30000			
50021280	4	180			
50021290	7	30			
50021300	7	60			
50021310	7	75			
50021320	7	90			
50021330	7	120			
50021340	7	75			
50021350	7	45			
50021360	7	150			
50021370	7	75			
50021380	7	75			
50021390	7	90			
50021400	90031	3			
50021410	90031	3			
50021420	13	5			
50021430	13	5			
50021440	7	30			
50021281	13	5			
50021291	13	5			
50021301	13	10			
50021311	13	10			
50021321	13	10			
50021331	13	15			
50021341	13	15			
50021351	13	10			
50021361	13	20			
50021371	13	10			
50021381	13	10			
50021391	13	10			
50021401	13	5			
50021411	7	45			
50021441	13	5			
50021412	13	5			
50024700	3	80			
50024710	3	80			
50024720	3	80			
50024730	3	100			
50024740	3	100			
50024750	3	100			
50024760	3	130			
50024770	3	130			
50024780	3	360			
50024790	3	240			
50024800	3	360			
50024810	3	240			
50024701	1	9000			
50024711	1	9000			
50024721	1	9000			
50024731	1	9000			
50024741	1	9000			
50024751	1	9000			
50024761	1	9000			
50024771	1	9000			
50024781	1	20000			
50024791	1	20000			
50024801	1	20000			
50024811	1	20000			
50024830	4	120			
50024840	7	20			
50024850	7	40			
50024860	7	50			
50024870	7	60			
50024880	7	80			
50024890	7	50			
50024900	7	30			
50024910	7	100			
50024920	7	50			
50024930	7	50			
50024940	7	60			
50024950	90031	2			
50024960	90031	2			
50024970	13	5			
50024980	13	5			
50024990	7	20			
50024831	13	5			
50024841	13	5			
50024851	13	10			
50024861	13	10			
50024871	13	10			
50024881	13	15			
50024891	13	15			
50024901	13	10			
50024911	13	20			
50024921	13	10			
50024931	13	10			
50024941	13	10			
50024951	13	5			
50024961	7	30			
50024991	13	5			
50024962	13	5			
50030030	3	120			
50030040	3	120			
50030050	3	120			
50030060	3	150			
50030070	3	150			
50030080	3	150			
50030090	3	195			
50030100	3	195			
50030110	3	540			
50030120	3	360			
50030130	3	540			
50030140	3	360			
50030031	1	13500			
50030041	1	13500			
50030051	1	13500			
50030061	1	13500			
