Id	SourceGroupId	Type	Priority	PreTaskId	Result	RewardId	GroupId	LoginVisible	Condition[0]	StartTime	EndTime
2000	0	2	10000	0	1	10001	0	0	2000		2025/2/20 7:00
2003	0	2	9635	0	5	10004	0	0	2003		2025/2/20 7:00
2004	0	2	9960	0	1	10005	0	0	2004		2025/2/20 7:00
2005	0	2	9650	0	2	10006	0	0	2005		2025/2/20 7:00
2006	0	2	9640	0	3	10007	0	0	2006		2025/2/20 7:00
2012	0	2	9880	0	1	10013	0	0	2012		2025/2/20 7:00
2013	0	2	9870	0	1	10014	0	0	2013		2025/2/20 7:00
2014	0	2	9860	0	100	10015	0	0	2014		2025/2/20 7:00
2015	0	2	9550	0	200	10016	0	0	2015		2025/2/20 7:00
2016	0	2	9540	0	300	10017	0	0	2016		2025/2/20 7:00
2017	0	2	9830	0	1	10018	0	0	2017		2025/2/20 7:00
2018	0	2	9810	0	1	10019	0	0	2018		2025/2/20 7:00
2019	0	2	9770	0	1	10020	0	0	2019		2025/2/20 7:00
2020	0	2	9790	0	3	10021	0	0	2020		2025/2/20 7:00
2021	0	2	9890	0	1	10022	0	0	2021		2025/2/20 7:00
2022	0	2	9800	0	1	10023	0	0	2022		2025/2/20 7:00
3863	0	10	9800	0	50000	38630	0	0	3863		
3864	0	10	9700	0	100000	38640	0	0	3864		
3865	0	10	10000	0	1	38650	0	0	3865		
3866	0	10	9900	0	2	38660	0	0	3866		
3900	0	10	6300	0	600000	39000	0	0	3900		
3901	0	10	6200	0	800000	39020	0	0	3901		
3902	0	10	6100	0	1000000	39030	0	0	3902		
3903	0	10	6000	0	1200000	39040	0	0	3903		
7100	0	7	10000	0	1	71000	0	0	7100		
7101	0	7	9990	0	1	71010	0	0	7101		
7102	0	7	9980	0	3	71020	0	0	7102		
7103	0	7	9970	0	2	71030	0	0	7103		
7104	0	7	9960	0	5	71040	0	0	7104		
7105	0	7	9955	0	1	71050	0	0	7105		
7106	0	7	9965	0	1	71040	0	0	7107		
7200	0	7	9950	0	4	72000	0	0	7200		
7201	0	7	9940	0	6	72010	0	0	7201		
7202	0	7	9930	0	3	72020	0	0	7202		
7203	0	7	9920	0	1	72030	0	0	7203		
7204	0	7	9910	0	1	72040	0	0	7204		
7205	0	7	9900	0	10	72050	0	0	7205		
7300	0	7	9910	0	6	73000	0	0	7300		
7301	0	7	9890	0	6	73010	0	0	7301		
7302	0	7	9880	0	1	73020	0	0	7302		
7303	0	7	9870	0	1	73030	0	0	7303		
7304	0	7	9865	0	1	73020	0	0	7304		
7305	0	7	9863	0	3	73000	0	0	7305		
7400	0	7	9860	0	1	74000	0	0	7400		
7401	0	7	9850	0	40	74010	0	0	7401		
7402	0	7	9840	0	1	74020	0	0	7402		
7403	0	7	9830	0	4	74030	0	0	7403		
7404	0	7	9825	0	1	74040	0	0	7404		
7500	0	7	9820	0	1	75000	0	0	7500		
7501	0	7	9810	0	1	75010	0	0	7501		
7502	0	7	9800	0	45	75020	0	0	7502		
7503	0	7	9790	0	3	75000	0	0	7503		
7600	0	7	9780	0	6	76000	0	0	7600		
7601	0	7	9770	0	1	76010	0	0	7601		
7602	0	7	9750	0	1	76020	0	0	7602		
7603	0	7	9745	0	1	76020	0	0	7603		
7700	0	7	9740	0	7	77000	0	0	7700		
7701	0	7	9730	0	50	77010	0	0	7701		
7702	0	7	9720	0	4	77020	0	0	7702		
8001	0	91	1000	0	1	702000	0	0	8001		
8002	0	91	999	0	1	702001	0	0	8002		
8003	0	91	998	0	1	702002	0	0	8003		
8004	0	91	997	0	1	702003	0	0	8004		
8005	0	91	1000	0	1	702004	0	0	8005		
8006	0	91	999	0	1	702005	0	0	8006		
8007	0	91	998	0	7	702006	0	0	8007		
8008	0	91	997	0	2	702007	0	0	8008		
8009	0	91	996	0	1	702008	0	0	8009		
8010	0	91	1001	0	1	702009	0	0	8010		
8011	0	91	997	0	20	702010	0	0	8011		
8012	0	91	999	0	1	702011	0	0	8012		
8013	0	91	1000	0	1	702012	0	0	8013		
8014	0	91	996	0	3	702013	0	0	8014		
8015	0	91	995	0	1	702014	0	0	8015		
8016	0	91	998	0	3	702015	0	0	8016		
8017	0	91	1000	0	1	702016	0	0	8017		
8018	0	91	999	0	1	702017	0	0	8018		
8019	0	91	998	0	1	702018	0	0	8019		
8020	0	91	997	0	1	702019	0	0	8020		
8021	0	91	996	0	2	702020	0	0	8021		
8022	0	91	1001	0	5	702021	0	0	8022		
8023	0	91	1000	0	1	702022	0	0	8023		
8024	0	91	999	0	1	702023	0	0	8024		
8025	0	91	998	0	1	702024	0	0	8025		
8026	0	91	997	0	1	702025	0	0	8026		
8027	0	91	996	0	3	702026	0	0	8027		
8028	0	91	1001	0	7	702027	0	0	8028		
8029	0	91	1000	0	60	702028	0	0	8029		
8030	0	91	999	0	2	702029	0	0	8030		
8031	0	91	998	0	1	702030	0	0	8031		
8032	0	91	997	0	1	702031	0	0	8032		
8033	0	91	996	0	2	702032	0	0	8033		
8034	0	91	1001	0	8	702033	0	0	8034		
8035	0	91	970	0	70	702034	0	0	8035		
8036	0	91	969	0	1	702035	0	0	8036		
8037	0	91	968	0	1	702036	0	0	8037		
8038	0	91	967	0	1	702037	0	0	8038		
8039	0	91	966	0	1	702038	0	0	8039		
8040	0	91	965	0	80	702039	0	0	8040		
8041	0	91	964	0	1	702040	0	0	8041		
8042	0	91	963	0	3	702041	0	0	8042		
8043	0	91	962	0	1	702042	0	0	8043		
8044	0	91	961	0	1	702043	0	0	8044		
30001	1001	3	9910	0	1	3000100	0	0	30001	2020/2/7 5:00	2025/1/13 7:00
30002	1001	3	9900	0	2	3000200	0	0	30002	2020/2/7 5:00	2025/1/13 7:00
30003	1001	3	9890	0	3	3000300	0	0	30003	2020/2/7 5:00	2025/1/13 7:00
30004	1001	3	9880	0	4	3000400	0	0	30004	2020/2/7 5:00	2025/1/13 7:00
30005	1001	3	9870	0	5	3000500	0	0	30005	2020/2/7 5:00	2025/1/13 7:00
30006	1001	3	9860	0	6	3000600	0	0	30006	2020/2/7 5:00	2025/1/13 7:00
30007	1001	3	9850	0	7	3000700	0	0	30007	2020/2/7 5:00	2025/1/13 7:00
30008	1001	3	9840	0	8	3000800	0	0	30008	2020/2/7 5:00	2025/1/13 7:00
30009	1001	3	9830	0	9	3000900	0	0	30009	2020/2/7 5:00	2025/1/13 7:00
30010	1001	3	9820	0	10	3001000	0	0	30010	2020/2/7 5:00	2025/1/13 7:00
30011	1001	3	9810	0	200000	3001100	0	0	30011	2020/2/7 5:00	2025/1/13 7:00
30012	1001	3	9800	0	400000	3001200	0	0	30012	2020/2/7 5:00	2025/1/13 7:00
30013	0	3	9710	0	1	3001300	0	0	30013	2020/2/7 5:00	2025/1/13 7:00
30014	0	3	9700	0	2	3001400	0	0	30014	2020/2/7 5:00	2025/1/13 7:00
30015	0	3	9690	0	3	3001500	0	0	30015	2020/2/7 5:00	2025/1/13 7:00
30016	0	3	9680	0	4	3001600	0	0	30016	2020/2/7 5:00	2025/1/13 7:00
30017	0	3	9670	0	5	3001700	0	0	30017	2020/2/7 5:00	2025/1/13 7:00
30018	0	3	9660	0	6	3001800	0	0	30018	2020/2/7 5:00	2025/1/13 7:00
30019	0	3	9650	0	100000	3001900	0	0	30019	2020/2/7 5:00	2025/1/13 7:00
30020	0	3	9640	0	7	3002000	0	0	30020	2020/2/7 5:00	2025/1/13 7:00
30021	0	3	9630	0	8	3002100	0	0	30021	2020/2/7 5:00	2025/1/13 7:00
30022	0	3	9620	0	9	3002200	0	0	30022	2020/2/7 5:00	2025/1/13 7:00
30023	0	3	9610	0	10	3002300	0	0	30023	2020/2/7 5:00	2025/1/13 7:00
30024	0	3	9600	0	11	3002400	0	0	30024	2020/2/7 5:00	2025/1/13 7:00
30025	0	3	9590	0	12	3002500	0	0	30025	2020/2/7 5:00	2025/1/13 7:00
30026	0	3	9580	0	200000	3002600	0	0	30026	2020/2/7 5:00	2025/1/13 7:00
30027	1001	3	9790	0	1	3002700	0	0	30001	2025/1/13 7:00	2025/2/24 7:00
30028	1001	3	9780	0	2	3002800	0	0	30002	2025/1/13 7:00	2025/2/24 7:00
30029	1001	3	9770	0	3	3002900	0	0	30003	2025/1/13 7:00	2025/2/24 7:00
30030	1001	3	9760	0	4	3003000	0	0	30004	2025/1/13 7:00	2025/2/24 7:00
30031	1001	3	9750	0	5	3003100	0	0	30005	2025/1/13 7:00	2025/2/24 7:00
30032	1001	3	9740	0	6	3003200	0	0	30006	2025/1/13 7:00	2025/2/24 7:00
30033	1001	3	9730	0	200000	3003300	0	0	30011	2025/1/13 7:00	2025/2/24 7:00
30034	1001	3	9720	0	400000	3003400	0	0	30012	2025/1/13 7:00	2025/2/24 7:00
30035	1002	3	9710	0	1	3003500	0	0	30013	2024/2/5 5:00	2025/2/24 7:00
30036	1002	3	9700	0	2	3003600	0	0	30014	2024/2/5 5:00	2025/2/24 7:00
30037	1002	3	9690	0	100000	3003700	0	0	30019	2024/2/5 5:00	2025/2/24 7:00
30038	1002	3	9680	0	200000	3003800	0	0	30026	2024/2/5 5:00	2025/2/24 7:00
30039	1001	3	9790	0	1	3003900	0	0	30001	2026/3/23 5:00	
30040	1001	3	9780	0	2	3004000	0	0	30002	2026/3/23 5:00	
30041	1001	3	9770	0	3	3004100	0	0	30003	2026/3/23 5:00	
30042	1001	3	9760	0	4	3004200	0	0	30004	2026/3/23 5:00	
30043	1001	3	9750	0	5	3004300	0	0	30005	2026/3/23 5:00	
30044	1001	3	9740	0	6	3004400	0	0	30006	2026/3/23 5:00	
30045	1001	3	9730	0	200000	3004500	0	0	30011	2026/3/23 5:00	
30046	1001	3	9720	0	400000	3004600	0	0	30012	2026/3/23 5:00	
30047	1002	3	9710	0	1	3004700	0	0	30013	2026/3/23 5:00	
30048	1002	3	9700	0	2	3004800	0	0	30014	2026/3/23 5:00	
30049	1002	3	9690	0	100000	3004900	0	0	30019	2026/3/23 5:00	
30050	1002	3	9680	0	200000	3005000	0	0	30026	2026/3/23 5:00	
50000	0	5	9970	0	1	50000	0	0	50000		
50001	0	5	9960	0	1	50001	0	0	50001		
50002	0	5	9950	0	1	50002	0	0	50002		
50003	0	5	9940	0	1	50003	0	0	50003		
50004	0	5	9930	0	1	50004	0	0	50004		
50005	0	5	9920	0	1	50005	0	0	50005		
50006	0	5	9910	0	2	50006	0	0	50006		
50007	0	5	9900	0	3	50007	0	0	50007		
50008	0	5	9890	0	4	50008	0	0	50008		
50009	0	5	9880	0	5	50009	0	0	50009		
50010	0	5	9870	0	6	50010	0	0	50010		
50011	0	5	9860	0	7	50011	0	0	50011		
50012	0	5	9850	0	8	50012	0	0	50012		
50013	0	5	9840	0	9	50013	0	0	50013		
50014	0	5	9830	0	10	50014	0	0	50014		
50015	0	5	9820	0	11	50015	0	0	50015		
50016	0	5	9810	0	12	50016	0	0	50016		
50017	0	5	9800	0	13	50017	0	0	50017		
50018	0	5	9790	0	14	50018	0	0	50018		
50019	0	5	9780	0	15	50019	0	0	50019		
50020	0	5	12000	0	10	50020	0	0	50020		
50021	0	5	11900	0	20	50021	0	0	50021		
50022	0	5	11800	0	30	50022	0	0	50022		
50023	0	5	11700	0	35	50023	0	0	50023		
50024	0	5	11600	0	40	50024	0	0	50024		
50025	0	5	11500	0	45	50025	0	0	50025		
50026	0	5	11400	0	50	50026	0	0	50026		
50027	0	5	11300	0	55	50027	0	0	50027		
50028	0	5	11200	0	60	50028	0	0	50028		
50029	0	5	11100	0	65	50029	0	0	50029		
50030	0	5	11000	0	70	50030	0	0	50030		
50031	0	5	10900	0	75	50031	0	0	50031		
50032	0	5	10800	0	80	50032	0	0	50032		
50033	0	5	10700	0	85	50033	0	0	50033		
50034	0	5	10600	0	90	50034	0	0	50034		
50035	0	5	10500	0	95	50035	0	0	50035		
50036	0	5	10400	0	100	50036	0	0	50036		
50037	0	5	10300	0	105	50037	0	0	50037		
50038	0	5	10200	0	110	50038	0	0	50038		
50039	0	5	10100	0	115	50039	0	0	50039		
50040	0	5	10000	0	120	50040	0	0	50040		
50041	0	5	10810	0	61	50041	0	0	50041		
50042	0	5	10820	0	61	50042	0	0	50042		
50043	0	5	15000	0	1	50043	0	0	50043		
50044	0	5	14990	0	1	50044	0	0	50044		
50045	0	5	14980	0	1	50045	0	0	50045		
50046	0	5	9500	0	500	50046	0	0	50046		
50047	0	5	9490	0	800	50047	0	0	50047		
50048	0	5	9480	0	1200	50048	0	0	50048		
50049	0	5	9470	0	1600	50049	0	0	50049		
50050	0	5	9460	0	2000	50050	0	0	50050		
50051	0	5	9450	0	3000	50051	0	0	50051		
50052	0	5	9440	0	4000	50052	0	0	50052		
50053	0	5	9430	0	5000	50053	0	0	50053		
