Id	TaskId[1]	TaskId[2]	TaskId[3]	TaskId[4]	TaskId[5]	TaskId[6]	TaskId[7]	TaskId[8]	TaskId[9]	TaskId[10]	TaskId[11]	TaskId[12]	TaskId[13]	TaskId[14]	TaskId[15]	TaskId[16]	TaskId[17]	TaskId[18]	TaskId[19]	TaskId[20]	TaskId[21]	TaskId[22]	TaskId[23]	TaskId[24]	TaskId[25]	TaskId[26]	TaskId[27]	TaskId[28]	TaskId[29]	TaskId[30]	TaskId[31]	TaskId[32]	TaskId[33]	TaskId[34]	TaskId[35]	TaskId[36]	TaskId[37]	TaskId[38]	TaskId[39]	TaskId[40]	TaskId[41]	TaskId[42]	TaskId[43]	TaskId[44]	TaskId[45]	TaskId[46]	TaskId[47]	TaskId[48]	TaskId[49]	TaskId[50]	TaskId[51]	TaskId[52]	TaskId[53]	TaskId[54]	TaskId[55]	TaskId[56]	DayTaskId[1]	DayTaskId[2]	DayTaskId[3]	DayTaskId[4]	DayTaskId[5]	DayTaskId[6]	DayTaskId[7]	TimeId	PlayerCondition[1]	Duration	WeekTaskId[1]	WeekTaskId[2]	WeekTaskId[3]	WeekTaskId[4]	WeekTaskId[5]	ReissueMailId
1	11001	11002	11003	11004	11005	11006	11007	11008	11009	11010	11011	11013	11014	11015	11016	11020	11021	11022	11023	11024	11025	11026	11027	11028	11029	11030	11033	11034	11035																																											
2	11069	11070	11073	11075																																																																				
3	11037	11038	11049	11050	11051	11052	11053	11054	11055	11056	11057	11058	11059	11060	11061	11062	11063	11064	11065	11066																																																				
4	11101	11102	11103	11104	11105	11106	11107	11108	11109	11110	11111	11112	11113	11114																																																										
5	11201	11202	11203	11204	11205	11206	11207	11208	11209	11210	11211	11212	11213	11214	11215	11216	11217	11218	11219	11220	11221	11222	11223	11224																																																
6	11225	11226	11227	11228	11229	11230	11231	11232	11233	11234	11235	11236	11237	11238	11239	11240																																																								
7	11401	11402	11403	11404	11405	11406	11407	11408	11409	11410	11411	11412	11413	11414	11415	11416	11417	11418	11419	11420																																																				
8	11421	11422	11423	11424	11425	11426	11427	11428	11429	11430	11431	11432	11433																																																											
9	11601	11602	11603	11604	11605	11606	11607	11608	11609	11610	11611	11612	11613	11614	11615	11616	11617	11618	11619	11620																																																				
10	11621	11622	11623	11624	11625	11626	11627	11628	11629	11630	11631	11632	11633	11634	11635																																																									
11																																																									33000	33001	33002	33003												
12	34000	34001	34002	34003	34004	34005	34006	34007	34008	34009	34010	34011	34012	34013	34014	34015	34016	34017	34018	34019																																																				
