Id	ChapterId	NodeId	IsRandom	Type[1]	Type[2]	MaxRandom	LvExpect	LvWeight	SkillExpect	SkillWeight	DecorationExpect	DecorationWeight	FavorExpect	FavorWeight	Param[1]	Param[2]
1	1	1	1				20.0		3.0	4500	1.0	600		300		
2	1	1		1											102	
3	1	1	1				20.0		3.0	4500	1.0	600		300		
4	1	1	1				20.0		3.0	4500	1.0	600		300		
5	1	1	1				20.0		3.0	4500	1.0	600		300		
6	1	1	1				20.0		3.0	4500	1.0	600		300		
7	1	1		1											101	
8	1	1		2			20.0		3.0	4500	1.0	600		300	1	
9	1	1		3		1	20.0		4.0	4500	1.0	600		300	15	
10	1	1		1											103	
11	2	2		1											104	
12	2	2		1											105	
13	2	2		6											ZX02406BA	
14	2	2		1											107	
15	2	2		6											ZX02411BA	
16	2	2	1				40.0		7.0	4500	1.0	600	1.0	300		
17	2	2		6											ZX02409BA	
18	2	2	1				40.0		7.0	4500	1.0	600	1.0	300		
19	2	2	1				40.0		7.0	4500	1.0	600	1.0	300		
20	2	2	1				40.0		7.0	4500	1.0	600	1.0	300		
21	2	2	1				40.0		7.0	4500	1.0	600	1.0	300		
22	2	2	1				40.0		7.0	4500	1.0	600	1.0	300		
23	2	2		2			40.0		7.0	4500	1.0	600	1.0	300	2	
24	2	2		6											ZX02409EA	
25	2	2		3		1	40.0		8.0	4500	1.0	600	1.0	300	30	
26	3	3		1											108	
27	3	3		6											ZX02410BA	
28	3	3	1				60.0		10.0	4500	1.0	600	1.0	300		
29	3	3	1				60.0		10.0	4500	1.0	600	1.0	300		
30	3	3	1				60.0		10.0	4500	1.0	600	1.0	300		
31	3	3	1				60.0		10.0	4500	1.0	600	1.0	300		
32	3	3	1				60.0		10.0	4500	1.0	600	1.0	300		
33	3	3		2			60.0		10.0	4500	1.0	600	1.0	300	3	
34	3	3		3		1	60.0		11.0	4500	1.0	600	1.0	300	44	
35	3	3		6											ZX02401BA	
36	3	3		5			60.0		11.0	4500	1.0	600	1.0	300	45	
37	4	1	1				20.0		3.0	4500	1.0	600		300		
38	4	1	1				20.0		3.0	4500	1.0	600		300		
39	4	1		1											201	
40	4	1	1				20.0		3.0	4500	1.0	600		300		
41	4	1	1				20.0		3.0	4500	1.0	600		300		
42	4	1		1											202	
43	4	1	1				20.0		3.0	4500	1.0	600		300		
44	4	1		2			20.0		3.0	4500	1.0	600		300	1	
45	4	1		3		1	20.0		4.0	4500	1.0	600		300	60	
46	4	1		1											203	
47	5	2		1											204	
48	5	2		1											205	
49	5	2		6											ZX02407BB	
50	5	2		1											207	
51	5	2		6											ZX02411BB	
52	5	2	1				40.0		7.0	4500	1.0	600	1.0	300		
53	5	2	1				40.0		7.0	4500	1.0	600	1.0	300		
54	5	2	1				40.0		7.0	4500	1.0	600	1.0	300		
55	5	2	1				40.0		7.0	4500	1.0	600	1.0	300		
56	5	2	1				40.0		7.0	4500	1.0	600	1.0	300		
57	5	2	1				40.0		7.0	4500	1.0	600	1.0	300		
58	5	2		2			40.0		7.0	4500	1.0	600	1.0	300	2	
59	5	2		6											ZX02411EB	
60	5	2		3		1	40.0		8.0	4500	1.0	600	1.0	300	75	
61	6	3		1											208	
62	6	3	1				60.0		10.0	4500	1.0	600	1.0	300		
63	6	3	1				60.0		10.0	4500	1.0	600	1.0	300		
64	6	3	1				60.0		10.0	4500	1.0	600	1.0	300		
65	6	3	1				60.0		10.0	4500	1.0	600	1.0	300		
66	6	3	1				60.0		10.0	4500	1.0	600	1.0	300		
67	6	3		2			60.0		10.0	4500	1.0	600	1.0	300	3	
68	6	3		3		1	60.0		11.0	4500	1.0	600	1.0	300	89	
69	6	3		6											ZX02413BB	
70	6	3		5			60.0		11.0	4500	1.0	600	1.0	300	90	
71	7	4		1											210	
72	7	4		1											211	
73	7	4	1				80.0		13.0	4500	1.0	600	1.0	300		
74	7	4	1				80.0		13.0	4500	1.0	600	1.0	300		
75	7	4	1				80.0		13.0	4500	1.0	600	1.0	300		
76	7	4	1				80.0		13.0	4500	1.0	600	1.0	300		
77	7	4	1				80.0		13.0	4500	1.0	600	1.0	300		
78	7	4		2			80.0		13.0	4500	1.0	600	1.0	300	4	
79	7	4		3		1	80.0		14.0	4500	1.0	600	1.0	300	102	
80	8	5		1											213	
81	8	5	1				80.0		15.0	4500	1.0	600	1.0	300		
82	8	5	1				80.0		15.0	4500	1.0	600	1.0	300		
83	8	5	1				80.0		15.0	4500	1.0	600	1.0	300		
84	8	5		2			80.0		15.0	4500	1.0	600	1.0	300	5	
85	8	5		3		1	80.0		16.0	4500	1.0	600	1.0	300	110	
86	8	5		6											ZX02401BB	
87	8	5		5			80.0		16.0	4500	1.0	600	1.0	300	111	
88	9	1	1				20.0		3.0	4500	1.0	600		300		
89	9	1	1				20.0		3.0	4500	1.0	600		300		
90	9	1		1											301	
91	9	1	1				20.0		3.0	4500	1.0	600		300		
92	9	1	1				20.0		3.0	4500	1.0	600		300		
93	9	1	1				20.0		3.0	4500	1.0	600		300		
94	9	1		1											302	
95	9	1		2			20.0		3.0	4500	1.0	600		300	1	
96	9	1		3		1	20.0		4.0	4500	1.0	600		300	126	
97	9	1		1											303	
98	10	2		1											304	
99	10	2		1											314	
100	10	2		6											ZX02407BC	
101	10	2		1											305	
102	10	2		1											306	
103	10	2		6											ZX02419BC	
104	10	2	1				40.0		7.0	4500	1.0	600	1.0	300		
105	10	2	1				40.0		7.0	4500	1.0	600	1.0	300		
106	10	2	1				40.0		7.0	4500	1.0	600	1.0	300		
107	10	2	1				40.0		7.0	4500	1.0	600	1.0	300		
108	10	2	1				40.0		7.0	4500	1.0	600	1.0	300		
109	10	2	1				40.0		7.0	4500	1.0	600	1.0	300		
110	10	2		2			40.0		7.0	4500	1.0	600	1.0	300	2	
111	10	2		6											ZX02419EC	
112	10	2		3		1	40.0		8.0	4500	1.0	600	1.0	300	141	
113	11	3		1											307	
114	11	3	1				60.0		10.0	4500	1.0	600	1.0	300		
115	11	3	1				60.0		10.0	4500	1.0	600	1.0	300		
116	11	3	1				60.0		10.0	4500	1.0	600	1.0	300		
117	11	3	1				60.0		10.0	4500	1.0	600	1.0	300		
118	11	3	1				60.0		10.0	4500	1.0	600	1.0	300		
119	11	3		2			60.0		10.0	4500	1.0	600	1.0	300	3	
120	11	3		3		1	60.0		11.0	4500	1.0	600	1.0	300	155	
121	11	3		6											ZX02414BC	
122	11	3		5			60.0		11.0	4500	1.0	600	1.0	300	156	
123	12	4		1											308	
124	12	4		1											309	
125	12	4	1				80.0		13.0	4500	1.0	600	1.0	300		
126	12	4	1				80.0		13.0	4500	1.0	600	1.0	300		
127	12	4	1				80.0		13.0	4500	1.0	600	1.0	300		
128	12	4	1				80.0		13.0	4500	1.0	600	1.0	300		
129	12	4	1				80.0		13.0	4500	1.0	600	1.0	300		
130	12	4		2			80.0		13.0	4500	1.0	600	1.0	300	4	
131	12	4		3		1	80.0		14.0	4500	1.0	600	1.0	300	168	
132	13	5		1											310	
133	13	5		1											311	
134	13	5		1											312	
135	13	5	1				80.0		15.0	4500	1.0	600	1.0	300		
136	13	5	1				80.0		15.0	4500	1.0	600	1.0	300		
137	13	5	1				80.0		15.0	4500	1.0	600	1.0	300		
138	13	5		2			80.0		15.0	4500	1.0	600	1.0	300	5	
139	13	5		3		1	80.0		16.0	4500	1.0	600	1.0	300	176	
140	13	5		6											ZX02401BC	
141	13	5		5			80.0		16.0	4500	1.0	600	1.0	300	177	
142	14	6		1											313	
143	14	6	1				80.0		17.0	4500	1.0	600	1.0	300		
144	14	6	1				80.0		17.0	4500	1.0	600	1.0	300		
145	14	6	1				80.0		17.0	4500	1.0	600	1.0	300		
146	14	6		2			80.0		17.0	4500	1.0	600	1.0	300	6	
147	14	6		3		1	80.0		18.0	4500	1.0	600	1.0	300	185	
148	14	6		1											315	
149	14	6		5			80.0		18.0	4500	1.0	600	1.0	300	186	
150	15	1	1				20.0		3.0	4500	1.0	600		300		
151	15	1	1				20.0		3.0	4500	1.0	600		300		
152	15	1		1											401	
153	15	1		1											402	
154	15	1	1				20.0		3.0	4500	1.0	600		300		
155	15	1	1				20.0		3.0	4500	1.0	600		300		
156	15	1	1				20.0		3.0	4500	1.0	600		300		
157	15	1		2			20.0		3.0	4500	1.0	600		300	1	
158	15	1		3		1	20.0		4.0	4500	1.0	600		300	201	
159	15	1		1											403	
160	16	2		1											404	
161	16	2		1											406	
162	16	2		6											ZX02419BD	
163	16	2	1				40.0		7.0	4500	1.0	600	1.0	300		
164	16	2	1				40.0		7.0	4500	1.0	600	1.0	300		
165	16	2	1				40.0		7.0	4500	1.0	600	1.0	300		
166	16	2	1				40.0		7.0	4500	1.0	600	1.0	300		
167	16	2	1				40.0		7.0	4500	1.0	600	1.0	300		
168	16	2	1				40.0		7.0	4500	1.0	600	1.0	300		
169	16	2		2			40.0		7.0	4500	1.0	600	1.0	300	2	
170	16	2		6											ZX02419ED	
171	16	2		3		1	40.0		8.0	4500	1.0	600	1.0	300	216	
172	17	3		1											407	
173	17	3	1				60.0		10.0	4500	1.0	600	1.0	300		
174	17	3	1				60.0		10.0	4500	1.0	600	1.0	300		
175	17	3	1				60.0		10.0	4500	1.0	600	1.0	300		
176	17	3	1				60.0		10.0	4500	1.0	600	1.0	300		
177	17	3	1				60.0		10.0	4500	1.0	600	1.0	300		
178	17	3		2			60.0		10.0	4500	1.0	600	1.0	300	3	
179	17	3		3		1	60.0		11.0	4500	1.0	600	1.0	300	230	
180	17	3		6											ZX02414BD	
181	17	3		5			60.0		11.0	4500	1.0	600	1.0	300	231	
182	18	4		1											408	
183	18	4	1				80.0		13.0	4500	1.0	600	1.0	300		
184	18	4	1				80.0		13.0	4500	1.0	600	1.0	300		
185	18	4	1				80.0		13.0	4500	1.0	600	1.0	300		
186	18	4	1				80.0		13.0	4500	1.0	600	1.0	300		
187	18	4	1				80.0		13.0	4500	1.0	600	1.0	300		
188	18	4		2			80.0		13.0	4500	1.0	600	1.0	300	4	
189	18	4		3		1	80.0		14.0	4500	1.0	600	1.0	300	243	
190	19	5		1											410	
191	19	5	1				80.0		15.0	4500	1.0	600	1.0	300		
192	19	5	1				80.0		15.0	4500	1.0	600	1.0	300		
193	19	5	1				80.0		15.0	4500	1.0	600	1.0	300		
194	19	5		2			80.0		15.0	4500	1.0	600	1.0	300	5	
195	19	5		3		1	80.0		16.0	4500	1.0	600	1.0	300	251	
196	19	5		6											ZX02401BD	
197	19	5		5			80.0		16.0	4500	1.0	600	1.0	300	252	
198	20	6		1											413	
199	20	6	1				80.0		17.0	4500	1.0	600	1.0	300		
200	20	6	1				80.0		17.0	4500	1.0	600	1.0	300		
201	20	6	1				80.0		17.0	4500	1.0	600	1.0	300		
202	20	6		2			80.0		17.0	4500	1.0	600	1.0	300	6	
203	20	6		3		1	80.0		18.0	4500	1.0	600	1.0	300	260	
204	20	6		1											415	
205	20	6		6											ZX02420BD	
206	20	6		5			80.0		18.0	4500	1.0	600	1.0	300	261	
207	21	1	1				20.0		3.0	4500	1.0	600		300		
208	21	1	1				20.0		3.0	4500	1.0	600		300		
209	21	1		1											501	
210	21	1		1											502	
211	21	1	1				20.0		3.0	4500	1.0	600		300		
212	21	1	1				20.0		3.0	4500	1.0	600		300		
213	21	1	1				20.0		3.0	4500	1.0	600		300		
214	21	1		2			20.0		3.0	4500	1.0	600		300	1	
215	21	1		3		1	20.0		4.0	4500	1.0	600		300	276	
216	21	1		1											503	
217	22	2		1											504	
218	22	2		1											506	
219	22	2		6											ZX02419BE	
220	22	2	1				40.0		7.0	4500	1.0	600	1.0	300		
221	22	2	1				40.0		7.0	4500	1.0	600	1.0	300		
222	22	2	1				40.0		7.0	4500	1.0	600	1.0	300		
223	22	2	1				40.0		7.0	4500	1.0	600	1.0	300		
224	22	2	1				40.0		7.0	4500	1.0	600	1.0	300		
225	22	2	1				40.0		7.0	4500	1.0	600	1.0	300		
226	22	2		2			40.0		7.0	4500	1.0	600	1.0	300	2	
227	22	2		6											ZX02419EE	
228	22	2		3		1	40.0		8.0	4500	1.0	600	1.0	300	291	
229	23	3		1											507	
230	23	3	1				60.0		10.0	4500	1.0	600	1.0	300		
231	23	3	1				60.0		10.0	4500	1.0	600	1.0	300		
232	23	3	1				60.0		10.0	4500	1.0	600	1.0	300		
233	23	3	1				60.0		10.0	4500	1.0	600	1.0	300		
234	23	3	1				60.0		10.0	4500	1.0	600	1.0	300		
