Id	Type	Price	DiscountPrice	SellPrice	Quality	BuffType	CharacterId[1]	CharacterId[2]	Name	IconRes	Info	Desc	DescDigit[1]	DescDigit[2]	DescDigit[3]	DescDigit[4]	EvolveDescDigit[1]	EvolveDescDigit[2]	EvolveDescDigit[3]	EvolveDescDigit[4]	AddDesc	AddDigit[1]	AddDigit[2]	AddDigit[3]	AddDigit[4]	Tags[1]	Tags[2]	Keywords[1]	Keywords[2]	IsShow	Order
10001	1				1		3		Charkra Strike	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon001.png		Charges and draws the gun to fire, dealing {0}% <color=#f2c870>Holy</color> DMG to the target. Meanwhile, summons a drone, dealing {1}% <color=#f2c870>Holy</color> DMG every second for {2}s.	130	100	3											3				true	1
10002	1				1		3		Delayed Blast	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon002.png		Rushes to the target and fires, dealing {0}% <color=#f2c870>Holy</color> DMG. After {1}s, summons a drone that deals {3}% <color=#f2c870>Holy</color> DMG to the target {2} times.	70	2	2	135										3				true	2
10003	1				1		3		Radiant Fusillade	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon003.png		Throws explosives at the target and fires, dealing {0}% <color=#f2c870>Holy</color> DMG. Summons a drone, dealing {1}% <color=#f2c870>Holy</color> DMG every second for {2}s.	120	80	3											3				true	3
10004	1				1		3		Blinding Oblivion	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon004.png		Fires a powerful bullet at the target, dealing {0}% <color=#77baf0>Spirit</color> DMG.	275													2				true	4
10005	1				1		3		Storm Firing	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon005.png		Fires rapidly at the target, dealing {0}% <color=#77baf0>Spirit</color> DMG.	480													2				true	5
10006	1				1		3		Spirit Blast	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon006.png		Throws explosives at the target and detonates, dealing {0}% <color=#77baf0>Spirit</color> DMG.	300													2				true	6
10007	1				1		3		Lightbreak Shield	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon007.png		Throws out the pistol and gains Shield equal to {0}% of <color=#ecd7bd>Max HP</color>.	9.6													4		4		true	7
10008	1				1		3		Assault Defense	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon008.png		Sprints forward and deals {0}% <color=#ecd7bd>Physical</color> DMG to the target. During the next {1}s, gains Shield equal to {2}% of <color=#ecd7bd>Max HP</color> every second.	120	5	2.2											4		4		true	8
10009	1				1		3		Assault Reform	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon009.png		Sprints forward and gains Shield equal to {0}% of <color=#ecd7bd>Max HP</color>. Meanwhile, summons a drone, dealing {2}% <color=#ecd7bd>Physical</color> DMG {1} time.	8.5	1	75											4		4		true	9
10010	1				1		3		Dodge Snipe	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon010.png		Steps back and summons a clone to fire at the target, dealing {0}% <color=#ecd7bd>Physical</color> DMG. During the next {1}s, restores {2}% of <color=#ecd7bd>Max HP</color> every second.	70	3	2.8											5		5		true	10
10011	1				1		3		Dash Snipe	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon011.png		Sprints forward and summons a clone to fire at the target, dealing {0}% <color=#ecd7bd>Physical</color> DMG and restoring {1}% of <color=#ecd7bd>Max HP</color>.	72	8.5												5		5		true	11
10012	1				1		3		Soul Cleansing	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon012.png		Charges and fires once, dealing {0}% <color=#ecd7bd>Physical</color> DMG and restoring HP equal to {1}% of <color=#ecd7bd>Max HP</color>.	145	12												5		5		true	12
10013	1				1		3		Basic Attack	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png																					13
10101	1				1		1		Cremating Pursuit	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon101.png		Rushes to the target, dealing {0}% <color=#f15265>Blood</color> DMG. And summons Blood Rain, dealing {1}% <color=#f15265>Blood</color> DMG every second for {2}s.	35	125	3											1				true	14
10102	1				1		1		Cremating Dodge	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon102.png		Dodges to the side and rushes to the target, dealing {0}% <color=#f15265>Blood</color> DMG. And summons Blood Rain, dealing {1}% <color=#f15265>Blood</color> DMG every second for {2}s.	35	125	3											1				true	15
10103	1				1		1		Cremating Collapse	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon103.png		Leaps to the target, dealing {0}% <color=#f15265>Blood</color> DMG. Then, smashes the ground, dealing {1}% <color=#f15265>Blood</color> DMG, and summons Blood Rain, dealing {2}% <color=#f15265>Blood</color> DMG once every second for {3}s.	14	14	125	3										1				true	16
10104	1				1		1		Fallback Firing	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon104.png		Dodges to the side and fires at the target, dealing {0}% <color=#f2c870>Holy</color> DMG.	380													3				true	17
10105	1				1		1		Pull-in Firing	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon105.png		Leaps up and throws out a grappling hook to quickly pull the target close, dealing {0}% <color=#f2c870>Holy</color> DMG.	420													3				true	18
10106	1				1		1		Holy Barrage	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon106.png		Fires a powerful shot at the target, dealing {0}% <color=#f2c870>Holy</color> DMG. Then, fires once at the target every second, dealing {1}% <color=#f2c870>Holy</color> DMG for {2}s.	155	40	3											3				true	19
10107	1				1		1		Rush Pursuit	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon107.png		Triggers this when attacked. Rushes to the enemy, dealing {0}% <color=#ecd7bd>Physical</color> DMG and gaining Shield equal to {1}% of <color=#ecd7bd>Max HP</color>.	35	10												4		4		true	20
10108	1				1		1		Bullet Pursuit	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon108.png		Triggers this when attacked. Launches {0} counterattacks against the enemy, each dealing {1}% <color=#ecd7bd>Physical</color> DMG. Gains Shield equal to {2}% of <color=#ecd7bd>Max HP</color>.	3	20	9											4		4		true	21
10109	1				1		1		Scalding Storm	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon109.png		Deals {0}% <color=#ecd7bd>Physical</color> DMG to the surroundings and gains Shield equal to {1}% of <color=#ecd7bd>Max HP</color>.	55	9.5												4		4		true	22
10110	1				1		1		Flame Siphon	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon110.png		Rushes to the enemy and performs {0} quick attacks, each dealing {1}% <color=#ecd7bd>Physical</color> DMG and restoring HP equal to {2}% of <color=#ecd7bd>Max HP</color> on hit.	2	45	4.5											5		5		true	23
10111	1				1		1		Blast Strike	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon111.png		Rushes to the enemy and performs multiple slashes, dealing {0}% <color=#ecd7bd>Physical</color> DMG and restoring HP equal to {1}% of <color=#ecd7bd>Max HP</color> on hit.	160	12												5		5		true	24
10112	1				1		1		Hyper Purge	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon112.png		Leaps to the target and smashes, dealing {0}% <color=#ecd7bd>Physical</color> DMG. During the next {1}s, restores HP equal to {2}% of <color=#ecd7bd>Max HP</color> every second.	165	5	2.5											5		5		true	25
10113	1				1		1		Basic Attack	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png																					26
10201	1				1		2		Thunder Cleave	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon201.png		Leaps to the target, dealing {0}% <color=#77baf0>Spirit</color> DMG and inflicting {1} stacks of [Spiritual Wound] on the target.	320	2												2		1		true	27
10202	1				1		2		Lightning Assault	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon202.png		Launches a rapid attack on the target, dealing {0}% <color=#77baf0>Spirit</color> DMG and inflicting {1} stacks of [Spiritual Wound] on the target.	270	3												2		1		true	28
10203	1				1		2		Scorching Thunderbolt	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon203.png		Deals {0}% <color=#77baf0>Spirit</color> DMG to the surroundings and inflicts {1} stacks of [Spiritual Wound] on the target.	120	5												2		1		true	29
10204	1				1		2		Blazing Slash	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon204.png		Leaps to the target, dealing {0}% <color=#f15265>Blood</color> DMG. Then, smashes the ground, dealing {1}% <color=#f15265>Blood</color> DMG to the target again and inflicting {2} stacks of [Bleed].	56	56	3											1		2		true	30
10205	1				1		2		Flame Burst	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon205.png		Attacks the target, dealing {0}% <color=#f15265>Blood</color> DMG, turning the next {1} attacks into <color=#f15265>Blood</color> Attacks, and inflicting {2} stacks of [Bleed] on the target for each Basic Attack.	256	4	1											1		2		true	31
10206	1				1		2		Incinerating Current	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon206.png		Launches an attack, dealing {0}% <color=#f15265>Blood</color> DMG. If the target has [Bleed], deals extra {1}% <color=#f15265>Blood</color> DMG. Otherwise, inflicts {2} stacks of [Bleed].	238	220	1											1		2		true	32
10207	1				1		2		Radiant Protection	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon207.png		Takes a defensive stance with the dual blades, gaining a Shield equal to {0}% of <color=#ecd7bd>Max HP</color> and dealing {1}% <color=#ecd7bd>Physical</color> DMG.	9	96												4		4		true	33
10208	1				1		2		Dazzling Hammer	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon208.png		Deals {0}% <color=#ecd7bd>Physical</color> DMG and gains Shield equal to {1}% of <color=#ecd7bd>Max HP</color>.	68	9.5												4		4		true	34
10209	1				1		2		Abyssal Penalty	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon209.png		Taunts the target and generates a Shield equal to {0}% of <color=#ecd7bd>Max HP</color>.	11													4		4		true	35
10210	1				1		2		Crimson Unsheathed	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon210.png		Launches consecutive attacks on the target, dealing {0}% <color=#ecd7bd>Physical</color> DMG and restoring HP equal to {1}% of <color=#ecd7bd>Max HP</color> for {2}s.	80	6	3											5		5		true	36
10211	1				1		2		Judgmental Strike	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5SkillIcon211.png		Spins and attacks the target, dealing {0}% <color=#ecd7bd>Physical</color> DMG. If the attack hits the target upon landing, restores HP equal to {1}% of <color=#ecd7bd>Max HP</color>.	90	18												5		5		true	37
