Id	Condition[1]	Condition[2]	Condition[3]	Condition[4]	Condition[5]	Condition[6]	Effect[1]	Effect[2]	Effect[3]	Effect[4]	Effect[5]	Effect[6]
40001	1050250	1050251					1001	1002				
40002	0	0	0	0			2	2	2	2		
40003	1050252	1050253					2	3				
40004	0	1050286	1050287				1003	1004	1005			
40005	0						1006					
40006	0	0					1007	1008				
40007	0						1009					
40008	1050257	1050288	1050289	1050262			1	2	3	4		
40009	0	1050263	1050264	1050265	1050266	1050267	1010	1011	1012	1013	1014	1015
40010	0	0	0				1016	1017	1018			
40011	0						1019					
40012	0						1020					
40013	1050268						1021					
40014	0	1050269					1022	1023				
40015	0	0					1024	1084				
40016	1050323	1050323					1025	1026				
40017	0						1027					
40018	0	0	0	0			3	3	3	3		
40019	0	0					1088	1089				
40022	1050290						1041					
40023	0	0					4	4				
40101	0	0					2190	1042				
40102	0						1043					
40103	0						1044					
40104	0						1045					
40105	0						1046					
40106	0						1047					
40107	0						1048					
40108	0	0					1049	1111				
40109	1050291	1050292	1050293	1050294	1050295		1085	1085	1085	1085	1085	
40110	0						1067					
40111	0						1090					
40112	0						1069					
40113	0						1070					
40114	0	0					1071	1072				
40115	0						1073					
40116	1050296	1050297	1050298	1050299	1050300		1086	1086	1086	1086	1086	
40124	0						1081					
40125	1050301	1050302	1050303	1050304	1050305		1087	1087	1087	1087	1087	
40126	0	0					1082	1083				
40201	1050365	1050364					1104	1091				
40202	1050365	1050364					1105	1092				
40203	1050365	1050364					1106	1093				
40204	1050365	1050364					1107	1094				
40205	1050365	1050364					1108	1095				
40206	1050365	1050364					1109	1096				
40207	1050365	1050364					1110	1097				
40208	0						1098					
40209	0						1099					
40210	0						1100					
40211	0						1101					
40212	0						1102					
40213	0						1103					
61011	0	0	1050255				2005	2003	2002			
61012	0	0	1050255				2009	2003	2002			
61013	0	0	1050255				2013	2003	2002			
61014	0	0	1050255				2014	2003	2002			
61015	0	0	1050255				2015	2003	2002			
61021	0	0					2017	2100				
61022	0	0					2018	2100				
61023	0	0					2019	2100				
61024	0	0					2020	2100				
61025	0	0					2021	2100				
61031	0	1050263	1050264	1050265	1050359		2005	2002	2004	2005	2006	
61032	0	1050263	1050264	1050265	1050359		2009	2002	2004	2005	2006	
61033	0	1050263	1050264	1050265	1050359		2023	2002	2004	2005	2006	
61034	0	1050263	1050264	1050265	1050359		2024	2002	2004	2005	2006	
61035	0	1050263	1050264	1050265	1050359		2025	2002	2004	2005	2006	
61041	0	0	0				2008	2101	2107			
61042	0	0	0				2008	2102	2108			
61043	0	0	0				2008	2103	2109			
61044	0	0	0				2008	2104	2110			
61045	0	0	0				2008	2105	2111			
61051	0	0	0				2007	2113	2114			
61052	0	0	0				2011	2113	2115			
61053	0	0	0				2011	2113	2116			
61054	0	0	0				2011	2113	2117			
61055	0	0	0				2011	2113	2118			
61061	0	0					2005	2120				
61062	0	0					2007	2120				
61063	0	0					2007	2121				
61064	0	0					2009	2121				
61065	0	0					2011	2121				
61071	0	0					2005	2122				
61072	0	0					2009	2122				
61073	0	0					2012	2122				
61074	0	0					2029	2122				
61075	0	0					2030	2122				
61081	0	0					4	4				
61082	0	0	0				4	4	4			
61083	0	0	0				4	4	4			
61084	0	0	0	0			4	4	4	4		
61091	0						2123					
61092	0						2124					
61093	0						2125					
61094	0						2126					
61095	0						2127					
61101	0						2128					
61102	0						2129					
61103	0						2130					
61104	0						2131					
61105	0						2132					
61111	0						2133					
61112	0						2134					
61113	0						2135					
61114	0						2136					
61115	0						2137					
61121	0						2138					
61122	0						2139					
61123	0						2140					
61124	0						2141					
61125	0						2142					
61131	0						2143					
61132	0						2144					
61133	0						2145					
61134	0						2146					
61135	0						2147					
61141	0						2148					
61142	0						2149					
61143	0						2150					
61144	0						2151					
61145	0						2152					
61151	0						2153					
61152	0						2154					
61153	0						2155					
61154	0						2156					
61155	0						2157					
61161	0						2158					
61162	0						2159					
61163	0						2160					
61164	0						2161					
61165	0						2162					
61171	0						2163					
61172	0						2164					
61173	0						2165					
61174	0						2166					
61175	0						2167					
61181	0						2005					
61182	0						2010					
61183	0						2032					
61184	0						2033					
61185	0	0					2034	2168				
62011												
62021												
62031												
62041												
62051												
62052												
62053												
62054												
62055												
69011	0	0					2169	1044				
69012	0	0					2170	1044				
69013	0	0					2171	1044				
69014	0	0					2172	1044				
69015	0	0					2173	1044				
69021	0	0					2174	1045				
69022	0	0					2175	1045				
69023	0	0					2176	1045				
69024	0	0					2177	1045				
69025	0	0					2178	1045				
69031	0	0					2179	1046				
69032	0	0					2180	1046				
69033	0	0					2181	1046				
69034	0	0					2182	1046				
69035	0	0					2183	1046				
69041	0	0					2184	1047				
69042	0	0					2185	1047				
69043	0	0					2186	1047				
69044	0	0					2187	1047				
69045	0	0					2188	1047				
69051	0	0					2189	1042				
69052	0	0					2190	1042				
69053	0	0					2191	1042				
69054	0	0					2192	1042				
69055	0	0					2193	1042				
69061	0	0					2194	1043				
69062	0	0					2195	1043				
69063	0	0					2196	1043				
69064	0	0					2197	1043				
69065	0	0					2198	1043				
69071	0	0					2199	1048				
69072	0	0					2200	1048				
69073	0	0					2201	1048				
69074	0	0					2202	1048				
69075	0	0					2203	1048				
69081	0	0					2204	1049				
69082	0	0					2205	1049				
69083	0	0					2206	1049				
69084	0	0					2207	1049				
69085	0	0					2208	1049				
69091	0	0					2004	2209				
69092	0	0					2006	2209				
69093	0	0					2008	2210				
69094	0	0					2010	2210				
69095	0	0					2012	2211				
69101	0	0					2004	2212				
69102	0	0					2006	2212				
69103	0	0					2008	2213				
69104	0	0					2010	2213				
69105	0	0					2012	2214				
69111	0	0					2004	2215				
69112	0	0					2006	2215				
69113	0	0					2008	2216				
69114	0	0					2010	2216				
69115	0	0					2012	2217				
69121	0	0					2004	2218				
69122	0	0					2006	2218				
69123	0	0					2008	2219				
69124	0	0					2010	2219				
69125	0	0					2012	2220				
69131	0	0					2004	2221				
69132	0	0					2006	2221				
69133	0	0					2008	2222				
69134	0	0					2010	2222				
69135	0	0					2012	2223				
69141	0	0					2004	2224				
69142	0	0					2006	2224				
69143	0	0					2008	2225				
69144	0	0					2010	2225				
69145	0	0					2012	2226				
69151	0	0					2004	2227				
69152	0	0					2006	2227				
69153	0	0					2008	2228				
69154	0	0					2010	2228				
69155	0	0					2012	2229				
