Id	CupCount	DefeatCount	EnemyCupCount	EnemyDefeatCount
1		4		2
2		3	1	
3		2		1
4		1		
5				
6	1	4		4
7	1	3	2	
8	1	2	1	1
9	1	1		2
10	1			1
11	2	4	2	2
12	2	3	3	
13	2	2	2	1
14	2	1	1	2
15	2		1	1
16	3	4	4	1
17	3	3	3	2
18	3	2	3	1
19	3	1	2	2
20	3		3	
21	4	4	5	1
22	4	3	4	2
23	4	2	4	1
24	4	1	3	2
25	4		4	
26	5	4	6	1
27	5	3	5	2
28	5	2	5	1
29	5	1	4	2
30	5		5	
31	6	4	7	1
32	6	3	6	2
33	6	2	7	
34	6	1	6	1
35	6		6	
36	7	4	9	
37	7	3	7	2
38	7	2	8	
39	7	1	7	1
40	7		7	
41	8	4	8	3
42	8	3	8	2
43	8	2	9	
44	8	1	8	1
45	8		8	
46	9	4	9	3
47	9	3	8	4
48	9	2	8	3
49	9	1	9	1
50	9		9	
51	10	4	12	
52	10	3	11	1
53	10	2	11	
54	10	1	10	1
55	10		10	
56	11	4	11	3
57	11	3	12	1
58	11	2	12	
59	11	1	11	1
60	11		11	
61	12	4	12	3
62	12	3	11	4
63	12	2	12	2
64	12	1	12	1
65	12		12	
66		4		2
67		3	1	
68		2		1
69		1		
70				
71	1	4		4
72	1	3	2	
73	1	2	1	1
74	1	1		2
75	1			1
76	2	4	2	2
77	2	3	3	
78	2	2	2	1
79	2	1	1	2
80	2		1	1
81	3	4	4	1
82	3	3	3	2
83	3	2	3	1
84	3	1	2	2
85	3		3	
86	4	4	5	1
87	4	3	4	2
88	4	2	4	1
89	4	1	3	2
90	4		4	
91	5	4	6	1
92	5	3	5	2
93	5	2	5	1
94	5	1	4	2
95	5		5	
96	6	4	7	1
97	6	3	6	2
98	6	2	7	
99	6	1	6	1
100	6		6	
101	7	4	9	
102	7	3	7	2
103	7	2	8	
104	7	1	7	1
105	7		7	
106	8	4	8	3
107	8	3	8	2
108	8	2	9	
109	8	1	8	1
110	8		8	
111	9	4	9	3
112	9	3	8	4
113	9	2	8	3
114	9	1	9	1
115	9		9	
116	10	4	12	
117	10	3	11	1
118	10	2	11	
119	10	1	10	1
120	10		10	
121	11	4	11	3
122	11	3	12	1
123	11	2	12	
124	11	1	11	1
125	11		11	
126	12	4	12	3
127	12	3	11	4
128	12	2	12	2
129	12	1	12	1
130	12		12	
131		4		2
132		3	1	
133		2		1
134		1		
135				
136	1	4		4
137	1	3	2	
138	1	2	1	1
139	1	1		2
140	1			1
141	2	4	2	2
142	2	3	3	
143	2	2	2	1
144	2	1	1	2
145	2		1	1
146	3	4	4	1
147	3	3	3	2
148	3	2	3	1
149	3	1	2	2
150	3		3	
151	4	4	5	1
152	4	3	4	2
153	4	2	4	1
154	4	1	3	2
155	4		4	
156	5	4	6	1
157	5	3	5	2
158	5	2	5	1
159	5	1	4	2
160	5		5	
161	6	4	7	1
162	6	3	6	2
163	6	2	7	
164	6	1	6	1
165	6		6	
166	7	4	9	
167	7	3	7	2
168	7	2	8	
169	7	1	7	1
170	7		7	
171	8	4	8	3
172	8	3	8	2
173	8	2	9	
174	8	1	8	1
175	8		8	
176	9	4	9	3
177	9	3	8	4
178	9	2	8	3
179	9	1	9	1
180	9		9	
181	10	4	12	
182	10	3	11	1
183	10	2	11	
184	10	1	10	1
185	10		10	
186	11	4	11	3
187	11	3	12	1
188	11	2	12	
189	11	1	11	1
190	11		11	
191	12	4	12	3
192	12	3	11	4
193	12	2	12	2
194	12	1	12	1
195	12		12	
196		4	1	1
197		3		2
198		2	1	
199		1		
200				
201	1	4	2	1
202	1	3	1	2
203	1	2	2	
204	1	1		2
205	1			1
206	2	4	3	1
207	2	3	2	2
208	2	2	3	
209	2	1	1	2
210	2		1	1
211	3	4	5	
212	3	3	3	2
213	3	2	4	
214	3	1	2	2
215	3		3	
216	4	4	6	
217	4	3	5	1
218	4	2	5	
219	4	1	3	2
220	4		4	
221	5	4	7	
222	5	3	6	1
223	5	2	6	
224	5	1	5	1
225	5		5	
226	6	4	8	
227	6	3	7	1
228	6	2	6	2
229	6	1	6	1
230	6		6	
231	7	4	8	2
232	7	3	8	1
233	7	2	7	2
234	7	1	7	1
235	7		7	
236	8	4	9	2
237	8	3	9	1
238	8	2	8	2
239	8	1	8	1
240	8		8	
241	9	4	9	3
242	9	3	8	4
243	9	2	9	2
244	9	1	9	1
245	9		9	
246	10	4	11	2
247	10	3	11	1
248	10	2	11	
249	10	1	10	1
250	10		10	
251	11	4	12	2
252	11	3	12	1
253	11	2	11	2
254	11	1	11	1
255	11		11	
256	12	4	12	3
257	12	3	12	3
258	12	2	12	2
259	12	1	12	1
260	12		12	
261		4	1	1
262		3		2
263		2	1	
264		1		
265				
266	1	4	2	1
267	1	3	1	2
268	1	2	2	
269	1	1		2
270	1			1
271	2	4	3	1
272	2	3	2	2
273	2	2	3	
274	2	1	1	2
275	2		1	1
276	3	4	5	
277	3	3	3	2
278	3	2	4	
279	3	1	2	2
280	3		3	
281	4	4	6	
282	4	3	5	1
283	4	2	5	
284	4	1	3	2
285	4		4	
286	5	4	7	
287	5	3	6	1
288	5	2	6	
289	5	1	5	1
290	5		5	
291	6	4	8	
292	6	3	7	1
293	6	2	6	2
294	6	1	6	1
295	6		6	
296	7	4	8	2
297	7	3	8	1
298	7	2	7	2
299	7	1	7	1
300	7		7	
301	8	4	9	2
302	8	3	9	1
303	8	2	8	2
304	8	1	8	1
305	8		8	
306	9	4	9	3
307	9	3	8	4
308	9	2	9	2
309	9	1	9	1
310	9		9	
311	10	4	11	2
312	10	3	11	1
313	10	2	11	
314	10	1	10	1
315	10		10	
316	11	4	12	2
317	11	3	12	1
318	11	2	11	2
319	11	1	11	1
320	11		11	
321	12	4	12	3
322	12	3	12	3
323	12	2	12	2
324	12	1	12	1
325	12		12	
326		4	1	1
327		3		2
328		2	1	
329		1		
330				
331	1	4	2	1
332	1	3	1	2
333	1	2	2	
334	1	1		2
335	1			1
336	2	4	3	1
337	2	3	2	2
338	2	2	3	
339	2	1	1	2
340	2		1	1
341	3	4	5	
342	3	3	3	2
343	3	2	4	
344	3	1	2	2
345	3		3	
346	4	4	6	
347	4	3	5	1
348	4	2	5	
349	4	1	3	2
350	4		4	
351	5	4	7	
352	5	3	6	1
353	5	2	6	
354	5	1	5	1
355	5		5	
356	6	4	8	
357	6	3	7	1
358	6	2	6	2
359	6	1	6	1
360	6		6	
361	7	4	8	2
362	7	3	8	1
363	7	2	7	2
364	7	1	7	1
365	7		7	
366	8	4	9	2
367	8	3	9	1
368	8	2	8	2
369	8	1	8	1
370	8		8	
371	9	4	9	3
372	9	3	8	4
373	9	2	9	2
374	9	1	9	1
375	9		9	
376	10	4	11	2
377	10	3	11	1
378	10	2	11	
379	10	1	10	1
380	10		10	
381	11	4	12	2
382	11	3	12	1
383	11	2	11	2
384	11	1	11	1
385	11		11	
386	12	4	12	3
387	12	3	12	3
388	12	2	12	2
389	12	1	12	1
390	12		12	
391		4	1	1
392		3		2
393		2	1	
394		1		
395				
396	1	4	2	1
397	1	3	1	2
398	1	2	2	
399	1	1		2
400	1			1
401	2	4	3	1
402	2	3	2	2
403	2	2	3	
404	2	1	1	2
405	2		2	
406	3	4	5	
407	3	3	3	2
408	3	2	4	
409	3	1	2	2
410	3		3	
411	4	4	6	
412	4	3	5	1
413	4	2	5	
414	4	1	4	1
415	4		4	
416	5	4	7	
417	5	3	6	1
418	5	2	6	
419	5	1	5	1
420	5		5	
421	6	4	8	
422	6	3	7	1
423	6	2	6	2
424	6	1	6	1
425	6		6	
426	7	4	8	2
427	7	3	8	1
428	7	2	7	2
429	7	1	7	1
430	7		7	
431	8	4	9	2
432	8	3	9	1
433	8	2	8	2
434	8	1	8	1
435	8		8	
436	9	4	9	3
437	9	3	8	4
438	9	2	9	2
439	9	1	9	1
440	9		9	
441	10	4	11	2
442	10	3	11	1
443	10	2	10	2
444	10	1	10	1
445	10		10	
446	11	4	12	2
447	11	3	11	3
448	11	2	11	2
449	11	1	11	1
450	11		11	
451	12	4	12	4
452	12	3	12	3
453	12	2	12	2
454	12	1	12	1
455	12		12	
456		4	1	1
457		3		2
458		2	1	
459		1		
460				
461	1	4	2	1
462	1	3	1	2
463	1	2	2	
464	1	1		2
465	1			1
466	2	4	3	1
467	2	3	2	2
468	2	2	3	
469	2	1	1	2
470	2		2	
471	3	4	5	
472	3	3	3	2
473	3	2	4	
474	3	1	2	2
475	3		3	
476	4	4	6	
477	4	3	5	1
478	4	2	5	
479	4	1	4	1
480	4		4	
481	5	4	7	
482	5	3	6	1
483	5	2	6	
484	5	1	5	1
485	5		5	
486	6	4	8	
487	6	3	7	1
488	6	2	6	2
489	6	1	6	1
490	6		6	
491	7	4	8	2
492	7	3	8	1
493	7	2	7	2
494	7	1	7	1
495	7		7	
496	8	4	9	2
497	8	3	9	1
498	8	2	8	2
499	8	1	8	1
500	8		8	
501	9	4	9	3
502	9	3	8	4
503	9	2	9	2
