Id	RankName	Rank	RankStar	Rating	KWin	KLose	RankProtect	IconRes	PvpBonusRating	PvpPerfectRating	KExWin	PvpExBonusRating	PvpExLoseRating
1	Nameless Wanderer	1	1		60		1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon01.png	20	10	60	30	
2	Nameless Wanderer	1	2	200	60		1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon01.png	20	10	60	30	
3	Nameless Wanderer	1	3	400	50	5	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon01.png	20	10	50	30	20
4	Blood-Bathed Ranger	2	1	600	50	5	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon02.png	20	10	50	30	20
5	Blood-Bathed Ranger	2	2	800	50	5	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon02.png	20	10	50	30	20
6	Blood-Bathed Ranger	2	3	1000	50	5	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon02.png	20	10	50	30	20
7	Battle Veteran	3	1	1200	40	10	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon03.png	20	10	40	25	20
8	Battle Veteran	3	2	1400	40	10	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon03.png	20	10	40	25	20
9	Battle Veteran	3	3	1600	40	10	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon03.png	20	10	40	25	20
10	Fearless Adventurer	4	1	1800	35	15	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon04.png	20	10	35	15	20
11	Fearless Adventurer	4	2	2000	35	15	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon04.png	20	10	35	15	20
12	Fearless Adventurer	4	3	2200	35	15	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon04.png	20	10	35	15	20
13	Timeless Legend	5	1	2400	25	15	1	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5RankIcon05.png	20	10	25	15	20
