Id	Bounty	Name	MissionConditionGroup	HideInHandBook
101	101	Arena Coin	1002	
102	102	Tavern VIP Card	1002	
103	103	Lucky Ring	1002	
104	104	Veteran Medal	1002	
105	105	Bandit's Hand	1001	
106	106	Iridescent Conch	1001	
107	107	Dice of Fate	1002	
108	108	Rune Chest: Epic	1001	
109	109	Giant Killer	1002	
110	110	Armor-Piercing Round	1001	
111	111	Blood Rose	1001	
112	112	Berserker's Blood	1001	
113	113	Bloodthirsty Vessel	1001	
114	114	Fate Wheel Pact	1002	
115	115	Blessing Talisman	1001	
116	116	Temporal Rift	1001	
117	117	Acheron Guardian	1001	
118	118	Devil's Contract	1001	
201	201	Bloodwar Crystal	1003	
202	202	Bloodfall Crystal	1003	
203	203	Bloodplague Crystal	1003	
204	204	Bloodhunger Crystal	1003	
205	205	Fate Sigil	1003	
301	301	Bloodwar Crystal	1003	true
302	302	Bloodfall Crystal	1003	true
303	303	Bloodplague Crystal	1003	true
304	304	Bloodhunger Crystal	1003	true
305	305	Bandit's Hand	1004	true
309	309	Giant Killer	1003	true
310	310	Armor-Piercing Round	1004	true
311	311	Blood Rose	1004	true
312	312	Berserker's Blood	1003	true
313	313	Bloodthirsty Vessel	1004	true
314	314	Fate Wheel Pact	1003	true
315	315	Blessing Talisman	1003	true
316	316	Temporal Rift	1004	true
317	317	Acheron Guardian	1004	true
318	318	Devil's Contract	1003	true
