Id	Bounty	Level	Cost	BountyPackShow	BountyItem[1]	BountyItem[2]	BountyItem[3]	BountyItem[4]	BountyItem[5]	BountyItem[6]	BountyItem[7]
1011	101	1	6	61011	61011						
1012	101	2	6	61012	61012						
1013	101	3	6	61013	61013						
1014	101	4	6	61014	61014						
1015	101	5		61015	61015						
1021	102	1	6	61021	61021						
1022	102	2	6	61022	61022						
1023	102	3	6	61023	61023						
1024	102	4	6	61024	61024						
1025	102	5		61025	61025						
1031	103	1	6	61031	61031						
1032	103	2	6	61032	61032						
1033	103	3	6	61033	61033						
1034	103	4	6	61034	61034						
1035	103	5		61035	61035						
1041	104	1	6	61041	61041						
1042	104	2	6	61042	61042						
1043	104	3	6	61043	61043						
1044	104	4	6	61044	61044						
1045	104	5		61045	61045						
1051	105	1	6	61051	61051						
1052	105	2	6	61052	61052						
1053	105	3	6	61053	61053						
1054	105	4	6	61054	61054						
1055	105	5		61055	61055						
1061	106	1	6	61061	61061						
1062	106	2	6	61062	61062						
1063	106	3	6	61063	61063						
1064	106	4	6	61064	61064						
1065	106	5		61065	61065						
1071	107	1	6	61071	61071						
1072	107	2	6	61072	61072						
1073	107	3	6	61073	61073						
1074	107	4	6	61074	61074						
1075	107	5		61075	61075						
1081	108	1	6	61081	61081						
1082	108	2	6	61082	61082						
1083	108	3	6	61083	61083						
1084	108	4		61084	61084						
1091	109	1	6	61091	61091						
1092	109	2	6	61092	61092						
1093	109	3	6	61093	61093						
1094	109	4	6	61094	61094						
1095	109	5		61095	61095						
1101	110	1	6	61101	61101						
1102	110	2	6	61102	61102						
1103	110	3	6	61103	61103						
1104	110	4	6	61104	61104						
1105	110	5		61105	61105						
1111	111	1	6	61111	61111						
1112	111	2	6	61112	61112						
1113	111	3	6	61113	61113						
1114	111	4	6	61114	61114						
1115	111	5		61115	61115						
1121	112	1	6	61121	61121						
1122	112	2	6	61122	61122						
1123	112	3	6	61123	61123						
1124	112	4	6	61124	61124						
1125	112	5		61125	61125						
1131	113	1	6	61131	61131						
1132	113	2	6	61132	61132						
1133	113	3	6	61133	61133						
1134	113	4	6	61134	61134						
1135	113	5		61135	61135						
1141	114	1	6	61141	61141						
1142	114	2	6	61142	61142						
1143	114	3	6	61143	61143						
1144	114	4	6	61144	61144						
1145	114	5		61145	61145						
1151	115	1	6	61151	61151						
1152	115	2	6	61152	61152						
1153	115	3	6	61153	61153						
1154	115	4	6	61154	61154						
1155	115	5		61155	61155						
1161	116	1	6	61161	61161						
1162	116	2	6	61162	61162						
1163	116	3	6	61163	61163						
1164	116	4	6	61164	61164						
1165	116	5		61165	61165						
1171	117	1	6	61171	61171						
1172	117	2	6	61172	61172						
1173	117	3	6	61173	61173						
1174	117	4	6	61174	61174						
1175	117	5		61175	61175						
1181	118	1	6	61181	61181						
1182	118	2	6	61182	61182						
1183	118	3	6	61183	61183						
1184	118	4	6	61184	61184						
1185	118	5		61185	61185						
2011	201	1	6	62011	69011	69021					
2012	201	2	6	62011	69012	69022					
2013	201	3	6	62011	69013	69023					
2014	201	4	6	62011	69014	69024					
2015	201	5		62011	69015	69025					
2021	202	1	6	62021	69031	69041					
2022	202	2	6	62021	69032	69042					
2023	202	3	6	62021	69033	69043					
2024	202	4	6	62021	69034	69044					
2025	202	5		62021	69035	69045					
2031	203	1	6	62031	69051	69061					
2032	203	2	6	62031	69052	69062					
2033	203	3	6	62031	69053	69063					
2034	203	4	6	62031	69054	69064					
2035	203	5		62031	69055	69065					
2041	204	1	6	62041	69071	69081					
2042	204	2	6	62041	69072	69082					
2043	204	3	6	62041	69073	69083					
2044	204	4	6	62041	69074	69084					
2045	204	5		62041	69075	69085					
2051	205	1	6	62051	69091	69101	69111	69121	69131	69141	69151
2052	205	2	6	62052	69092	69102	69112	69122	69132	69142	69152
2053	205	3	6	62053	69093	69103	69113	69123	69133	69143	69153
2054	205	4	6	62054	69094	69104	69114	69124	69134	69144	69154
2055	205	5		62055	69095	69105	69115	69125	69135	69145	69155
3011	301	1	6	62011	69013	69023					
3012	301	2	6	62011	69014	69024					
3013	301	3		62011	69015	69025					
3021	302	1	6	62021	69033	69043					
3022	302	2	6	62021	69034	69044					
3023	302	3		62021	69035	69045					
3031	303	1	6	62031	69053	69063					
3032	303	2	6	62031	69054	69064					
3033	303	3		62031	69055	69065					
3041	304	1	6	62041	69073	69083					
3042	304	2	6	62041	69074	69084					
3043	304	3		62041	69075	69085					
3051	305	1	6	61053	61053						
3052	305	2	6	61054	61054						
3053	305	3		61055	61055						
3091	309	1	6	61093	61093						
3092	309	2	6	61094	61094						
3093	309	3		61095	61095						
3101	310	1	6	61103	61103						
3102	310	2	6	61104	61104						
3103	310	3		61105	61105						
3111	311	1	6	61113	61113						
3112	311	2	6	61114	61114						
3113	311	3		61115	61115						
3121	312	1	6	61123	61123						
3122	312	2	6	61124	61124						
3123	312	3		61125	61125						
3131	313	1	6	61133	61133						
3132	313	2	6	61134	61134						
3133	313	3		61135	61135						
3141	314	1	6	61143	61143						
3142	314	2	6	61144	61144						
3143	314	3		61145	61145						
3151	315	1	6	61153	61153						
3152	315	2	6	61154	61154						
3153	315	3		61155	61155						
3161	316	1	6	61163	61163						
3162	316	2	6	61164	61164						
3163	316	3		61165	61165						
3171	317	1	6	61173	61173						
3172	317	2	6	61174	61174						
3173	317	3		61175	61175						
3181	318	1	6	61183	61183						
3182	318	2	6	61184	61184						
3183	318	3		61185	61185						
