Id	MissionCondition	Desc	ConditionTarget	TriggerCondition	IsConditionAnd	ConditionParams[1]	ConditionParams[2]	ConditionParams[3]	ConditionCompares[1]	ConditionCompares[2]	ConditionCompares[3]	ConditionCompareValues[1]	ConditionCompareValues[2]	ConditionCompareValues[3]	DescShowParam[1]	DescShowParam[2]
1	10001	Spend {ConditionTarget} Coin(s) in the tavern after accepting the commission (excluding Blessing rank-up costs)	10	1												
2	10001	Spend {ConditionTarget} Coin(s) in the tavern after accepting the commission (excluding Blessing rank-up costs)	20	1												
3	10001	Spend {ConditionTarget} Coin(s) in the tavern after accepting the commission (excluding Blessing rank-up costs)	30	1												
4	10001	Spend {ConditionTarget} Coin(s) in the tavern after accepting the commission (excluding Blessing rank-up costs)	40	1												
5	10001	Spend {ConditionTarget} Coin(s) in the tavern after accepting the commission (excluding Blessing rank-up costs)	50	1												
6	10002	Enter the battle with at least {ConditionCompareValues[1]} 4★ Runes equipped	1	2	true	3	4		2	2		2	0			
7	10002	Enter the battle with at least {ConditionCompareValues[1]} 4★ Runes equipped	1	2	true	3	4		2	2		4	0			
8	10002	Enter the battle with at least {ConditionCompareValues[2]} 5★ Runes equipped	1	2	true	3	4		2	2		0	1			
9	10002	Enter the battle with at least {ConditionCompareValues[2]} 5★ Runes equipped	1	2	true	3	4		2	2		0	2			
10	10002	Enter the battle with at least {ConditionCompareValues[2]} 5★ Runes equipped	1	2	true	3	4		2	2		0	3			
11	10003	Purchase {ConditionTarget} Rune(s) in the Shop after accepting the commission	3	3		0			1			2				
12	10003	Purchase {ConditionTarget} Rune(s) in the Shop after accepting the commission	5	3		0			1			2				
13	10003	Purchase {ConditionTarget} Rune(s) in the Shop after accepting the commission	8	3		0			1			2				
14	10003	Purchase {ConditionTarget} Rune(s) in the Shop after accepting the commission	10	3		0			1			2				
15	10003	Purchase {ConditionTarget} Rune(s) in the Shop after accepting the commission	12	3		0			1			2				
16	10004	Purchase {ConditionTarget} Alchemy Hammer(s) in the Shop after accepting the commission	1	3		0			1			6				
17	10004	Purchase {ConditionTarget} Alchemy Hammer(s) in the Shop after accepting the commission	1	3		0			1			6				
18	10004	Purchase {ConditionTarget} Alchemy Hammer(s) in the Shop after accepting the commission	1	3		0			1			6				
19	10004	Purchase {ConditionTarget} Alchemy Hammer(s) in the Shop after accepting the commission	2	3		0			1			6				
20	10004	Purchase {ConditionTarget} Alchemy Hammer(s) in the Shop after accepting the commission	3	3		0			1			6				
21	10005	Unlock {ConditionTarget} Rune slot(s)	4	4												
22	10005	Unlock {ConditionTarget} Rune slot(s)	5	4												
23	10005	Unlock {ConditionTarget} Rune slot(s)	6	4												
24	10005	Unlock {ConditionTarget} Rune slot(s)	7	4												
25	10005	Unlock {ConditionTarget} Rune slot(s)	8	4												
26	10006	Achieve victory {ConditionTarget} time(s) after accepting the commission	1	5												
27	10006	Achieve victory {ConditionTarget} time(s) after accepting the commission	2	5												
28	10006	Achieve victory {ConditionTarget} time(s) after accepting the commission	3	5												
29	10006	Achieve victory {ConditionTarget} time(s) after accepting the commission	4	5												
