Id	Type	Name	Icon	Desc	UseDesc
1	1	Random White Skill	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon31.png		
2	1	Random Green Skill	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon55.png		
3	1	Random Purple Skill	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon49.png		
4	1	Random Gold Skill	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon50.png		
5	1	Random Gold Skill	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon50.png		
6	1				
10	1				
11	1				
12	1				
13	1				
14	1				
15	1				
16	1				
17	1				
18	1				
19	1				
20	1				
21	2	Misty Dossier III	Assets/Product/Texture/Image/IconTools/IconRougeItem022.png	ATK & Max HP Up	Gains Universal Stat Relic x1.
100	2				
101	2				
102	2				
103	2				
104	2				
2001	2				
2002	2				
2003	2				
2004	2				
2005	2				
2006	2				
2007	2				
2008	2				
2009	2				
2010	2				
2011	2				
2012	2				
201	1				
202	2				
211	1				
212	2				
221	1				
222	2				
231	1				
232	2				
241	1				
242	2				
251	1				
252	2				
261	1				
262	2				
271	1				
272	2				
273	1				
281	1				
282	2				
283	1				
291	1				
292	2				
293	1				
294	2				
295	1				
296	2				
297	1				
298	1				
301	1				
302	1				
303	1				
310	1				
401	1				
500	2				
501	2				
600	1	Random White Skill	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon31.png		Gains 1 random white skill.
601	1	Random Green Skill	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon55.png		Gain 1 random green skill.
602	1	Random Gold Skill	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6Icon50.png		Gain 1 random gold skill.
700	1				
701	2				
702	1				
703	2				
704	1				
705	2				
706	1				
707	1				
