Id	StageId	Name	Des	HardNum	ConditionId	NewStageIds[1]
1	100	Difficulty 1	- Starts with 5 <Icon=IconHp|30|30|0.5/>Vitality.	1		
2	101	Difficulty 2	- Starts with 4 <Icon=IconHp|30|30|0.5/>Vitality.\n- Loses an additional 2 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Increases material gained.	2	1021014	
3	102	Difficulty 3	- Starts with 3 <Icon=IconHp|30|30|0.5/>Vitality.\n- Loses an additional 2 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Enhances <Icon=IconDeSan|30|30|0.5/>Negative Reverbs effects.\n- Randomly drops Material Growth Echo Resonance I on each floor.	3	1021015	
4	103	Difficulty 4	- Starts with 3 <Icon=IconHp|30|30|0.5/>Vitality\n- Loses an additional 4 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Enhances <Icon=IconDeSan|30|30|0.5/>Negative Reverbs effects.\n- Randomly drops Material Growth Echo Resonance II on each floor.\n- Increases number of Abyssal Spaces on the last floor.	4	1021016	1030
5		Difficulty 5	- Starts with 3 <Icon=IconHp|30|30|0.5/>Vitality\n- Loses an additional 4 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Enhances negative <Icon=IconDeSan|30|30|0.5/>Sanity Resonance effects.\n- Randomly drops Material Growth Echo Resonance II on each floor.\n- Increases number of Abyssal Spaces on the last floor.	5	1021101	104
6	105	Difficulty 1	- Starts with 5 <Icon=IconHp|30|30|0.5/>Vitality.	1		
7	106	Difficulty 2	- Starts with 4 <Icon=IconHp|30|30|0.5/>Vitality.\n- Loses an additional 2 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Increases material gained.	2	1021014	
8	107	Difficulty 3	- Starts with 3 <Icon=IconHp|30|30|0.5/>Vitality.\n- Loses an additional 2 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Enhances <Icon=IconDeSan|30|30|0.5/>Negative Reverbs effects.\n- Randomly drops Material Growth Echo Resonance I on each floor.	3	1021015	
9	108	Difficulty 4	- Starts with 3 <Icon=IconHp|30|30|0.5/>Vitality\n- Loses an additional 4 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Enhances <Icon=IconDeSan|30|30|0.5/>Negative Reverbs effects.\n- Randomly drops Material Growth Echo Resonance II on each floor.\n- Increases number of Abyssal Spaces on the last floor.	4	1021016	1080
10		Difficulty 5	- Starts with 3 <Icon=IconHp|30|30|0.5/>Vitality\n- Loses an additional 4 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Enhances negative <Icon=IconDeSan|30|30|0.5/>Sanity Resonance effects.\n- Randomly drops Material Growth Echo Resonance II on each floor.\n- Increases number of Abyssal Spaces on the last floor.	5	1021101	109
11		Difficulty 1	- Starts with 5 <Icon=IconHp|30|30|0.5/>Vitality.	1		110
12		Difficulty 2	- Starts with 4 <Icon=IconHp|30|30|0.5/>Vitality.\n- Loses an additional 2 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Increases material gained.	2	1021014	111
13		Difficulty 3	- Starts with 3 <Icon=IconHp|30|30|0.5/>Vitality.\n- Loses an additional 2 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Enhances negative <Icon=IconDeSan|30|30|0.5/>Sanity Resonance effects.\n- Randomly drops Material Growth Echo Resonance I on each floor	3	1021015	112
14		Difficulty 4	- Starts with 3 <Icon=IconHp|30|30|0.5/>Vitality\n- Loses an additional 4 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Enhances negative <Icon=IconDeSan|30|30|0.5/>Sanity Resonance effects.\n- Randomly drops Material Growth Echo Resonance II on each floor.\n- Increases number of Abyssal Spaces on the last floor.	4	1021016	113
15		Difficulty 5	- Starts with 3 <Icon=IconHp|30|30|0.5/>Vitality\n- Loses an additional 4 <Icon=IconSan|30|30|0.5/>Sanity whenever Sanity decreases.\n- Enhances negative <Icon=IconDeSan|30|30|0.5/>Sanity Resonance effects.\n- Randomly drops Material Growth Echo Resonance II on each floor.\n- Increases number of Abyssal Spaces on the last floor.	5	1021101	114
