Id	RoomIds[1]	RoomIds[2]	RoomIds[3]	RoomIds[4]	RoomIds[5]	RoomIds[6]	RoomIds[7]	RoomIds[8]	StartBuffPoolIds[1]	StartBuffPoolIds[2]	StartBuffPoolIds[3]	AnnoId	StartAVG	ExFloor
10	1000	1001	1002	1003					2000	4		101	2	
20	1010	1011	1012	1013					2000	4		110	16	
21	1020	1021	1022	1023								111		
30	1100	1101	1102	1103					2000	4		120	19	
40	1200	1201	1202	1203					2000	4		130		
41	1210	1211	1212	1213								131		
50	1300	1301	1302	1303					2000	4		140	23	
51	1310	1311	1312	1313								141		
60	1400	1401	1402						2000	1		150	4	
61	1410	1411	1412	1413								151		
70	1500	1501	1502	1503					2000	1		160	7	
71	1510	1511	1512	1513								161		
80	1600	1601	1602	1603					2000	1		170		
81	1610	1611	1612	1613								171		
90	1700	1701	1702						2000	1		180	13	
91	1710	1711	1712									181		
100	1800	1801	1802	1803	1804	1805	1806		2000	7		190	26	
110	1900	1901	1902	1903					2000	7		200		
111	1910	1911	1912	1913								201		
112	1920	1921	1922	1923								202		
120	2000	2001	2002	2003					2000	7		210		
121	2010	2011	2012	2013								211		
130	2100	2101	2102						2000	7		220	33	
131	2110	2111	2112	2113								221		
1000	101	102	103	104	105	106			2000			10		
1001	110	111	112	113	114	115						11		
1002	120	121	122	123	124	125						12		
1010	201	202	203	204	205	206			3000	2000	3500	10		
1011	210	211	212	213	214	215						11		
1012	220	221	222	223	224	225						12		
1020	301	302	303	304	305	306			3000	2000	3501	10		
1021	310	311	312	313	314	315			3501			11		
1022	320	321	322	323	324	325			3501			12		
1030	401	402	403	404	405	406			3001	2000	3502	10		
1031	410	411	412	413	414	415			3502			11		
1032	420	421	422	423	424	425	426	427	3502			12		
1033	420	421	422	423	424	425			3502			12		
1034	426	427										13		1
1040	501	502	503	504	505	506			3001	2000	3502	10		
1041	510	511	512	513	514	515			3502			11		
1042	520	521	522	523	524	525			3502			12		
1043	530	531	532	533								13		1
