Id	Type	Values[1]
101	2	201
102	3	10
103	4	100
104	2	201
105	3	10
106	5	1000
110	2	202
111	3	11
112	4	110
113	2	202
114	3	11
115	5	1010
120	2	203
121	3	12
122	4	120
123	2	203
124	3	12
125	5	1020
201	2	204
202	3	13
203	4	200
204	2	204
205	3	13
206	5	1100
210	2	205
211	3	14
212	4	210
213	2	205
214	3	14
215	5	1110
220	2	206
221	3	15
222	4	220
223	2	206
224	3	15
225	5	1120
301	2	207
302	3	17
303	4	300
304	2	207
305	3	17
306	5	1200
310	2	208
311	3	18
312	4	310
313	2	208
314	3	18
315	5	1210
320	2	209
321	3	19
322	4	320
323	2	209
324	3	19
325	5	1220
401	2	210
402	3	20
403	4	400
404	2	210
405	3	20
406	5	1300
410	2	211
411	3	21
412	4	410
413	2	211
414	3	21
415	5	1310
420	2	212
421	3	22
422	4	420
423	2	212
424	3	22
425	5	1320
426	5	1330
427	5	1340
501	2	210
502	3	23
503	4	500
504	2	213
505	3	23
506	5	1400
510	2	211
511	3	24
512	4	510
513	2	214
514	3	24
515	5	1410
520	2	212
521	3	25
522	4	520
523	2	215
524	3	25
525	5	1420
530	3	25
531	5	1430
532	5	1440
533	5	1450
1000	2	10
1001	3	200
1002	5	8
1003	6	3
1010	2	20
1011	3	100
1012	4	1
1013	6	17
1020	2	21
1021	3	101
1022	5	2
1023	6	18
1100	2	30
1101	3	110
1102	5	3
1103	6	20
1200	2	40
1201	3	120
1202	5	4
1203	6	21
1210	2	41
1211	3	121
1212	5	5
1213	6	22
1300	2	50
1301	3	130
1302	5	6
1303	6	24
1310	2	51
1311	3	131
1312	5	7
1313	6	25
1400	2	60
1401	4	10
1402	6	5
1410	2	61
1411	3	140
1412	4	11
1413	6	6
1500	2	70
1501	3	150
1502	4	20
1503	6	8
1510	2	71
1511	3	151
1512	4	21
1513	6	9
1600	2	80
1601	3	160
1602	4	30
1603	6	10
1610	2	81
1611	6	11
1612	5	31
1613	6	12
1700	2	90
1701	4	40
1702	6	14
1710	2	91
1711	3	170
1712	6	15
1800	2	100
1801	3	210
1802	4	41
1803	2	101
1804	3	210
1805	5	42
1806	6	27
1900	2	110
1901	3	210
1902	5	43
1903	6	28
1910	2	111
1911	3	210
1912	5	44
1913	6	29
1920	2	112
1921	3	210
1922	5	45
1923	6	30
2000	2	120
2001	3	210
2002	5	46
2003	6	31
2010	2	121
2011	3	210
2012	5	47
2013	6	32
2100	2	130
2101	5	48
2102	6	34
2110	2	131
2111	3	210
2112	5	49
2113	6	35
