Id	Name	Quality	GoodsNums[1]	GoodsNums[2]	AppointGoodsTypes[1]	AppointGoodsTypes[2]	RewardTypes[1]	RewardTypes[2]	RewardIds[1]	RewardIds[2]	IsOutPool
1	Cursed Shrine	1	60	60	1	2	3		20		
2	Otherworldly Dream	1	60	60	1	3	3		20		
3	Forest Trail	1	60	60	1	4	3		20		
4	Sleep Talk in Silence	1	60	60	2	3	3		20		
5	Midnight Horror	1	60	60	2	4	3		20		
6	Wandering Shadow	1	60	60	3	4	3		20		
7	Disordered Ritual	2	60	60	1	2	3		30		
8	Midnight Horror	2	60	60	1	3	3		30		
9	Cursed Shrine	2	60	60	1	4	3		30		
10	Night of Fading Bells	2	60	60	2	3	3		30		
11	Old Manor Ruins	2	60	60	2	4	3		30		
12	Corrupted Ink	2	60	60	3	4	3		30		
13	Tarnished Memories	3	60	60	1	2	3		40		
14	Photophage Shadow	3	60	60	1	3	3		40		
15	Slumbering Manor	3	60	60	1	4	3		40		
16	Cursed Shrine	3	60	60	2	3	3		40		
17	Pale Dusk Shadow	3	60	60	2	4	3		40		
18	Night of Fading Bells	3	60	60	3	4	3		40		
19	Fading Ashes	1	120		1		3		20		
20	Broken Oracle	1	120		2		3		20		
21	Broken Sarcophagus	1	120		3		3		20		
22	Disordered Ritual	1	120		4		3		20		
23	Elusive Trail	2	120		1		3		30		
24	Broken Sarcophagus	2	120		2		3		30		
25	Wandering Shadow	2	120		3		3		30		
26	Underground Sounds	2	120		4		3		30		
27	Elusive Trail	3	120		1		3		40		
28	Disordered Ritual	3	120		2		3		40		
29	Wandering Shadow	3	120		3		3		40		
30	Hidden Whispers	3	120		4		3		40		
31	Nameless Invitation	1	60	60	1	2	3	5	15	301	
32	Nightmare Weaver	1	60	60	1	3	3	5	15	301	
33	Slumbering Manor	1	60	60	1	4	3	5	15	301	
101	Rampant Vines	1	60	60	2	3	3	5	15	301	
102	Slumbering Shadow	1	60	60	2	4	3	5	15	301	
103	Underground Sounds	1	60	60	3	4	3	5	15	301	
104	Nightmare Weaver	2	60	60	1	2	3	5	20	302	
105	Sleep Talk in Silence	2	60	60	1	3	3	5	20	302	
106	Slumbering Shadow	2	60	60	1	4	3	5	20	302	
107	Feast of the Faceless	2	60	60	2	3	3	5	20	302	
108	Eve of Mutation	2	60	60	2	4	3	5	20	302	
109	Creeping Shadow	2	60	60	3	4	3	5	20	302	
110	Abandoned Shrine	3	60	60	1	2	3	5	20	303	
111	Shattered Sheet Music	3	60	60	1	3	3	5	20	303	
112	Broken Sarcophagus	3	60	60	1	4	3	5	20	303	
113	Sleep Talk in Silence	3	60	60	2	3	3	5	20	303	
114	Creeping Shadow	3	60	60	2	4	3	5	20	303	
115	Crimson Horror	3	60	60	3	4	3	5	20	303	
116	Hidden Whispers	1	120		1		3	5	15	301	
117	Phantom Trail	1	120		2		3	5	15	301	
118	Forsaken Beacon	1	120		3		3	5	15	301	
119	Photophage Shadow	1	120		4		3	5	15	301	
120	Tarnished Memories	2	120		1		3	5	20	302	
121	Rampant Vines	2	120		2		3	5	20	302	
122	Broken Oracle	2	120		3		3	5	20	302	
123	Crimson Horror	2	120		4		3	5	20	302	
124	Midnight Horror	3	120		1		3	5	20	303	
125	Phantom Trail	3	120		2		3	5	20	303	
126	Forest Trail	3	120		3		3	5	20	303	
127	Nameless Invitation	3	120		4		3	5	20	303	
1001	Phantom in Fog	1	60	60	1	2	3		20		1
1002	Dark Alley Whispers	1	60	60	1	3	3		20		1
1003	Stranger in the Cold	1	60	60	2	3	3		20		1
1100	Lone Tower in the Mist	1	60	60	1	2	3		20		1
1101	Abyssal Glance	1	60	60	1	3	3		20		1
1102	Evernight Pilgrimage	1	60	60	2	3	3		20		1
1109	Murmurs of the Dead	2	60	60	1	4	3		30		1
1110	Edge of Nightmare	2	60	60	2	4	3		30		1
1111	Silent Echo	2	60	60	3	4	3		30		1
1200	Rat Tracks	1	60	60	1	2	3		20		1
1201	Shape in the Dark	1	60	60	1	3	3		20		1
1202	Devouring Flame	1	60	60	2	3	3		20		1
1300	Mistbound Nightmare	1	60	60	1	2	3		20		1
1301	Horror in Torn Pages	1	60	60	1	3	3		20		1
1302	Alley Whispers	1	60	60	2	3	3		20		1
1303	Berserk Projection	2	60	60	1	4	3		30		1
1304	Silent Stranger	2	60	60	2	4	3		30		1
1305	Forbidden Contract	2	60	60	3	4	3		30		1
1400	Old Shadows at Dusk	1	60	60	1	2	3		20		1
1401	Whispered Secrets	1	60	60	1	3	3		20		1
1402	Forsaken Manor	1	60	60	2	3	3		20		1
1406	Road of No Return	2	60	60	1	4	3		30		1
1407	Ritual Tome	2	60	60	2	4	3		30		1
1408	Ashen Eclipse	2	60	60	3	4	3		30		1
1500	Figure in the Mirror	1	60	60	1	2	3		20		1
1501	Croaking Ravens	1	60	60	1	3	3		20		1
1502	Endless Corridor	1	60	60	2	3	3		20		1
1506	Clock Running Backward	2	60	60	1	4	3		30		1
1507	Underground Passage	2	60	60	2	4	3		30		1
1508	Unsealed Coffin	2	60	60	3	4	3		30		1
1600	Resonant Strings	1	60	60	1	2	3		20		1
1601	Spreading Shadow	1	60	60	1	3	3		20		1
1602	Faceless Guest	1	60	60	2	3	3		20		1
1606	Smiling Porcelain Doll	2	60	60	1	4	3		30		1
1607	Rotting Moss	2	60	60	2	4	3		30		1
1608	Eyeless Gaze	2	60	60	3	4	3		30		1
1700	Grimed Mirror	1	60	60	1	2	3		20		1
1701	Eerie Emblem	1	60	60	1	3	3		20		1
1702	Whispers in the Pavilion	1	60	60	2	3	3		20		1
1706	Forked Path	2	60	60	1	4	3		30		1
1707	Twilight Prophet	2	60	60	2	4	3		30		1
1708	Deep in the Cemetery	2	60	60	3	4	3		30		1
1800	Fading Beacon	1	60	60	1	2	3		20		1
1801	Edge of Sanity	1	60	60	1	3	3		20		1
1802	Tarnished Crown	1	60	60	2	3	3		20		1
1809	Code on the Fireplace	2	60	60	1	4	3		30		1
1810	Past on Withered Pages	2	60	60	2	4	3		30		1
1811	Collapsing Sequence	2	60	60	3	4	3		30		1
1900	Ashen Wanderer	1	60	60	1	2	3		20		1
1901	Decaying Cradle	1	60	60	1	3	3		20		1
1902	Nameless Celebration	1	60	60	2	3	3		20		1
1903	Forbidden Movement	1	60	60	1	4	3		30		1
1904	Pallid Mask	1	60	60	2	4	3		30		1
1905	Doomsday Path	1	60	60	3	4	3		30		1
2000	Umbral Scar	1	60	60	1	2	3		20		1
2001	Abyssal Murmurs	1	60	60	1	3	3		20		1
2002	Bog Cryptids	1	60	60	2	3	3		20		1
2003	Fractured Effigy	2	60	60	1	4	3		30		1
2004	Barrow Echoes	2	60	60	2	4	3		30		1
2005	Portal of Slumber	2	60	60	3	4	3		30		1
2006	Delirious Tides	3	60	60	1	4	3		30		1
2007	Light-Draining Corridor	3	60	60	2	4	3		30		1
2008	Faded Moon	3	60	60	3	4	3		30		1
2100	Eyeless Portrait	1	60	60	1	2	3		20		1
2101	Twisted Candlelight	1	60	60	1	3	3		20		1
2102	Rusted Key	1	60	60	2	3	3		20		1
2103	Reversed Hourglass	2	60	60	1	4	3		30		1
2104	Bone-Eroding Toll	2	60	60	2	4	3		30		1
2105	Melting Wax Figure	2	60	60	3	4	3		30		1
2200	Whispers in the Wall	1	60	60	1	2	3		20		1
2201	Faceless Feast	1	60	60	1	3	3		20		1
2202	Damp Diary	1	60	60	2	3	3		20		1
2203	Wax Seal	2	60	60	1	4	3		30		1
2204	Broken Strings Elegy	2	60	60	2	4	3		30		1
2205	Silent Labyrinth	2	60	60	3	4	3		30		1
