Id	Name	Desc	DescParams[1]	DescParams[2]	DescParams[3]	Icon	MagicId	Prompt
1	Steadfast	After losing a battle, subsequent characters' DMG dealt increases by {0} and DMG Reduction increases by {1}.	15%	15%		Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillHuanjingIcon01.png	1025813	<color=#B96716>Sacrificing the first battle may yield greater rewards.</color>
2	Preparation	After {2}s of battle, allied characters' DMG dealt increases by {0} and DMG Reduction increases by {1}.	15%	15%	30	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillHuanjingIcon02.png	1025814	<color=#B96716>Suited for defensive strategies.</color>
3	Plunder	Triggers once per battle. When the enemy's Stealth Barrier triggers, allied characters gain {0} of its effect.	150%			Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillHuanjingIcon03.png	1025815	<color=#B96716>A solid choice that may turn the tide in unexpected ways.</color>
4	Soulflame	Allied characters' DMG dealt increases by {0} and DMG Reduction increases by {1}.	10%	10%		Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillHuanjingIcon04.png	1025816	<color=#B96716>An all-around bonus.</color>
5	Overclock	Starting from the third battle, allied characters' DMG dealt increases by {0} and DMG Reduction increases by {1}.	20%	20%		Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillHuanjingIcon05.png	1025817	<color=#B96716>If you can secure victory in the early stages, choosing this effect will steadily improve your win rate.</color>
6	Blazing Edge	Triggers after Ignition is triggered {2} times total by both sides in this match. Allied characters' DMG dealt increases by {0} and DMG Reduction increases by {1}.	15%	15%	30	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillHuanjingIcon06.png	1025818	<color=#B96716>Works better when multiple Ignition characters are present.</color>
7	Furious Roar	Triggered after Berserk is triggered {2} times total by both sides in this match. Allied characters' DMG dealt increases by {0} and DMG Reduction increases by {1}.	15%	15%	3	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillHuanjingIcon07.png	1025819	<color=#B96716>Works better when multiple Rage characters are present.</color>
8	Divergent Force	When allied characters differ from the opponent's, allied characters' DMG dealt increases by {0} and DMG Reduction increases by {1}. This effect can stack.	5%	5%		Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillHuanjingIcon08.png	1025820	<color=#B96716>Fielding multiple unique characters grants more opportunities to gain this bonus.</color>
9	Folded Edge	After failing the Parry phase {2} times in this match, allied characters' DMG dealt increases by {0} and DMG Reduction increases by {1}.	15%	15%	2	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillHuanjingIcon09.png	1025821	<color=#B96716>Ideal for matches where the opponent has high Initiative stats.</color>
10	Chrono Reversal	After failing the Hypersequence Counterattack phase {2} times in this match, allied characters' DMG dealt increases by {0} and DMG Reduction increases by {1}.	15%	15%	2	Assets/Product/Texture/Image/UiTheatre6/UiTheatre6SkillIcon/UiTheatre6SkillHuanjingIcon10.png	1025822	<color=#B96716>Ideal for matches where the opponent has high Hypersequence stats.</color>
