Id	Score	UseMonsterIds[1]	UseMonsterIds[2]	UseMonsterIds[3]	Name	HeadIcon	BuffId
1	231	10307	10309	10308	Nightshroud Apostle	9000003	
2	479	10309	10305	10302	Nightshroud Apostle	9000003	
3	218	10303	10305	10305	Nightshroud Apostle	9000003	
4	695	10306	10300	10300	Nightshroud Apostle	9000003	
5	890	10309	10301	10301	Nightshroud Apostle	9000003	
6	218	10309	10304	10308	Nightshroud Apostle	9000003	
7	453	10309	10305	10300	Nightshroud Apostle	9000003	
8	636	10302	10305	10307	Nightshroud Apostle	9000003	
9	486	10301	10301	10303	Nightshroud Apostle	9000003	
10	104	10305	10309	10306	Nightshroud Apostle	9000003	
11	923	10305	10301	10305	Nightshroud Apostle	9000003	
12	266	10304	10302	10306	Nightshroud Apostle	9000003	
13	338	10301	10308	10309	Nightshroud Apostle	9000003	
14	598	10302	10300	10308	Nightshroud Apostle	9000003	
15	654	10309	10307	10300	Nightshroud Apostle	9000003	
16	327	10307	10309	10305	Nightshroud Apostle	9000003	
17	679	10301	10304	10303	Nightshroud Apostle	9000003	
18	695	10305	10302	10308	Nightshroud Apostle	9000003	
19	690	10308	10305	10305	Nightshroud Apostle	9000003	
20	254	10309	10309	10301	Nightshroud Apostle	9000003	
21	999	10300	10307	10302	Nightshroud Apostle	9000003	
22	999	10300	10303	10302	Nightshroud Apostle	9000003	
23	999	10305	10303	10304	Nightshroud Apostle	9000003	
24	999	10306	10302	10301	Nightshroud Apostle	9000003	
25	999	10304	10306	10305	Nightshroud Apostle	9000003	
26	999	10302	10300	10302	Nightshroud Apostle	9000003	
27	999	10306	10301	10308	Nightshroud Apostle	9000003	
28	999	10305	10308	10307	Nightshroud Apostle	9000003	
29	999	10300	10308	10305	Nightshroud Apostle	9000003	
30	999	10301	10302	10301	Nightshroud Apostle	9000003	
1000	1047	10249	10226	10243	Nightshroud Apostle	9000003	
1001	1016	10236	10247	10227	Nightshroud Apostle	9000003	
1002	1002	10216	10207	10223	Nightshroud Apostle	9000003	
1003	1046	10240	10225	10206	Nightshroud Apostle	9000003	
1004	1042	10225	10219	10230	Nightshroud Apostle	9000003	
1005	1042	10231	10213	10215	Nightshroud Apostle	9000003	
1006	1043	10218	10217	10217	Nightshroud Apostle	9000003	
1007	1012	10203	10217	10228	Nightshroud Apostle	9000003	
1008	1004	10219	10232	10204	Nightshroud Apostle	9000003	
